Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
V48	0.00E+00	3.27E-01	2.32E+00	9.36E-01	5.18E+00	2.92E+00	1.10E+00	5.58E+00	2.75E+00
V49	3.73E+01	1.29E+00	1.54E+00	3.73E+00	1.71E+00	1.20E+01	4.22E+00	9.16E+00	4.91E+01
V50	1.41E+00	0.00E+00	0.00E+00	0.00E+00	2.60E-01	9.91E-01	3.06E-01	7.16E-01	1.15E+00
V51	2.02E+00	2.29E+00	4.00E-01	2.94E+00	0.00E+00	1.39E+00	3.77E+00	1.67E+00	2.79E+00
V52	1.23E+00	7.61E-01	2.31E+00	2.03E+00	2.38E+00	3.64E+00	1.77E+00	3.77E+00	3.70E+00
V53	7.22E+00	6.23E-01	2.77E+00	4.71E-01	4.99E-01	2.32E+00	1.22E+00	2.71E+00	7.27E+00
V54	1.15E+00	2.14E+00	6.64E+00	1.28E+00	0.00E+00	1.21E+00	4.65E+00	7.24E+00	5.97E-01
V55	3.22E+00	0.00E+00	6.90E-01	8.79E-01	4.83E+00	0.00E+00	2.16E+00	3.39E+00	4.83E+00
V56	1.31E+00	3.51E+00	2.62E+00	9.20E-01	7.81E-01	6.54E-01	5.63E-01	1.73E+00	1.22E+00
V57	2.66E+00	2.08E+00	1.41E+00	2.86E+00	3.66E+00	6.43E+00	3.99E+00	5.05E+00	5.51E+00
V58	1.78E+00	2.85E+00	1.00E+01	7.52E-01	1.93E+00	1.00E-01	5.78E+00	8.35E+00	8.23E-01
V59	1.14E+00	3.65E-01	2.26E+00	1.05E+01	1.24E+00	1.10E+01	1.26E+01	1.45E+00	8.98E+00
V60	6.41E+00	5.86E-01	9.34E+00	1.88E+00	9.00E-01	2.06E+00	4.36E+00	8.72E+00	9.37E+00
V61	8.19E-01	1.95E+00	7.00E-01	2.67E+00	5.42E+00	1.06E+01	1.39E+00	1.02E+01	5.62E+00
V62	1.03E+01	1.82E+00	1.39E+00	3.54E+00	2.48E+00	3.00E+00	3.05E+00	2.41E+00	1.46E+01
V63	5.44E+00	2.87E+00	7.90E-01	2.92E+00	4.56E+00	2.08E+00	2.53E+00	2.66E+00	7.24E+00
V64	3.48E+00	0.00E+00	9.67E-01	6.95E+00	3.59E-01	1.02E+00	6.99E+00	1.23E+00	1.89E+00
V65	6.16E-01	2.74E+00	4.67E-01	2.04E+00	1.61E+00	0.00E+00	1.87E+00	2.26E+00	1.19E+00
V66	9.83E-01	3.20E+00	0.00E+00	7.95E-01	3.47E+00	4.35E+00	8.06E-01	4.25E+00	4.86E+00
V67	9.21E-01	2.11E+00	2.13E-01	6.29E-01	3.13E+00	2.35E+00	6.57E-01	2.71E+00	4.25E+00
V68	2.76E+00	3.79E-01	8.90E+00	2.53E+00	1.38E+00	0.00E+00	3.27E+00	9.87E+00	2.95E+00
V69	7.53E+00	2.22E+00	1.33E-01	4.76E+00	1.09E+01	3.67E-01	4.83E+00	9.14E+00	1.57E+01
V70	4.25E+00	3.41E+00	0.00E+00	8.97E-01	2.36E+00	0.00E+00	5.21E-01	4.50E+00	6.39E+00
V71	1.21E+00	1.11E+00	3.42E-01	4.60E+00	7.75E+00	1.53E+01	7.30E+00	6.16E+00	1.35E+01
V72	5.56E+00	3.06E-01	2.30E+00	3.65E-01	7.48E-01	2.56E+00	6.16E-01	3.03E+00	8.19E+00
V73	1.92E+00	1.83E+00	5.08E+00	2.75E+00	2.21E+00	0.00E+00	3.06E+00	4.47E+00	3.70E+00
V74	4.38E+00	8.84E-01	8.00E-01	2.74E+00	5.53E+00	1.67E+00	3.00E+00	4.69E+00	6.26E+00
V75	5.46E+00	3.08E+00	0.00E+00	1.27E+00	0.00E+00	2.94E+00	1.22E+00	2.46E+00	7.32E+00
V76	2.02E+00	7.48E-01	1.33E-01	1.36E+01	8.84E-01	0.00E+00	1.33E+01	3.42E-01	3.42E-01
V77	2.02E+00	3.94E-01	2.32E+00	7.52E-01	3.81E+00	3.11E+00	8.88E-01	2.49E+00	2.70E+00
V78	1.57E+00	1.46E+00	0.00E+00	2.49E+00	1.35E+00	0.00E+00	2.41E+00	5.12E-01	3.06E-01
