Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
V1	5	42	161	252	51	0	112	123	0
V2	6	32	3	2	5	12	0	0	19
V3	311	76	0	19	6	21	0	2	9
V4	0	25	181	0	0	81	5	90	37
V5	10	62	39	2	0	72	3	33	19
V6	11	22	0	184	35	86	36	0	36
V7	33	14	0	64	0	46	4	1	29
V8	25	14	0	82	112	0	202	46	0
V9	218	96	0	172	106	2	136	0	0
V10	281	12	0	51	27	0	30	0	0
V11	32	0	46	4	0	0	10	82	0
V12	1	32	34	0	1	0	4	48	0
V13	5	25	25	4	5	59	2	13	0
V14	5	27	35	1	0	0	0	13	0
V15	0	89	0	90	1	53	37	0	21
V16	41	0	21	1	0	0	3	20	0
V17	45	64	3	43	15	0	17	10	0
V18	42	1	1	2	17	34	1	4	31
V19	70	33	3	81	32	12	70	0	1
V20	0	28	66	28	36	256	0	0	51
V21	25	138	321	1	10	13	3	34	0
V22	3	3	159	7	3	0	15	4	0
V23	5	22	12	5	134	69	4	45	6
V24	0	21	12	58	6	52	11	19	32
V25	0	0	45	20	0	4	10	10	0
V26	76	12	59	35	0	1	4	48	0
V27	3	0	125	0	0	0	3	53	0
V28	0	11	12	30	40	1	31	0	0
V29	0	23	285	0	13	0	0	0	3
V30	21	89	87	6	109	0	0	74	0
V31	49	9	5	14	41	0	26	5	39
V32	6	2	18	13	129	0	13	16	0
V33	0	16	88	289	0	67	216	15	0
V34	6	15	96	0	8	6	113	0	1
V35	13	10	68	11	33	10	3	23	1
V36	1	1	145	2	0	0	23	77	0
V37	72	1	22	37	16	57	20	18	20
V38	112	13	2	15	147	32	20	0	0
V39	5	61	6	22	10	0	20	7	0
V40	3	68	53	13	1	29	2	21	0
V41	23	7	20	2	24	21	0	65	0
V42	95	14	20	8	44	100	0	1	64
V43	68	80	3	120	70	69	37	66	0
V44	36	59	37	20	49	74	0	99	14
V45	14	12	21	4	0	2	12	13	7
V46	0	40	0	29	6	0	58	0	0
V47	84	32	22	33	23	54	27	43	78
V48	0	1	23	7	124	16	2	19	1
V49	534	35	17	18	8	92	31	2	0
V50	73	0	0	0	0	5	1	1	4
V51	24	76	1	60	0	9	13	1	7
V52	9	5	61	24	24	112	14	0	0
V53	149	1	48	0	0	5	8	4	28
V54	13	157	187	18	0	5	3	0	0
V55	244	0	6	2	170	0	14	0	0
V56	8	210	28	4	1	0	4	0	10
V57	35	48	12	98	41	61	19	9	6
V58	52	88	86	1	1	0	4	52	0
V59	0	1	22	53	2	71	84	0	38
V60	63	4	186	18	8	33	13	0	0
V61	3	54	1	23	43	123	3	19	0
V62	86	52	17	23	8	23	25	5	22
V63	50	52	8	6	62	14	31	0	0
V64	88	0	1	107	0	0	18	10	0
V65	3	391	1	16	11	0	8	0	0
V66	3	188	0	2	35	42	4	20	19
V67	4	145	0	1	123	19	2	0	0
V68	39	1	59	10	0	0	12	46	0
V69	70	58	0	44	133	0	37	42	10
V70	62	143	0	3	12	0	3	20	0
V71	0	10	2	33	111	95	53	13	80
V72	146	1	25	1	0	14	2	8	16
V73	21	92	79	22	12	0	14	1	0
V74	33	10	2	4	93	0	25	22	39
V75	98	70	1	15	0	57	3	1	0
V76	45	6	0	71	5	0	77	0	0
V77	63	1	10	3	47	22	5	17	7
V78	13	21	0	12	6	0	15	0	2
V79	24	44	0	53	64	0	112	0	86
V80	3	25	10	2	50	1	6	0	1
V81	92	3	36	7	0	123	6	0	8
V82	7	4	3	18	10	14	14	0	0
V83	40	4	50	0	0	13	8	19	0
V84	60	2	36	84	0	48	5	79	0
V85	287	37	12	38	25	8	13	13	1
V86	71	209	43	5	108	101	14	26	0
V87	103	182	1	94	17	0	41	0	0
V88	0	32	144	25	27	34	56	0	27
V89	23	1	30	2	41	0	0	26	25
V90	39	4	3	156	40	24	37	5	32
V91	17	7	0	38	0	9	42	0	13
V92	149	0	15	51	36	17	23	0	30
V93	0	1	18	146	113	24	16	23	29
V94	84	21	0	9	0	0	33	5	3
V95	38	155	112	1	0	11	10	77	0
V96	64	83	3	8	58	47	8	16	0
V97	33	3	16	109	4	27	20	13	15
V98	9	45	10	9	153	88	10	11	3
V99	0	185	0	5	7	40	3	12	4
V100	4	46	20	28	1	131	5	33	0
