Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
V1	2.09E+00	5.22E-01	1.35E+00	1.36E+00	1.35E+00	4.77E-01
V2	0.00E+00	3.14E-01	7.00E-01	1.40E+00	7.00E-01	1.68E+00
V3	1.42E+00	3.59E+00	7.77E-01	3.61E+00	7.30E-01	1.02E+00
V4	8.49E-01	7.75E-01	1.21E+00	5.93E-01	6.15E-01	4.07E-01
V5	0.00E+00	1.64E+00	9.75E-01	2.88E+00	1.39E+00	1.86E+00
V6	0.00E+00	1.62E+00	1.26E+00	2.15E+00	0.00E+00	0.00E+00
V7	1.02E+00	7.92E-01	2.70E+00	1.49E+00	0.00E+00	2.86E+00
V8	1.93E+00	2.91E-01	2.27E+00	1.82E+00	2.28E+00	2.03E+00
V9	0.00E+00	1.47E+00	2.11E+00	3.65E+00	1.54E+00	2.39E+00
V10	9.80E-01	9.07E-01	8.88E-01	6.63E-01	1.56E+00	5.96E-01
V11	3.00E-01	7.42E-01	1.48E+00	2.51E+00	3.27E-01	1.08E+00
V12	9.80E-01	1.07E+00	1.45E+00	2.24E-01	1.60E+00	9.09E-01
V13	0.00E+00	1.53E+00	2.86E+00	2.66E+00	3.27E-01	1.14E+00
V14	1.59E+00	1.59E+00	1.70E+00	4.07E-01	8.82E-01	7.03E-01
V15	1.74E+00	1.63E+00	7.27E-01	1.83E+00	0.00E+00	1.33E+00
V16	0.00E+00	1.48E+00	1.06E+00	6.67E-01	2.77E-01	1.39E+00
V17	4.67E+00	3.84E+00	7.06E-01	3.17E+00	1.47E+00	0.00E+00
V18	7.64E-01	0.00E+00	4.90E-01	0.00E+00	6.67E-01	1.04E+00
V19	3.23E+00	1.15E+00	8.33E-01	2.75E+00	1.43E+00	1.89E+00
V20	1.24E+00	2.48E+00	3.59E+00	1.41E+00	4.52E-01	1.83E+00
V21	1.02E+00	4.74E+00	4.15E+00	1.55E+00	1.69E+00	9.20E-01
V22	3.60E+00	2.05E+00	4.69E+00	3.23E+00	0.00E+00	2.34E+00
V23	6.51E-01	2.80E+00	3.42E-01	2.48E+00	6.67E-01	4.71E-01
V24	0.00E+00	1.95E+00	2.93E+00	0.00E+00	2.11E+00	1.73E+00
V25	3.43E+00	2.60E-01	7.18E-01	3.03E+00	1.37E+00	1.56E+00
