Samples	ID83A	ID83B	ID83C	ID83D	ID83E
V1	94	64	5	19	142
V2	48	236	7	47	48
V3	117	79	114	87	74
V4	29	59	27	58	66
V5	62	11	135	8	12
V6	53	4	0	104	35
V7	46	86	13	48	21
V8	80	12	1	19	84
V9	206	16	45	4	97
V10	70	16	45	79	150
V11	4	0	54	0	51
V12	61	38	67	5	39
V13	0	9	61	42	3
V14	25	32	11	116	19
V15	85	117	37	1	52
V16	22	121	20	3	64
V17	25	16	30	36	24
V18	224	83	100	29	8
V19	154	49	19	4	13
V20	12	0	2	35	169
V21	281	27	14	22	69
V22	104	205	229	61	129
V23	32	24	102	52	86
V24	212	107	23	3	67
V25	29	57	39	52	148
V26	16	2	73	4	60
V27	19	16	18	2	177
V28	236	2	1	146	0
V29	21	192	45	168	60
V30	71	135	13	13	115
V31	2	2	57	8	26
V32	6	1	52	34	55
V33	103	24	77	4	27
V34	13	25	47	54	2
V35	50	12	29	0	109
V36	90	59	12	54	3
V37	197	9	621	6	5
V38	146	30	18	1	0
V39	24	122	4	10	27
V40	8	40	5	20	217
V41	52	290	2	165	6
V42	0	18	24	167	22
V43	79	192	48	36	21
V44	161	31	34	1	6
V45	0	0	31	219	73
V46	15	7	261	44	64
V47	32	96	139	90	39
V48	2	126	42	113	20
V49	27	39	208	49	25
V50	22	8	17	20	10
V51	262	153	410	22	27
V52	220	59	3	166	12
V53	304	32	9	2	82
V54	183	131	2	37	10
V55	109	65	6	50	4
V56	5	4	80	7	30
V57	199	38	227	137	8
V58	333	36	0	78	10
V59	14	113	10	89	55
V60	49	2	66	124	0
V61	260	372	97	11	14
V62	3	31	0	65	4
V63	26	127	57	23	135
V64	19	23	2	6	36
V65	41	61	35	79	14
V66	145	146	9	1	71
V67	13	130	49	142	16
V68	0	0	2	3	134
V69	8	7	10	16	10
V70	478	0	46	47	86
V71	67	25	56	0	63
V72	13	0	300	156	0
V73	24	181	111	7	78
V74	5	0	7	75	52
V75	29	262	0	118	0
V76	92	151	8	31	27
V77	21	56	45	2	34
V78	72	0	65	17	35
V79	86	88	82	28	82
V80	94	43	30	138	0
V81	44	313	1	32	28
V82	147	72	83	7	19
V83	35	11	0	5	11
V84	23	138	225	1	7
V85	350	113	40	54	38
V86	94	129	2	40	33
V87	194	118	81	69	11
V88	73	30	0	1	19
V89	43	17	109	19	4
V90	195	0	1	19	35
V91	21	56	132	130	12
V92	217	135	24	14	27
V93	17	69	30	65	15
V94	20	30	23	5	0
V95	0	149	169	2	0
V96	9	110	5	125	62
V97	27	46	17	4	6
V98	226	18	53	61	0
V99	28	69	4	24	38
V100	412	47	5	2	39
