Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
V1	5	48	172	303	80	8	130	0
V2	11	33	3	2	10	18	1	1
V3	315	76	0	19	9	24	0	1
V4	0	28	206	0	18	109	32	26
V5	15	68	45	0	5	88	12	7
V6	18	23	0	207	44	101	13	4
V7	37	13	1	66	1	52	0	21
V8	16	6	0	103	94	0	188	74
V9	212	94	0	204	103	0	117	0
V10	278	12	0	59	28	0	24	0
V11	41	2	65	1	9	14	42	0
V12	1	41	46	0	12	0	20	0
V13	5	26	27	2	8	65	5	0
V14	3	25	35	0	0	0	0	18
V15	3	91	0	104	5	58	30	0
V16	45	0	25	1	2	3	10	0
V17	42	60	2	46	13	0	10	24
V18	48	0	2	0	23	42	1	17
V19	67	31	0	93	29	4	65	13
V20	8	29	69	22	50	282	0	5
V21	24	141	329	0	13	16	7	15
V22	1	1	152	8	0	0	13	19
V23	0	16	18	0	129	63	0	76
V24	3	22	15	67	16	67	12	9
V25	0	0	47	24	0	5	13	0
V26	75	10	68	34	2	4	3	39
V27	3	0	156	0	3	0	22	0
V28	0	11	7	37	39	0	31	0
V29	0	23	287	0	13	1	0	0
V30	17	88	100	0	118	0	4	59
V31	61	9	2	20	52	0	30	14
V32	5	1	18	15	136	0	14	8
V33	0	16	57	345	1	52	220	0
V34	6	15	74	11	7	0	132	0
V35	14	11	73	11	40	14	9	0
V36	1	3	176	3	10	0	56	0
V37	79	1	22	42	25	67	27	0
V38	112	13	0	19	149	30	18	0
V39	4	58	4	25	8	0	18	14
V40	3	73	57	12	5	34	6	0
V41	17	2	30	0	25	21	0	67
V42	115	15	21	5	62	124	4	0
V43	61	75	11	129	72	69	22	74
V44	32	55	54	10	58	85	2	92
V45	16	13	21	5	0	4	19	7
V46	0	35	0	37	4	0	53	4
V47	100	28	25	32	38	73	34	66
V48	0	0	26	5	127	17	0	18
V49	534	34	12	22	9	90	30	6
V50	74	0	0	0	1	6	1	2
V51	24	76	1	65	0	9	4	12
V52	9	5	60	25	25	114	11	0
V53	160	0	49	0	0	10	10	14
V54	14	159	185	19	0	6	0	0
V55	243	0	4	5	172	0	12	0
V56	9	212	27	5	1	1	3	7
V57	33	45	14	101	39	60	3	34
V58	56	97	98	0	10	0	14	9
V59	6	0	8	68	6	71	97	15
V60	63	4	184	20	7	32	12	3
V61	3	56	4	21	49	135	1	0
V62	89	50	14	26	9	24	23	26
V63	50	53	2	11	62	10	35	0
V64	88	0	3	119	0	1	4	9
V65	3	393	0	18	10	0	6	0
V66	2	184	0	0	34	41	1	51
V67	4	145	0	1	125	19	0	0
V68	45	2	70	12	10	0	28	0
V69	63	50	0	46	130	0	28	77
V70	59	142	0	1	11	0	1	29
V71	6	6	0	38	128	110	60	49
V72	153	0	26	0	3	19	4	8
V73	21	92	75	26	12	0	15	0
V74	42	8	1	7	109	3	31	27
V75	98	71	1	15	0	59	1	0
V76	42	6	0	85	4	0	67	0
V77	65	1	12	2	53	26	8	8
V78	12	21	0	16	6	0	14	0
V79	44	46	0	81	88	0	124	0
V80	3	26	9	4	49	1	6	0
V81	95	3	36	4	1	128	8	0
V82	7	4	1	23	10	13	12	0
V83	42	4	54	0	3	17	14	0
V84	62	1	52	91	0	64	6	38
V85	287	36	13	41	25	7	10	15
V86	70	211	43	2	113	103	20	15
V87	102	181	0	107	17	0	31	0
V88	5	32	133	34	32	34	67	8
V89	28	0	37	0	52	7	0	24
V90	46	4	2	177	49	34	23	5
V91	20	7	0	48	1	9	41	0
V92	161	0	13	59	44	24	20	0
V93	0	0	23	158	122	34	0	33
V94	80	18	0	13	0	0	32	12
V95	35	162	125	0	0	15	21	46
V96	60	79	4	5	55	43	4	37
V97	35	2	18	122	6	32	8	17
V98	9	45	10	8	160	90	10	6
V99	0	183	0	2	4	38	1	28
V100	3	48	24	25	6	142	9	11
