MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
2:Ins:R:0	8.06E-04	4.17E-04	2.74E-03	4.52E-04	2.08E-04	3.30E-03	1.34E-03	3.11E-03
2:Ins:R:1	5.02E-05	1.09E-04	2.41E-04	6.54E-05	2.96E-05	4.26E-04	1.19E-04	1.07E-03
2:Ins:R:2	3.91E-05	3.13E-05	4.45E-05	1.67E-05	2.86E-09	1.91E-05	3.01E-05	6.94E-06
2:Ins:R:3	2.08E-05	8.49E-06	4.31E-05	0.00E+00	1.72E-09	1.10E-05	1.02E-05	1.42E-04
2:Ins:R:4	1.75E-05	1.20E-05	6.80E-05	1.86E-06	3.76E-09	1.97E-05	1.54E-05	1.25E-04
2:Ins:R:5	5.01E-06	1.19E-05	1.25E-05	0.00E+00	9.28E-08	3.98E-05	3.90E-06	7.07E-05
3:Ins:R:0	1.30E-04	3.56E-04	1.35E-03	2.77E-04	7.20E-05	2.58E-03	1.20E-03	1.50E-03
3:Ins:R:1	1.19E-05	3.42E-05	5.05E-05	9.11E-06	1.37E-09	1.33E-04	9.75E-05	1.95E-04
3:Ins:R:2	1.47E-06	4.14E-06	1.30E-05	0.00E+00	4.26E-06	2.79E-05	2.34E-08	5.00E-05
3:Ins:R:3	7.03E-06	3.48E-07	4.50E-06	0.00E+00	8.03E-06	2.31E-08	5.15E-08	3.00E-05
3:Ins:R:4	6.45E-10	1.66E-09	4.19E-08	5.72E-10	1.57E-10	3.21E-08	3.00E-08	1.55E-08
3:Ins:R:5	6.45E-10	1.66E-09	4.19E-08	5.72E-10	1.57E-10	3.21E-08	3.00E-08	1.55E-08
4:Ins:R:0	5.83E-05	3.79E-04	1.27E-03	2.79E-04	7.27E-05	2.68E-03	1.25E-03	1.64E-03
4:Ins:R:1	2.41E-05	7.58E-06	5.38E-05	3.75E-05	1.06E-07	1.49E-04	8.22E-05	4.52E-05
4:Ins:R:2	2.06E-08	3.67E-06	3.41E-08	5.72E-10	1.50E-09	2.76E-06	1.15E-05	3.88E-08
4:Ins:R:3	5.19E-10	3.19E-06	2.40E-08	0.00E+00	2.60E-06	5.10E-08	4.40E-08	4.50E-05
4:Ins:R:4	5.20E-10	1.71E-09	2.21E-06	1.04E-08	9.55E-10	4.93E-08	4.28E-08	7.26E-05
4:Ins:R:5	6.45E-10	1.66E-09	4.19E-08	5.72E-10	1.57E-10	3.21E-08	3.00E-08	1.55E-08
