Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
V1	0	82	137	19	15	0	0	4	0	1	17	4	14	0	0	6	14	0	15	0
V2	103	6	12	12	3	18	4	18	0	9	1	13	2	6	3	0	0	0	2	3
V3	15	57	2	14	32	4	24	23	0	17	20	10	12	18	0	0	0	17	0	0
V4	567	3	12	0	2	204	8	0	0	15	0	0	48	0	0	0	12	0	0	0
V5	182	206	0	11	27	98	2	3	28	7	19	3	33	9	0	11	4	0	0	2
V6	12	6	131	0	35	6	0	0	45	1	0	0	2	0	0	0	18	0	2	2
V7	5	77	29	2	8	1	1	0	0	3	26	0	3	3	0	52	13	15	0	0
V8	0	49	0	69	0	3	40	75	0	39	3	11	2	6	0	0	4	0	1	0
V9	23	12	23	20	0	7	43	3	9	19	12	5	5	9	11	4	0	0	4	1
V10	55	0	87	0	12	24	5	0	22	3	12	0	4	8	0	2	6	2	1	0
V11	33	3	21	5	82	0	0	0	85	0	17	1	55	0	0	24	0	0	0	0
V12	0	4	26	54	13	0	1	60	13	7	0	30	7	6	0	0	0	0	14	0
V13	201	70	8	0	5	36	1	0	1	4	1	2	18	0	0	0	0	0	5	0
V14	30	15	1	28	3	3	12	20	0	21	3	21	8	0	48	0	0	0	0	0
V15	0	3	2	1	15	0	0	5	6	0	7	2	3	0	0	2	0	0	5	0
V16	98	0	6	15	26	9	0	17	9	4	5	22	4	0	0	0	0	0	5	0
V17	5	2	34	41	10	7	72	16	22	67	4	13	0	10	29	0	0	0	17	0
V18	0	0	0	0	2	1	7	0	0	0	2	0	0	24	0	0	0	0	7	0
V19	22	0	51	36	2	3	13	5	4	0	0	7	0	4	8	2	4	5	0	5
V20	3	41	112	102	15	3	19	34	9	17	5	30	1	11	0	0	42	0	0	0
V21	0	116	0	47	16	1	103	35	9	48	6	0	7	0	43	3	26	1	0	0
V22	110	47	48	8	15	30	1	4	17	12	55	7	29	9	0	13	7	0	0	0
V23	33	1	217	123	1	16	70	26	5	21	0	38	0	17	0	0	24	0	4	9
V24	4	16	18	5	23	1	0	4	2	0	28	0	3	0	0	0	0	12	18	0
V25	10	39	51	77	51	2	27	43	2	9	33	26	3	23	2	50	0	0	0	0
V26	13	26	33	7	35	8	41	10	11	6	3	12	16	15	0	11	3	11	13	0
V27	20	92	3	30	1	21	0	25	0	1	0	25	22	0	0	0	1	0	0	5
V28	57	2	38	17	0	5	0	1	0	1	0	6	0	0	0	0	4	1	0	0
V29	0	0	104	29	114	2	94	27	13	3	51	10	25	19	73	6	24	5	7	0
V30	9	13	23	71	24	3	21	252	8	9	0	43	6	36	0	0	8	2	2	12
V31	59	12	6	18	1	14	0	4	0	0	0	0	0	0	0	0	1	0	6	0
V32	4	0	111	2	22	2	0	0	0	0	10	1	0	0	0	39	2	0	2	0
V33	113	22	18	14	1	19	35	13	11	24	0	40	10	12	4	6	1	0	0	0
V34	26	112	0	73	1	33	2	47	0	9	1	26	2	0	0	0	0	11	0	5
V35	124	38	9	244	0	69	63	28	9	45	13	103	5	17	51	24	0	0	0	0
V36	0	1	24	5	6	0	0	1	7	4	4	1	0	4	0	0	1	0	7	0
V37	0	227	100	16	15	7	41	6	27	52	0	8	8	29	0	3	104	44	0	0
V38	2	57	1	12	3	0	4	0	7	2	23	1	3	0	0	26	0	10	0	0
V39	2	0	124	0	7	0	13	0	14	12	0	1	0	0	11	0	11	0	0	0
