Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
V1	89	90	0	0	0	37	24	1	62	0	60	22	0	0	0
V2	152	1	0	13	0	13	49	136	0	6	7	0	0	0	0
V3	32	131	0	215	105	0	12	12	36	0	0	20	0	17	24
V4	61	11	182	0	0	2	40	17	0	0	0	5	0	26	0
V5	223	25	69	0	42	78	135	8	8	0	25	0	0	10	0
V6	38	0	10	24	6	0	0	2	1	0	0	12	4	1	1
V7	25	1	195	0	96	17	0	0	7	52	14	0	21	0	0
V8	0	31	0	42	20	0	40	78	9	2	0	0	4	0	9
V9	29	2	11	1	0	50	0	0	8	1	0	42	0	0	0
V10	57	35	29	87	17	9	25	0	9	0	2	5	0	0	26
V11	74	29	0	96	147	0	0	3	31	0	0	150	0	0	32
V12	0	149	24	8	0	1	69	40	86	0	2	0	18	0	0
V13	45	18	26	31	0	19	2	0	15	0	10	21	35	30	0
V14	1	5	42	26	4	27	0	2	30	0	13	21	0	0	0
V15	9	2	0	59	163	0	14	9	21	8	0	26	0	32	0
V16	40	23	0	10	0	56	1	0	21	0	57	0	0	0	0
V17	9	12	0	41	86	44	0	40	0	0	55	0	0	0	0
V18	0	25	1	0	0	6	0	0	2	0	0	0	0	0	0
V19	0	59	56	0	1	10	89	52	18	0	15	0	9	18	1
V20	238	360	70	18	31	14	9	0	126	0	37	68	0	0	0
V21	10	33	58	0	0	63	10	0	5	0	5	0	10	0	0
V22	26	4	0	0	3	19	128	0	4	0	20	0	0	9	0
V23	0	281	21	2	57	0	0	36	98	0	0	23	0	0	0
V24	51	0	282	5	0	26	2	0	0	115	4	58	0	0	0
V25	0	3	8	11	9	32	15	0	10	0	15	0	0	16	0
V26	0	21	0	0	0	3	18	49	11	46	5	8	13	0	0
V27	8	2	30	55	17	14	0	4	7	0	12	21	13	0	16
V28	56	0	13	4	0	0	4	103	0	75	2	65	6	0	0
V29	0	13	13	15	54	0	20	12	2	0	0	2	0	22	0
V30	95	19	9	13	7	1	20	0	0	0	0	0	0	5	0
V31	9	20	0	0	3	5	0	0	2	0	1	0	2	0	0
V32	49	24	0	30	7	2	0	0	11	18	0	28	25	0	18
V33	3	4	48	69	0	28	0	0	2	0	24	0	0	0	6
V34	107	0	0	12	0	0	11	0	1	17	3	19	0	0	0
V35	2	76	28	0	3	9	0	0	15	0	3	6	4	0	0
V36	4	19	74	26	0	6	5	35	7	80	2	0	0	0	0
V37	33	0	0	116	38	7	0	6	5	0	0	71	0	13	0
V38	223	0	108	30	80	36	0	41	0	83	35	6	19	0	0
V39	23	4	8	78	77	0	0	55	0	0	0	5	1	0	9
V40	47	3	8	154	153	2	39	13	2	0	0	0	0	35	12
V41	26	30	86	0	0	25	9	48	24	43	23	15	4	14	0
V42	0	24	8	0	0	11	17	0	20	0	0	2	0	10	0
V43	8	152	2	53	23	15	0	12	46	9	1	25	36	0	0
V44	5	19	36	59	0	13	0	7	5	0	21	0	0	0	0
V45	88	107	19	0	0	44	17	93	39	0	68	4	19	0	0
V46	0	75	0	16	68	16	43	0	49	0	37	28	0	26	0
V47	0	0	75	0	34	7	67	105	1	0	6	0	0	0	0
V48	1	0	5	14	21	10	0	0	0	0	3	0	0	0	3
V49	5	12	0	0	0	41	2	5	6	0	36	0	0	0	0
V50	45	0	0	36	26	0	22	57	0	156	0	3	0	7	3
V51	33	10	42	132	43	7	0	9	26	0	1	1	1	0	0
V52	36	22	0	20	57	4	12	0	14	0	8	0	0	0	32
V53	180	110	15	1	52	22	0	0	74	0	11	16	15	0	0
V54	0	95	19	74	30	21	85	0	31	0	38	0	0	26	0
V55	0	28	29	5	5	1	4	0	0	0	0	21	0	0	0
V56	72	92	3	22	3	0	17	0	65	18	0	0	17	0	0
V57	12	12	23	0	9	29	19	7	1	63	21	0	0	39	0
V58	67	35	38	0	25	5	5	0	10	0	13	0	0	0	0
V59	111	37	69	0	0	2	0	0	24	0	0	0	27	0	0
V60	0	153	97	0	0	97	16	0	65	0	47	0	0	0	0
V61	0	42	5	0	0	44	100	23	18	9	42	0	41	0	0
V62	48	0	16	48	56	16	23	24	0	0	19	10	13	0	0
V63	46	3	31	0	4	0	3	0	0	11	0	0	4	0	4
V64	78	13	44	0	0	5	5	0	4	3	0	0	5	0	8
V65	46	85	139	0	0	3	7	81	35	0	0	10	23	1	0
V66	3	10	0	10	58	33	26	30	4	6	0	0	7	0	0
V67	17	12	0	86	11	32	44	53	1	7	22	14	53	0	0
V68	166	188	18	0	0	57	0	0	40	0	8	36	0	0	0
V69	0	8	4	21	7	10	0	10	10	0	10	1	0	3	0
V70	78	49	6	0	3	108	16	0	11	0	55	0	0	0	0
V71	13	0	18	89	0	47	5	0	2	0	50	0	0	0	4
V72	78	7	0	53	12	12	5	0	1	15	0	1	0	11	12
V73	15	13	44	14	0	92	0	4	16	0	0	9	11	0	0
V74	32	0	30	0	0	43	0	0	2	0	10	9	16	0	0
V75	23	183	7	6	6	6	0	6	56	20	14	13	3	0	0
V76	19	30	38	16	27	2	0	0	3	0	0	1	2	21	0
V77	0	23	124	110	23	3	14	0	25	0	0	11	0	0	0
V78	71	51	87	11	1	9	0	1	18	22	0	38	0	0	0
V79	3	49	40	131	93	37	32	17	29	4	24	0	0	0	4
V80	46	88	3	5	3	2	0	0	24	0	0	0	4	5	0
V81	0	30	10	0	0	111	2	13	4	0	21	0	0	11	0
V82	32	24	42	47	19	7	24	34	10	0	19	0	0	0	0
V83	0	55	0	26	3	0	0	9	0	19	8	0	4	0	0
V84	0	2	41	140	106	8	88	89	20	123	8	14	0	73	16
V85	87	0	7	0	0	0	12	103	4	0	0	45	54	0	8
V86	106	49	25	93	44	35	0	6	23	53	18	26	0	0	0
V87	130	17	70	50	3	0	0	9	14	0	0	0	101	16	0
V88	96	7	3	15	3	8	0	0	10	0	0	21	9	0	0
V89	0	1	3	1	0	1	17	13	1	41	0	0	0	0	0
V90	79	13	12	49	50	142	0	0	0	0	75	0	0	2	0
V91	0	23	0	0	0	0	20	29	13	55	1	0	0	0	0
V92	0	5	46	0	0	0	0	0	17	1	0	0	0	1	0
V93	0	30	39	83	42	64	98	55	56	0	15	58	0	0	0
V94	0	73	0	0	1	0	14	2	22	0	0	0	0	14	0
V95	160	0	7	0	0	37	83	164	1	0	30	0	0	0	0
V96	59	115	87	22	15	24	124	40	23	83	0	0	0	0	0
V97	27	0	1	0	13	6	4	0	0	16	0	3	0	1	9
V98	345	146	0	31	0	25	156	64	63	12	22	4	79	0	0
V99	47	81	1	48	13	36	0	0	53	0	0	41	0	14	1
V100	0	79	132	22	29	14	0	2	88	0	9	0	0	0	0
