Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,0.89,0.86,NO,N/A,61.86%,72.9%,135.94%,62.4%,94.27,0.4401,1.2552,0.216,0.565,0.759,0.36
3,0.65,0.55,NO,N/A,51.48%,57.86%,134.21%,49.36%,88.17,0.364,1.281,0.155,0.5,0.826,0.431
4,0.82,0.55,NO,N/A,33.34%,38.14%,119.58%,29.86%,94.19,10.2669,1000.0,0.095,0.585,0.894,0.331
5,0.78,0.58,NO,N/A,23.07%,29.92%,88.62%,20.62%,73.62,0.1791,0.5593,0.041,0.322,0.954,0.639
6*,1.0,1.0,YES,Most Stab Sigs,9.77%,19.09%,45.02%,11.83%,32.54,0.1045,0.3283,0.01,0.053,0.988,0.936
7,0.76,-0.67,NO,N/A,9.68%,19.28%,45.83%,11.8%,31.64,0.1055,0.3487,0.01,0.051,0.989,0.938
8,0.55,-0.76,NO,N/A,9.38%,19.29%,43.68%,11.63%,30.87,0.1056,0.3338,0.009,0.049,0.989,0.941
9,0.43,-0.82,NO,N/A,9.94%,20.25%,45.14%,12.37%,31.83,0.1066,0.3462,0.01,0.051,0.989,0.942
10,0.37,-0.7,NO,N/A,9.49%,19.42%,42.86%,11.05%,29.65,0.1082,0.3181,0.008,0.044,0.991,0.947
11,0.35,-0.73,NO,N/A,8.32%,18.66%,38.68%,10.53%,27.57,0.1047,0.3432,0.007,0.038,0.992,0.956
12,0.28,-0.73,NO,N/A,8.72%,18.3%,37.73%,10.06%,26.95,0.1045,0.3266,0.007,0.037,0.992,0.957
13,0.24,-0.74,NO,N/A,7.92%,18.03%,40.83%,9.76%,27.51,0.1053,0.3869,0.006,0.036,0.993,0.958
14,0.18,-0.66,NO,N/A,7.62%,17.6%,39.22%,9.69%,28.97,0.1023,0.3375,0.006,0.043,0.993,0.949
15,0.15,-0.78,NO,N/A,7.93%,18.12%,41.78%,9.66%,25.57,0.107,0.3587,0.006,0.033,0.993,0.961
16,0.09,-0.72,NO,N/A,8.6%,17.59%,46.0%,9.69%,26.49,0.1052,0.2959,0.006,0.031,0.993,0.964
17,0.2,-0.7,NO,N/A,7.73%,17.53%,43.51%,9.14%,24.9,0.1028,0.3092,0.005,0.031,0.994,0.964
18,0.17,-0.72,NO,N/A,7.57%,16.89%,35.73%,8.93%,23.64,0.0982,0.2985,0.005,0.028,0.995,0.967
19,0.09,-0.7,NO,N/A,8.9%,18.16%,42.0%,9.78%,25.26,0.1077,0.2883,0.005,0.032,0.994,0.962
20,0.15,-0.74,NO,N/A,6.95%,15.9%,38.07%,8.01%,23.81,0.0975,0.3087,0.004,0.029,0.995,0.966
