Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S
V1	10	62	33	0	0	56	9	0	0	0	0	42	17	0	0	5	8	0	0
V2	43	7	0	0	15	15	0	15	37	9	14	15	24	0	5	1	0	0	0
V3	4	15	26	9	18	33	0	0	0	0	16	15	63	0	0	1	0	0	0
V4	5	34	1	11	23	35	10	0	0	0	0	9	7	0	0	15	3	2	0
V5	63	38	0	16	0	1	0	17	12	23	0	0	8	9	0	2	0	16	0
V6	46	1	43	8	1	7	17	0	0	0	0	0	3	0	0	0	0	0	14
V7	29	61	58	102	0	4	62	4	0	0	0	0	0	10	0	10	0	0	0
V8	1	14	0	0	0	70	1	33	0	2	5	35	8	14	0	0	0	0	0
V9	42	3	159	0	27	32	37	0	67	0	97	27	13	0	0	0	0	0	0
V10	47	2	0	0	5	1	2	2	0	4	0	3	1	0	0	3	0	2	1
V11	17	2	18	2	0	7	1	29	0	6	0	0	0	4	0	0	0	3	0
V12	1	13	0	0	73	0	0	0	8	0	0	3	0	2	10	0	1	0	0
V13	0	102	30	13	8	50	33	0	15	0	11	8	62	0	2	19	27	0	16
V14	149	6	27	78	0	28	15	0	13	24	10	0	33	0	20	2	0	0	0
V15	145	26	7	0	44	57	28	29	0	0	30	29	0	0	29	0	0	5	2
V16	71	4	24	0	0	9	2	5	0	21	0	2	0	0	0	0	0	0	1
V17	138	96	41	0	0	2	48	22	0	6	0	0	0	0	0	20	10	0	0
V18	30	3	38	4	0	41	48	0	15	0	0	0	10	0	0	2	6	0	0
V19	10	50	32	54	0	0	7	0	0	0	0	0	6	0	37	7	15	0	0
V20	11	19	32	0	0	24	45	28	5	0	10	20	14	0	0	5	21	0	0
V21	7	29	160	22	0	0	124	11	0	7	0	0	0	0	0	3	0	0	0
V22	11	129	11	2	0	4	4	0	0	4	0	0	12	0	0	0	0	0	0
V23	7	3	27	77	119	0	18	99	0	27	12	6	41	4	22	2	36	0	0
V24	80	0	12	19	0	0	1	20	0	19	0	0	1	15	20	0	1	0	3
V25	28	70	16	189	17	8	0	38	0	5	0	0	23	13	55	11	0	13	0
V26	63	63	16	0	0	46	4	1	6	23	0	3	4	17	0	18	6	22	3
V27	13	0	201	0	0	51	60	98	14	31	17	6	18	55	0	0	21	0	0
V28	46	34	0	49	0	0	3	0	2	4	0	0	0	0	0	12	0	0	22
V29	17	1	74	10	0	13	89	82	0	69	0	0	12	18	0	0	6	6	0
V30	0	13	1	38	0	76	3	0	132	1	21	40	0	0	0	1	3	7	0
V31	17	64	57	0	16	0	0	0	0	0	21	0	0	0	5	13	11	0	17
V32	4	43	5	48	67	6	0	49	0	62	0	0	11	0	34	2	0	14	0
V33	29	71	36	42	35	42	0	41	0	8	0	0	20	13	0	17	0	0	0
V34	25	6	2	77	12	0	1	3	9	0	0	0	5	0	10	3	0	0	0
V35	113	6	10	0	0	39	7	0	93	0	23	28	0	23	2	0	9	24	0
V36	0	29	5	11	3	0	2	9	0	15	0	0	0	1	0	12	0	0	3
V37	39	2	2	0	13	16	0	0	0	2	21	0	15	0	0	0	0	0	0
V38	7	22	95	94	61	0	34	0	0	0	4	0	0	0	49	1	0	0	0
V39	42	0	38	96	0	22	5	28	0	20	0	18	0	12	10	0	0	0	0
V40	7	6	0	0	0	175	0	2	21	2	63	60	86	3	0	0	56	0	0
V41	4	199	46	25	0	1	60	1	0	25	0	0	0	24	0	43	0	0	0
V42	21	262	4	3	0	0	2	20	0	7	0	0	0	2	0	41	0	0	0
V43	85	62	14	0	8	76	22	0	0	0	41	59	23	0	0	8	49	0	0
V44	33	1	1	50	60	46	15	51	32	51	0	6	36	27	0	0	6	0	0
V45	9	3	49	0	129	89	30	48	53	0	104	71	50	0	0	1	5	0	0
V46	12	75	11	0	0	110	41	1	11	3	40	50	41	0	0	6	41	0	0
V47	16	20	28	0	0	8	22	10	38	2	17	3	0	0	0	0	0	0	0
V48	11	84	27	66	0	89	30	0	83	0	0	35	33	0	0	20	30	0	0
V49	47	15	0	0	0	0	11	0	0	0	0	11	9	0	0	0	2	0	20
V50	11	6	2	37	2	20	2	72	11	74	0	0	0	12	2	3	0	0	0
V51	102	3	2	47	119	3	0	32	6	12	0	10	0	35	7	0	0	0	0
