Samples	ID1	ID2	ID8	ID9	ID83A	ID83F
V1	0	0	145	0	55	124
V2	48	0	0	223	63	52
V3	71	93	237	0	28	42
V4	52	24	77	34	0	52
V5	0	156	0	0	72	0
V6	110	0	0	0	54	32
V7	37	0	177	0	0	0
V8	18	0	46	0	62	70
V9	0	50	0	0	220	98
V10	88	49	0	0	77	146
V11	0	59	0	0	0	50
V12	0	62	89	0	31	28
V13	48	67	0	0	0	0
V14	166	0	0	0	37	0
V15	0	38	0	111	92	51
V16	0	17	90	74	0	49
V17	31	26	58	0	0	16
V18	31	105	0	75	233	0
V19	0	0	146	0	93	0
V20	38	0	0	0	14	166
V21	0	0	0	0	333	80
V22	49	203	280	102	0	94
V23	58	115	0	0	37	86
V24	0	0	0	111	232	69
V25	46	34	134	0	0	111
V26	0	69	36	0	0	50
V27	0	18	50	0	0	164
V28	151	0	0	0	234	0
V29	159	41	86	149	0	51
V30	0	0	270	0	0	77
V31	9	60	0	0	0	26
V32	37	56	0	0	0	55
V33	0	77	48	0	87	23
V34	67	57	0	0	17	0
V35	0	26	58	0	29	87
V36	58	0	0	63	97	0
V37	0	636	0	0	202	0
V38	0	0	0	0	195	0
V39	0	0	0	122	35	30
V40	0	0	0	0	0	290
V41	175	0	0	268	72	0
V42	202	29	0	0	0	0
V43	33	46	97	143	57	0
V44	0	29	89	0	115	0
V45	224	32	0	0	0	67
V46	47	282	0	0	0	62
V47	87	138	114	57	0	0
V48	128	48	0	127	0	0
V49	47	210	91	0	0	0
V50	19	16	19	0	15	8
V51	0	397	312	0	165	0
V52	201	0	0	0	259	0
V53	0	0	131	0	236	62
V54	32	0	118	77	136	0
V55	54	0	0	62	118	0
V56	0	94	0	0	0	32
V57	150	246	0	0	213	0
V58	73	0	105	0	279	0
V59	87	0	56	90	0	48
V60	126	66	0	0	49	0
V61	0	105	0	354	295	0
V62	73	0	0	30	0	0
V63	0	55	207	0	0	106
V64	0	0	66	0	0	20
V65	78	34	48	42	28	0
V66	0	0	372	0	0	0
V67	138	48	66	98	0	0
V68	0	0	0	0	0	139
V69	14	8	23	0	0	6
V70	0	0	0	0	657	0
V71	0	66	0	0	78	67
V72	160	309	0	0	0	0
V73	0	115	0	172	36	78
V74	86	0	0	0	0	53
V75	123	0	0	241	45	0
V76	35	0	0	159	115	0
V77	0	42	32	43	13	28
V78	18	67	0	0	71	33
V79	24	78	162	0	38	64
V80	138	30	0	43	94	0
V81	27	0	156	235	0	0
V82	0	92	107	0	129	0
V83	0	0	38	0	24	0
V84	0	208	105	81	0	0
V85	63	0	0	128	404	0
V86	41	0	0	121	102	34
V87	72	84	0	113	204	0
V88	0	0	0	30	74	19
V89	22	121	0	0	49	0
V90	20	0	0	0	195	35
V91	127	128	96	0	0	0
V92	0	0	322	0	95	0
V93	70	33	0	70	23	0
V94	0	26	0	28	24	0
V95	0	180	0	140	0	0
V96	121	0	43	92	0	55
V97	0	16	45	26	13	0
V98	66	57	0	0	235	0
V99	25	0	0	68	32	38
V100	0	0	0	0	505	0
