NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	126.313	23.36	26.013	14.694	0.098	0.983	100000.0
2	127.966	23.21	26.326	14.639	0.094	0.985	120000.0
3	127.784	23.261	25.854	14.351	0.097	0.984	100000.0
4	126.811	23.403	25.653	14.399	0.098	0.985	100000.0
5	125.309	23.503	25.396	14.649	0.1	0.983	70000.0
6	126.899	23.341	26.122	14.764	0.095	0.984	80000.0
7	127.389	23.068	26.173	14.416	0.098	0.984	90000.0
8	126.218	23.05	25.318	14.053	0.096	0.986	90000.0
9	126.126	23.079	25.775	14.457	0.097	0.984	50000.0
10	126.729	23.271	25.771	14.448	0.099	0.983	80000.0
11	125.541	22.967	25.285	14.071	0.098	0.984	80000.0
12	127.141	23.307	25.873	14.641	0.099	0.983	70000.0
13	127.425	23.273	26.425	14.629	0.099	0.983	100000.0
14	127.715	23.185	25.66	14.248	0.097	0.985	90000.0
15	124.189	22.781	25.549	14.295	0.097	0.985	60000.0
16	124.865	23.152	25.776	14.756	0.096	0.984	80000.0
17	125.426	23.037	25.936	14.343	0.096	0.984	90000.0
18	122.475	22.855	24.587	14.267	0.096	0.985	80000.0
19	123.147	22.647	24.523	14.052	0.096	0.985	110000.0
20	127.661	23.54	26.016	14.686	0.098	0.984	120000.0
21	127.383	23.557	26.198	14.775	0.1	0.983	80000.0
22	129.198	23.375	26.404	14.565	0.096	0.984	80000.0
23	126.694	23.53	25.545	14.645	0.097	0.983	70000.0
24	124.195	22.951	25.125	14.434	0.098	0.984	60000.0
25	124.622	22.685	25.401	13.915	0.095	0.986	80000.0
