Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,0.74,0.74,NO,N/A,65.85%,76.12%,142.27%,62.76%,99.08,0.5106,1.2376,0.222,0.556,0.76,0.397
3,0.66,0.33,NO,N/A,49.89%,65.19%,112.54%,51.02%,92.72,0.4041,0.8678,0.146,0.467,0.843,0.464
4,0.82,0.47,NO,N/A,31.99%,45.88%,134.96%,35.58%,82.5,0.3086,1.1681,0.091,0.429,0.901,0.532
5,1.0,1.0,YES,4.49e-03,19.07%,30.72%,81.1%,17.41%,70.52,0.1845,0.5999,0.039,0.283,0.957,0.672
6*,1.0,1.0,YES,Most Stab Sigs,14.6%,24.25%,59.12%,14.56%,51.21,0.1263,0.3369,0.018,0.137,0.981,0.854
7,0.79,-0.4,NO,N/A,12.93%,23.71%,63.34%,13.66%,55.5,0.1332,0.3423,0.016,0.16,0.982,0.83
8,0.65,-0.61,NO,N/A,11.28%,22.87%,53.59%,11.5%,44.69,0.1249,0.3375,0.011,0.098,0.988,0.896
9,0.68,-0.24,NO,N/A,10.65%,18.37%,46.33%,8.77%,41.92,0.1146,0.3344,0.009,0.089,0.99,0.899
10,0.59,-0.44,NO,N/A,6.82%,16.94%,57.99%,8.37%,36.61,0.1078,0.3616,0.006,0.045,0.994,0.955
11,0.66,-0.42,NO,N/A,6.18%,15.63%,35.79%,7.86%,26.22,0.0969,0.3204,0.004,0.034,0.996,0.962
12,0.64,-0.66,NO,N/A,5.47%,14.95%,35.5%,7.13%,24.8,0.0951,0.3215,0.004,0.031,0.996,0.965
13,0.49,-0.74,NO,N/A,5.83%,15.77%,37.06%,7.29%,24.4,0.0972,0.3168,0.004,0.029,0.996,0.967
14,0.51,-0.88,NO,N/A,5.04%,14.54%,34.69%,6.91%,24.02,0.092,0.2934,0.003,0.029,0.996,0.967
15,0.45,-0.81,NO,N/A,5.05%,15.45%,33.85%,6.89%,20.48,0.0923,0.2831,0.003,0.02,0.997,0.978
16,0.38,-0.61,NO,N/A,5.38%,15.31%,31.56%,6.96%,21.58,0.096,0.2637,0.003,0.023,0.996,0.973
17,0.37,-0.62,NO,N/A,4.74%,14.08%,32.69%,6.3%,19.18,0.088,0.2733,0.003,0.018,0.997,0.979
18,0.31,-0.62,NO,N/A,5.07%,14.4%,30.66%,6.43%,17.19,0.0897,0.2697,0.002,0.013,0.997,0.985
19,0.34,-0.72,NO,N/A,4.52%,13.36%,34.46%,6.1%,17.38,0.0852,0.2518,0.002,0.009,0.998,0.99
20,0.34,-0.84,NO,N/A,4.08%,12.64%,34.09%,5.65%,16.86,0.0805,0.2994,0.002,0.012,0.998,0.987
