Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
V1	94	14	40	4	49	43	11	0
V2	14	0	1	25	38	48	0	29
V3	16	2	23	38	49	31	0	43
V4	0	7	0	30	1	0	10	0
V5	142	62	1	68	24	22	0	5
V6	19	2	57	13	105	155	0	25
V7	116	4	0	0	29	80	1	4
V8	21	76	8	0	2	6	0	9
V9	0	0	13	8	43	4	10	16
V10	29	1	114	0	46	5	0	1
V11	41	0	27	110	6	14	2	29
V12	0	33	25	0	45	5	6	3
V13	1	102	9	0	3	0	0	24
V14	126	85	4	11	3	0	6	0
V15	53	28	21	0	10	29	0	2
V16	78	53	5	49	14	0	0	0
V17	27	1	29	15	6	7	0	0
V18	6	34	5	24	37	9	0	0
V19	131	97	0	0	52	0	4	0
V20	28	56	1	0	117	15	0	4
V21	20	0	2	43	14	0	16	48
V22	30	0	85	115	25	1	0	0
V23	10	175	151	76	52	100	0	26
V24	21	132	4	5	2	10	0	6
V25	17	54	22	50	0	12	0	70
V26	2	424	3	0	113	0	43	0
V27	7	16	3	262	0	13	0	4
V28	177	0	122	21	312	54	0	41
V29	57	5	0	3	70	0	105	4
V30	77	97	6	44	34	0	0	14
V31	65	0	21	5	84	96	2	9
V32	28	9	3	9	0	45	0	24
V33	80	71	19	0	10	0	40	0
V34	0	15	0	135	0	43	20	28
V35	1	6	4	8	1	143	0	0
V36	88	273	0	0	20	5	120	0
V37	87	156	146	4	0	0	43	0
V38	56	0	11	0	31	7	0	3
V39	21	2	2	35	0	145	42	6
V40	32	188	38	39	2	1	150	2
V41	8	2	75	39	2	2	0	0
V42	0	9	46	0	111	51	8	1
V43	0	155	108	0	58	0	34	0
V44	134	0	7	24	0	19	2	8
V45	0	0	268	1	0	128	5	9
V46	3	41	74	9	30	15	0	0
V47	142	1	28	1	6	13	0	0
V48	39	52	36	111	2	6	0	0
V49	74	13	20	6	2	3	21	1
V50	5	1	29	44	41	0	0	0
V51	83	41	0	19	9	7	0	2
V52	7	4	64	0	1	102	0	9
V53	210	12	14	68	1	212	0	0
V54	26	11	13	20	3	54	0	0
V55	0	1	4	129	55	177	0	29
V56	87	186	4	51	21	70	0	112
V57	15	3	38	5	21	0	60	15
V58	41	97	109	0	107	1	39	2
V59	12	0	5	149	0	21	28	13
V60	130	22	6	17	2	16	0	16
V61	24	0	11	79	23	30	5	8
V62	307	6	24	19	0	68	0	4
V63	212	173	4	15	4	9	28	0
V64	44	0	63	2	113	53	35	0
V65	14	0	25	25	14	7	8	4
V66	34	12	10	10	0	0	0	9
V67	272	91	7	92	19	5	0	0
V68	9	0	17	90	49	88	3	11
V69	0	47	0	34	34	21	67	74
V70	261	17	0	0	62	12	0	0
V71	0	26	51	47	25	0	3	0
V72	44	84	29	30	20	11	0	0
V73	51	92	62	32	0	41	11	12
V74	0	8	35	10	10	0	0	21
V75	64	28	37	6	4	7	0	0
V76	41	11	35	0	221	6	0	0
V77	32	12	15	51	39	3	38	41
V78	12	3	80	77	1	23	0	6
V79	2	68	0	70	3	3	0	0
V80	2	12	1	0	55	10	6	0
V81	1	1	8	0	12	0	0	0
V82	0	32	97	161	126	26	27	0
V83	7	6	82	22	29	15	0	31
V84	136	29	6	121	5	0	5	31
V85	28	72	278	36	54	51	0	0
V86	22	3	217	135	2	1	8	0
V87	169	0	13	156	56	0	5	0
V88	0	141	18	23	23	23	14	0
V89	1	0	16	8	179	1	0	0
V90	140	2	90	17	4	0	5	9
V91	57	59	74	64	9	151	57	0
V92	9	69	136	6	34	147	32	45
V93	9	7	22	19	54	1	0	0
V94	2	0	12	22	71	13	0	14
V95	57	51	112	9	36	9	0	0
V96	56	199	6	11	52	100	4	4
V97	34	16	153	81	112	0	0	41
V98	0	20	39	63	6	168	15	66
V99	19	50	50	23	3	2	0	10
V100	9	56	24	31	4	42	0	0
