MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
1:Ins:C:5	0.004419422160412978	0.0001477134646847844	0.0	0.05519885141402483	9.384103805132327e-08	0.00548844101922441	0.0	8.621937013231218e-05	0.007748319953680039	0.004106068326655077	0.0022026125341653826	0.013831627274566927	0.019636900117620825	0.034630289277993144	0.025735671736310906
1:Ins:T:0	0.0006868183008805317	0.0005140617135396041	0.00021210341325286208	0.0002974868797991803	7.824049292821655e-05	0.014140055840834975	0.003799308413175595	0.002171921357512474	0.006833132042083889	0.00443873405456543	0.013064241246320307	0.005874327151877879	0.018195293471217157	0.0029887812972447135	0.0008277110275429322
1:Ins:T:1	8.037566630036963e-08	2.5497075171188046e-07	3.225307310117387e-09	9.891267161776795e-07	0.00025560837773355163	0.003928413093022698	0.018130622711032628	0.0027543184867170113	6.486648231884829e-08	0.007176246331073344	0.019454986498638506	0.003977682588583775	0.004033427249112265	8.961969507481627e-06	0.0003344108562600923
1:Ins:T:2	0.00026019717333838346	0.0	1.663025250309147e-06	0.003705840536406413	0.00028355284593999385	0.006886531362033566	0.00016286450241409511	0.0005443300120532513	0.004918830644328409	0.0004749661311507225	0.004508510829653289	0.0011488677904424095	0.005200450260991829	0.0037392562958984852	0.0
1:Ins:T:3	0.00010430578898379395	9.768832711642972e-08	0.0	0.00321454138044146	0.0006291909714946087	0.001980026776996624	0.0008941506705809843	0.00011091696796938777	0.009185527719091624	1.1817998313290445e-08	0.00014405443798750638	0.004277089983224869	0.0007070538194568598	4.9827112607658816e-05	0.000958136854099223
1:Ins:T:4	0.0005788351059891284	3.741767216070002e-08	3.617936670252675e-08	0.010603287005653782	0.0015065020881593228	0.014499546121805906	0.0013104667887091637	0.0	0.01229876451761811	0.030091310665812897	0.0022822333499789237	3.3644219854522816e-09	0.00294094760902226	0.0015624255346551764	0.02817257398273796
1:Ins:T:5	6.16672707565158e-08	1.175850775330206e-06	2.417071826243955e-07	0.8879691958427429	3.5032461608120427e-45	1.8274611406909196e-05	1.3892572901584275e-26	0.002902945587788963	0.6728909850120545	0.015029310577335763	0.013963639736175537	0.033363962173461915	0.30036534987775665	0.0010972559452056886	0.0008726804378284214
2:Del:R:0	0.00020553346825380459	2.7374402478130832e-08	2.2124525855815592e-08	0.0006521391692125178	9.644764702443353e-08	0.00505038021128712	0.02245610960583235	0.0012211576713525574	0.0018251379713831283	0.018589234817773102	0.015434180296233535	0.005221511901171994	0.0112487000413239	0.0008531019499059767	0.0
2:Del:R:1	0.0028850453207269313	0.0017398619616869836	6.487038604063854e-08	0.0008627406920027169	2.0505848806351423e-05	0.0	0.009202138613909483	0.003118568042646075	0.00300693903118372	0.005388016254642025	0.008263577101752162	0.002890720241703093	0.0002384440740570426	0.014312288048677147	0.0
2:Del:R:2	1.1553100193850697e-06	0.0	1.2791000187917233e-07	0.00190183256588341	0.00024821210171381835	0.0006246625445783139	0.005316074132383619	2.8462506497817232e-05	0.004520145975357081	0.0011696088921297587	0.0005710046480999154	0.005519895255565644	0.013156359885260826	0.001625330819933879	4.055982003592362e-07
2:Del:R:3	0.000522060385902634	8.595280422696305e-05	1.4164961319806934e-05	0.0014162390918471602	0.0	1.523650284696032e-06	1.4012984643248171e-46	0.00041321097210129666	0.0006743251921001558	1.426867981990654e-07	1.0251270055050554e-07	0.0006992415988122502	0.0011076278710675069	0.0012771146563046898	0.00024300426730832213
2:Del:R:4	0.0003024262295241442	4.226350753810948e-08	2.4052442881838942e-08	4.784636232102457e-07	1.5621131232990138e-07	0.0001140614340869206	1.6984606645564782e-07	7.004408928423799e-08	1.045552380674053e-07	6.76470441092647e-05	1.0269602029211455e-06	0.00017937443851678836	3.186719368386548e-08	0.000638773029731965	0.00015489400090018535
2:Del:R:5	2.6966521460281e-09	0.030688269360445018	4.427722757327501e-08	0.0003528872287432705	9.666028688570805e-08	4.4701635033561614e-07	3.061183805663781e-07	1.168120320471644e-07	9.316918934132445e-08	0.006512299566816182	0.0	6.546376742733173e-06	8.667460150491024e-07	0.043016266502672804	0.04205624274909496
3:Del:R:0	1.0543516708594325e-07	1.4421314631363203e-08	0.0003532315273488962	6.0728936546183835e-09	0.0024908934296334452	0.00014405307456399896	0.002023445965960491	0.01294445612547861	0.0023096534917058874	0.007020744814602154	4.5600515363730665e-08	0.008871199217992398	0.003921194259305594	0.0007510678769037327	0.00041822302155196666
3:Del:R:1	0.000794012303231284	0.0	0.000374548057584434	0.0037834787392057477	0.0021217678382527082	0.008923473861068487	0.008129609283059835	0.0010484984843060375	0.010472680110251532	0.009795106714591384	0.0034549760166555643	0.007092441990971565	0.0055213999876286834	0.004074775405752007	0.00034446539357304575
3:Del:R:2	0.000775832355429884	0.0	7.41747769282597e-05	0.00030994448211458804	0.003283994080265984	0.001703748926956905	0.0010530382413776352	0.00014669244410470128	0.006395233077176954	0.0	0.00399815897895337	0.003769321286756622	0.0015688095469840845	0.00307839309098199	1.4012984643248171e-46
3:Del:R:3	3.01164474578286e-05	1.0478937930713528e-07	0.0003072625098266002	0.0007198288455924739	0.00029961603296797535	8.060012610826562e-05	2.2825266796644427e-07	3.473207570436898e-08	0.0007650809362530709	0.00015398513692730376	1.4979272915383036e-07	1.1439295661830329e-07	0.0	0.00024989564792470275	0.000299507106686292
3:Del:R:4	7.932667713816955e-08	0.00011607639343083064	0.00016264600140658558	3.765336700212174e-08	1.3168232850802042e-07	2.1508072549636382e-07	1.087985452841167e-07	2.778319824869868e-07	1.3790576218752905e-07	0.00023754749900035678	2.0995084710762056e-07	3.11218360593557e-07	0.00037660104840142594	3.100864546468074e-07	0.0001839352399258587
3:Del:R:5	2.2228415161862358e-07	4.827847703836596e-07	2.028214332483458e-07	2.1211170873058904e-07	2.795418783563264e-07	3.2932293123622005e-07	4.874884339756136e-07	3.9243248197706746e-07	3.0703193658609963e-07	4.633499003148245e-07	6.158613217621677e-07	8.317287267800566e-07	1.417044288132274e-07	3.6720079918950434e-07	8.299741651285331e-07
