Kest,Sensitivity,Precision,rmse_novel_Sig,rmse_cosmic_Sig,rmse_Signatures,rmse_novel_Theta,rmse_cosmic_Theta,rmse_Weights,mean_cos_sim,rmse_Lambda,rmse_Counts,kl_counts,overd,J,case
10,1,1,0.006981372592753729,0.009620228928151375,0.008300800760452552,4.54564800219885,59.20826885824722,31.876958430223038,0.9635955748125444,2.2238757640018836,2.5582194664100655,771.9678061953367,0,20,fixed
9,0.9,1,0.005062070365150511,0.015381867682896556,0.010221969024023534,6.788239494992954,60.57128678392792,33.679763139460434,NA,2.0756814455913997,2.6454268564589536,784.2722855157588,0,20,fixed
10,0.9,0.9,0.004859320082679252,0.012001714737191877,0.008430517409935565,12.384933540601489,49.73108327627343,31.05800840843746,0.9733378038903837,2.488622639932624,2.8850308875443464,737.2442234747888,0,20,fixed
10,1,1,0.005002231812338054,0.010929546985333076,0.007965889398835566,7.56942272586586,61.55704896930618,34.56323584758602,0.975913806292961,2.5364652093103426,2.4550565564567064,725.3903660401064,0,20,fixed
9,0.8,0.8888888888888888,0.006845906570766241,0.014584492088227291,0.010715199329496767,15.886210390146621,59.54259448229878,37.7144024362227,NA,2.156623009492097,2.5622246489437606,889.8858142984479,0,20,fixed
10,1,1,0.0060233698949940535,0.013601978992566632,0.009812674443780343,13.13728883150449,59.03458238546151,36.085935608483,0.9692959550512144,2.3745034892855252,2.640584835698733,705.5859225275702,0,20,fixed
10,0.9,0.9,0.005639340637502696,0.011378843502564632,0.008509092070033664,14.376141961026843,50.89671957706752,32.63643076904718,0.9631163601737261,2.318437453157019,2.6784454741556645,730.0020651252004,0,20,fixed
10,1,1,0.006456219508662718,0.012525445002971576,0.009490832255817146,11.105747855039755,54.528646751369344,32.81719730320455,0.9576364671391133,2.2241923907367362,2.480880335440454,717.721852048459,0,20,fixed
10,0.9,0.9,0.005502957048156356,0.011134872020463713,0.008318914534310034,9.496243349646132,60.52869433912346,35.0124688443848,0.967908668091192,2.343643283014327,2.7022779525385547,733.577349061365,0,20,fixed
10,1,1,0.004818132635603964,0.012477071076985025,0.008647601856294495,7.434609335368618,54.46859963879652,30.95160448708257,0.9752808473593989,2.6026115415989604,2.673798532953236,747.144333856718,0,20,fixed
9,0.9,1,0.004694455776976632,0.0139277145299029,0.009311085153439766,8.404410753492467,66.419171463502,37.41179110849723,NA,2.2722717946880877,2.7468668259558835,872.887246197815,0,20,fixed
9,0.8,0.8888888888888888,0.006232208050562993,0.012166261138810978,0.009199234594686986,11.54034051660707,47.96603867973218,29.753189598169627,NA,2.034522361527636,2.570105012942328,820.0365784563643,0,20,fixed
10,1,1,0.004966252618104423,0.011495540242710609,0.008230896430407517,8.097522640540468,53.338155269969434,30.71783895525495,0.9727125438901056,2.234049987342343,2.53751364681606,723.0640280039693,0,20,fixed
9,0.7,0.7777777777777778,0.010993702867478762,0.0076971980839001955,0.009345450475689479,26.370031679761457,50.20724858579907,38.288640132780266,NA,2.366529587114384,2.6992248928790827,856.2163307978208,0,20,fixed
10,0.6,0.6,0.00807620173798216,0.009871969671622254,0.008974085704802206,12.283878846031241,56.75942298171942,34.52165091387533,0.9367007292796904,2.246716149799502,2.8324364194603264,849.2914789082974,0,20,fixed
8,0.7,0.875,0.012052035984106112,0.017806152781495242,0.014929094382800677,21.722922020794034,55.02538705257489,38.374154536684465,NA,2.491770245445912,2.8813531442205367,947.3013619630048,0,20,fixed
10,1,1,0.0061841937244853495,0.008292260945633633,0.007238227335059491,9.608347870871693,54.64582877742057,32.12708832414613,0.966424946143837,2.2728384367353014,2.4712198266417458,795.61804140489,0,20,fixed
10,1,1,0.006008315773896353,0.012291769078808613,0.009150042426352483,7.3985989742297384,53.71553130402008,30.55706513912491,0.9656077997571342,2.3044443902678093,2.4144900856806006,773.6265259895407,0,20,fixed
10,0.9,0.9,0.005349828824834683,0.008944587667905287,0.0071472082463699856,5.317056932614686,39.10275740074155,22.209907166678118,0.9674294970522568,2.200052510746271,2.4334376831473694,819.9728501394751,0,20,fixed
10,1,1,0.005846209127783513,0.013130326235216391,0.009488267681499952,2.4255810869281715,57.967460665420774,30.19652087617447,0.9675583368543211,2.272037971793017,2.5839397847708145,784.9944283511535,0,20,fixed
