Samples	ID83A	ID83B	ID83C	ID83D	ID83E
V84	1.16E+00	3.19E+00	1.10E+01	9.01E+00	5.12E-01
V85	1.96E+00	3.00E+00	2.97E+00	2.39E+00	2.27E+00
V86	3.07E-01	5.47E-01	1.74E+00	1.40E+00	8.31E-01
V87	1.32E+00	9.48E-01	1.41E+00	1.62E+00	1.18E+00
V88	1.28E+00	0.00E+00	3.35E+00	2.25E+00	2.26E+00
V89	1.00E+00	1.84E+00	4.50E+00	4.03E+00	3.94E-01
V90	3.16E+00	0.00E+00	3.62E+00	1.45E+00	1.38E+00
V91	3.01E+00	1.86E+00	2.49E+00	7.77E-01	4.49E+00
V92	1.37E+00	1.90E+00	1.64E+00	1.67E+00	1.05E+00
V93	0.00E+00	2.06E+00	3.81E+00	2.88E+00	1.24E+00
V94	2.36E+00	2.53E+00	3.99E+00	3.90E+00	2.27E+00
V95	1.10E+00	1.79E+00	2.26E+00	1.99E+00	7.03E-01
V96	1.22E+00	1.10E+00	4.49E+00	2.13E+00	3.76E+00
V97	4.41E+00	0.00E+00	3.02E+00	4.32E+00	0.00E+00
V98	1.25E+00	1.69E+00	1.06E+00	7.22E-01	1.36E+00
V99	1.87E+00	4.20E+00	2.82E+00	3.44E+00	0.00E+00
V100	4.23E+00	1.95E+00	7.04E+00	3.79E+00	0.00E+00
