Samples	ID1	ID2	ID8	ID9	ID12	ID83F
V1	27	0	0	0	52	0
V2	0	0	335	0	0	0
V3	12	0	29	42	49	9
V4	0	0	0	0	93	28
V5	0	121	246	0	0	0
V6	246	74	118	0	0	0
V7	0	41	0	0	116	0
V8	0	0	0	0	77	0
V9	38	0	121	0	64	17
V10	0	0	0	0	322	0
V11	0	163	99	0	0	0
V12	0	0	0	0	372	0
V13	22	24	0	0	88	114
V14	0	130	0	0	150	0
V15	0	36	0	0	265	38
V16	58	135	0	109	0	0
V17	35	203	0	0	0	85
V18	0	84	0	0	224	0
V19	9	13	34	112	26	16
V20	142	144	0	73	0	35
V21	52	152	101	174	138	140
V22	35	0	86	0	0	0
V23	0	85	0	0	190	0
V24	0	0	326	0	0	0
V25	0	0	37	0	125	0
V26	0	77	45	0	0	20
V27	0	40	203	0	125	0
V28	39	15	65	156	0	0
V29	0	42	0	0	156	0
V30	42	61	0	0	348	0
V31	46	0	0	0	169	28
V32	290	206	0	0	307	0
V33	14	43	31	0	0	54
V34	0	0	0	0	563	0
V35	0	0	0	0	307	0
V36	142	0	0	49	0	0
V37	0	0	0	111	192	0
V38	0	0	57	0	76	63
V39	0	52	0	0	98	134
V40	48	22	39	0	0	64
V41	0	35	0	0	66	0
V42	0	141	0	0	117	43
V43	0	0	0	0	61	0
V44	22	0	0	0	0	38
V45	16	60	0	0	0	11
V46	0	21	0	0	177	0
V47	37	0	45	0	48	10
V48	33	0	0	0	235	0
V49	63	0	0	0	37	32
V50	8	30	0	0	0	16
V51	0	42	0	0	327	0
V52	21	15	0	23	37	8
V53	73	0	0	0	79	21
V54	0	72	0	0	158	45
V55	12	30	0	0	43	79
V56	152	0	0	91	0	0
V57	11	0	13	0	13	5
V58	60	184	104	0	0	26
V59	0	95	0	0	0	37
V60	0	0	82	0	45	35
V61	0	0	0	0	45	14
V62	94	0	79	168	0	80
V63	0	0	0	0	319	0
V64	0	63	0	0	114	79
V65	12	48	68	0	53	0
V66	150	0	42	0	57	0
V67	0	6	0	0	13	3
V68	0	90	105	0	175	0
V69	32	0	26	95	60	0
V70	12	16	0	0	45	7
V71	10	0	0	27	0	4
V72	0	140	0	96	0	19
V73	0	32	99	56	0	0
V74	17	0	0	128	0	0
V75	0	37	0	0	110	0
V76	0	0	219	0	102	0
V77	0	0	25	0	111	16
V78	36	0	0	0	148	89
V79	129	189	0	0	80	80
V80	0	0	111	0	47	47
V81	46	8	0	36	0	0
V82	0	0	0	0	126	18
V83	0	0	60	0	223	0
V84	0	0	0	0	81	0
V85	89	98	46	0	0	0
V86	52	0	82	0	0	76
V87	0	21	47	0	32	40
V88	22	23	0	15	24	25
V89	55	0	0	51	0	49
V90	147	0	0	0	0	0
V91	0	0	0	0	324	47
V92	528	0	0	0	0	0
V93	28	0	38	16	0	22
V94	39	0	0	0	148	0
V95	12	0	0	55	24	0
V96	77	37	0	0	55	17
V97	396	135	0	0	0	0
V98	0	0	24	0	30	0
V99	37	91	0	0	51	23
V100	0	99	194	0	0	82
