Samples	ID83A	ID83B	ID83C
V1	9.08E+00	1.71E+01	1.86E+01
V2	1.37E+01	1.83E+01	2.01E+01
V3	3.32E+00	1.50E+01	1.33E+01
V4	1.28E+01	1.45E+01	1.69E+01
V5	3.89E+00	2.23E+01	2.42E+01
V6	1.12E+00	4.39E+00	3.93E+00
V7	1.15E+01	1.70E+01	1.34E+01
V8	2.35E+01	1.99E+01	1.66E+01
V9	2.65E+00	5.27E+00	4.52E+00
V10	8.54E-01	2.72E+01	2.76E+01
V11	7.89E+00	8.94E+00	9.64E+00
V12	1.13E+01	1.54E+01	1.76E+01
V13	1.51E+01	1.57E+01	9.53E+00
V14	1.14E+01	1.18E+01	1.43E+01
V15	1.22E+01	1.59E+01	1.41E+01
V16	1.27E+01	2.02E+01	1.27E+01
V17	6.05E+00	1.56E+01	1.66E+01
V18	3.49E+00	2.19E+00	4.12E+00
V19	3.80E+00	4.26E+00	4.16E+00
V20	1.22E+01	2.06E+01	1.27E+01
V21	1.60E+00	2.46E+01	2.42E+01
V22	2.29E+01	2.02E+01	1.42E+01
V23	1.45E+00	1.42E+00	1.75E+00
V24	3.13E+00	5.12E+00	3.78E+00
V25	3.98E+00	4.98E+00	3.80E+00
V26	2.74E+01	2.65E+01	2.50E+01
V27	1.60E+01	1.95E+01	1.76E+01
V28	4.21E+00	1.35E+01	1.51E+01
V29	6.29E+00	9.56E+00	7.07E+00
V30	2.70E+00	4.21E+00	4.07E+00
V31	5.03E+01	6.10E+01	5.60E+01
V32	3.71E+00	4.51E+00	3.89E+00
V33	1.03E+01	8.86E+00	8.72E+00
V34	3.12E+01	2.62E+01	1.96E+01
V35	7.96E+00	9.18E+00	8.24E+00
V36	1.63E+01	2.01E+01	1.72E+01
V37	4.24E+01	5.23E+01	4.87E+01
V38	4.33E+00	3.85E+00	3.69E+00
V39	9.57E+00	1.60E+01	1.78E+01
V40	3.01E+00	2.36E+00	2.63E+00
V41	8.57E+00	1.51E+01	1.55E+01
V42	2.82E+01	3.63E+01	2.81E+01
V43	9.44E+00	1.53E+01	1.67E+01
V44	1.93E+01	1.78E+01	1.79E+01
V45	1.37E+01	1.50E+01	1.57E+01
V46	1.76E+00	1.78E+01	1.81E+01
V47	1.25E+01	1.04E+01	9.33E+00
V48	5.24E+00	6.49E+00	4.39E+00
V49	4.09E+00	2.71E+01	2.92E+01
V50	7.23E+00	8.83E+00	1.06E+01
V51	1.86E+00	5.12E-01	2.01E+00
V52	4.68E+00	5.40E+00	3.64E+00
V53	6.04E+00	5.51E+00	2.76E+00
V54	3.18E+00	1.43E+01	1.21E+01
V55	4.19E+01	3.55E+01	2.79E+01
V56	2.08E+01	5.55E+01	6.12E+01
V57	3.05E+01	3.73E+01	3.46E+01
V58	1.07E+01	1.37E+01	1.16E+01
V59	6.00E-01	7.05E+01	7.06E+01
V60	5.61E+00	5.41E+00	3.86E+00
V61	1.13E+01	1.56E+01	1.22E+01
V62	1.25E+01	1.06E+01	1.10E+01
V63	3.41E+01	2.98E+01	2.13E+01
V64	3.73E+01	4.18E+01	3.96E+01
V65	5.80E+00	5.87E+00	6.08E+00
V66	8.98E+00	1.99E+01	1.77E+01
V67	1.21E+00	9.17E-01	1.04E+00
V68	2.68E+01	2.27E+01	1.73E+01
V69	1.24E+01	1.46E+01	1.54E+01
V70	1.38E+01	1.51E+01	1.09E+01
V71	1.62E+01	1.47E+01	1.05E+01
V72	2.69E+01	3.24E+01	2.94E+01
V73	1.34E+01	1.51E+01	1.62E+01
V74	5.83E+00	2.70E+01	2.77E+01
V75	4.55E+00	5.14E+00	6.43E+00
V76	6.69E+00	1.12E+01	8.45E+00
V77	3.31E+00	2.78E+00	4.17E+00
V78	1.47E+01	1.80E+01	1.46E+01
V79	9.26E+00	1.62E+01	1.15E+01
V80	2.86E+00	2.46E+00	2.21E+00
V81	3.35E-01	5.78E-01	6.99E-01
V82	1.46E+00	2.98E+00	3.19E+00
V83	4.09E+00	1.01E+01	7.99E+00
V84	1.30E+01	1.06E+01	6.95E+00
V85	1.88E+00	1.52E+00	1.26E+00
V86	6.17E+00	7.63E+00	8.12E+00
V87	6.98E+01	6.18E+01	4.49E+01
V88	5.74E+00	7.78E+00	8.50E+00
V89	9.80E+00	1.86E+01	1.42E+01
V90	1.57E+01	1.79E+01	1.26E+01
V91	1.35E+01	1.73E+01	1.65E+01
V92	4.84E+00	5.72E+00	6.42E+00
V93	5.30E+00	3.78E+00	5.43E+00
V94	1.21E+01	1.89E+01	1.83E+01
V95	3.96E+00	7.21E+00	4.64E+00
V96	5.45E+00	6.29E+00	6.67E+00
V97	1.63E+01	2.70E+01	2.00E+01
V98	4.27E+00	6.62E+00	8.62E+00
V99	5.86E+00	9.21E+00	8.67E+00
V100	8.67E+00	1.22E+01	1.04E+01
