NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	133.616	24.361	27.223	15.084	0.105	0.982	80000.0
2	133.74	24.199	27.671	15.218	0.099	0.984	90000.0
3	133.492	24.368	27.09	15.158	0.103	0.983	140000.0
4	129.434	23.897	26.098	14.783	0.104	0.984	80000.0
5	132.917	24.345	26.891	14.907	0.105	0.983	50000.0
6	132.151	23.957	26.905	14.994	0.101	0.983	80000.0
7	136.052	24.389	28.29	15.344	0.103	0.982	60000.0
8	131.968	24.097	26.714	14.751	0.103	0.984	80000.0
9	130.11	23.931	26.301	14.763	0.104	0.984	60000.0
10	133.148	24.488	27.196	15.27	0.106	0.981	60000.0
11	128.933	23.854	25.716	14.651	0.104	0.983	100000.0
12	134.594	24.566	27.501	15.326	0.106	0.982	130000.0
13	132.488	24.155	27.211	15.163	0.104	0.982	70000.0
14	133.582	24.166	27.46	15.017	0.102	0.983	100000.0
15	135.828	24.39	27.978	15.211	0.103	0.983	60000.0
16	134.798	24.538	27.664	15.265	0.103	0.983	60000.0
17	133.501	24.114	27.387	15.007	0.1	0.983	40000.0
18	130.818	23.826	26.674	14.7	0.102	0.984	40000.0
19	134.006	24.304	27.434	15.25	0.103	0.983	80000.0
20	134.432	24.667	27.325	15.312	0.105	0.983	80000.0
21	132.862	24.239	27.294	15.098	0.105	0.983	70000.0
22	132.468	24.209	27.689	15.395	0.103	0.982	60000.0
23	132.34	24.068	26.915	14.89	0.102	0.983	60000.0
24	134.468	24.235	27.424	15.068	0.104	0.983	50000.0
25	130.967	23.73	26.645	14.646	0.102	0.984	70000.0
