Samples	ID83A	ID83B	ID83C	ID83D	ID83E
V1	1.82E+00	7.06E-01	2.37E+00	7.61E-01	2.09E+00
V2	6.71E-01	2.75E+00	1.08E+00	8.82E-01	2.47E+00
V3	1.59E+00	1.67E+00	8.49E-01	1.20E+00	1.67E+00
V4	3.52E+00	3.26E+00	3.96E-01	4.76E-01	7.42E-01
V5	2.18E+00	1.16E+00	9.69E-01	2.56E+00	3.75E+00
V6	1.12E+00	4.96E-01	1.00E-01	1.33E+00	9.46E-01
V7	1.11E+00	0.00E+00	1.45E+00	8.06E-01	4.47E-01
V8	1.28E+00	1.38E+00	9.45E-01	1.66E+00	1.11E+00
V9	1.17E+00	7.48E-01	1.77E+00	7.02E-01	1.08E+00
V10	1.00E-01	2.61E+00	2.00E-01	2.75E+00	2.86E+00
V11	1.97E+00	1.41E+00	1.58E+00	2.17E+00	0.00E+00
V12	2.51E+00	9.55E-01	2.32E+00	1.14E+00	6.16E-01
V13	1.97E+00	1.20E+00	2.51E+00	7.12E-01	7.57E-01
V14	4.49E+00	1.69E+00	1.31E+00	4.93E+00	6.29E-01
V15	9.87E-01	1.59E+00	9.83E-01	0.00E+00	3.00E-01
V16	3.27E+00	2.36E+00	4.18E+00	2.68E+00	2.82E+00
V17	1.72E+00	1.21E+00	6.53E-01	1.02E+00	1.14E+00
V18	4.78E+00	1.80E+00	1.34E+00	4.97E+00	1.57E+00
V19	1.14E+00	2.32E+00	1.95E+00	2.15E+00	4.99E-01
V20	3.90E+00	4.06E+00	9.89E-01	2.21E+00	9.92E-01
V21	2.26E+00	2.56E+00	7.86E-01	3.00E+00	3.61E+00
V22	2.92E+00	2.99E+00	1.22E+00	1.78E+00	2.07E+00
V23	1.51E+00	6.18E-01	1.26E+00	7.48E-01	6.16E-01
V24	2.58E+00	2.87E+00	5.54E-01	4.08E+00	1.09E+00
V25	1.31E+00	1.69E+00	2.28E+00	2.00E-01	1.99E+00
V26	2.71E+00	3.04E+00	0.00E+00	2.37E+00	2.91E+00
V27	2.00E+00	2.69E+00	1.53E+00	0.00E+00	1.79E+00
V28	2.89E+00	1.83E+00	1.56E+00	4.24E+00	3.66E+00
V29	3.72E+00	1.28E+00	0.00E+00	5.12E+00	4.93E+00
V30	2.80E+00	2.58E+00	7.18E-01	1.26E+00	9.07E-01
V31	3.24E+00	1.03E+00	1.51E+00	2.20E+00	4.38E+00
V32	1.72E+00	2.29E+00	7.16E-01	8.14E-01	6.51E-01
V33	2.12E+00	3.29E+00	2.11E+00	6.29E-01	0.00E+00
