Samples	ID83A	ID83B	ID83C
V1	41	323	11
V2	105	191	23
V3	69	26	38
V4	92	70	4
V5	198	60	326
V6	260	147	0
V7	86	113	44
V8	607	29	108
V9	96	261	145
V10	96	176	54
V11	16	196	34
V12	35	23	15
V13	48	47	2
V14	264	99	66
V15	48	7	31
V16	13	168	48
V17	169	103	300
V18	178	66	167
V19	350	86	43
V20	360	0	51
V21	27	181	5
V22	222	59	243
V23	297	277	89
V24	45	121	61
V25	454	192	213
V26	7	8	12
V27	0	323	7
V28	188	213	263
V29	170	183	253
V30	14	8	0
V31	122	44	43
V32	264	66	278
V33	122	0	164
V34	23	49	8
V35	129	33	33
V36	19	113	5
V37	75	191	7
V38	38	57	12
V39	98	125	175
V40	156	26	34
V41	125	64	40
V42	20	36	92
V43	127	48	18
V44	1	28	98
V45	207	241	47
V46	170	79	15
V47	13	451	104
V48	213	173	9
V49	210	24	19
V50	95	1	446
V51	103	42	65
V52	7	238	68
V53	102	50	2
V54	566	441	67
V55	15	102	110
V56	91	0	146
V57	329	110	197
V58	150	13	106
V59	252	150	37
V60	65	146	6
V61	89	49	417
V62	73	166	11
V63	34	149	91
V64	221	90	62
V65	15	133	198
V66	143	71	10
V67	171	0	515
V68	0	40	172
V69	324	18	0
V70	150	90	32
V71	8	20	117
V72	41	10	5
V73	83	42	14
V74	717	69	0
V75	33	276	28
V76	129	100	1
V77	515	317	35
V78	199	181	13
V79	20	110	1
V80	72	30	58
V81	89	97	73
V82	52	231	25
V83	106	86	9
V84	160	0	185
V85	245	275	100
V86	144	25	26
V87	50	83	9
V88	44	6	15
V89	272	330	180
V90	5	112	3
V91	56	203	18
V92	42	226	195
V93	260	68	17
V94	48	10	16
V95	144	438	4
V96	107	0	50
V97	57	189	91
V98	19	0	130
V99	191	174	262
V100	0	235	0
