Method	Simulation	K	rmse_Lambda	rmse_Counts	rmse_novel_Sig	rmse_cosmic_Sig	rmse_Signatures	rmse_novel_Theta	rmse_cosmic_Theta	rmse_Weights	Sensitivity	Precision	cos_sim	time	ESS_Sig_mean	ESS_Sig_sd	ESS_Theta_mean	ESS_Theta_sd	ESS_relweight_mean	ESS_relweight_sd	J	theta	K_new	overd
CompressiveNMF	1	6	1.4453334562563795	2.1281414121659346	0.002679241595664652	0.0042184059338927	0.003448823764778676	5.239972376177705	24.915080580174322	15.077526478176013	1	1	0.9906675195639638	312.3896906375885	751.5898983282714	382.394723808752	757.3050828104617	299.6904841284253	435.7398566096936	214.16806305337985	50	100	2	0
CompressiveNMF	2	6	1.2453241979946748	2.1591323006604397	0.002057407152343642	0.005191026680354904	0.003624216916349273	1.225314331080306	26.31893727543672	13.772125803258513	1	1	0.9908277408513774	331.8215901851654	744.5331403115781	380.0810797515765	741.8715924286593	322.43369771446106	403.18997419864047	188.8153444992835	50	100	2	0
CompressiveNMF	3	6	1.581072042398008	2.4121279551028185	0.0026592034272271527	0.004006315817557015	0.003332759622392084	5.994544418421404	27.695787434786983	16.845165926604192	1	1	0.9913152383540194	381.65519309043884	734.3320865888151	394.07047227402285	736.4253874984307	336.04025337196646	434.5660838240742	236.86481293054717	50	100	2	0
CompressiveNMF	4	6	1.5083637157150847	2.3268779734236618	0.0020245030295247884	0.0060125670001994445	0.004018535014862117	4.340624331069804	23.305400452964264	13.823012392017034	1	1	0.9833491651754396	322.29687571525574	739.8988133718636	389.90232114474577	749.9736544838606	310.6359833513878	353.84535421190463	171.93016093519807	50	100	2	0
CompressiveNMF	5	6	1.3530755320141288	1.9460047310543893	0.002892401547111262	0.004289276858810619	0.0035908392029609403	2.59348786088483	18.007104296515067	10.30029607869995	1	1	0.9870866007145834	307.7035987377167	740.8803766023282	379.1474542094177	756.4706012504587	306.6533129399886	366.7384415385653	176.46544465236272	50	100	2	0
CompressiveNMF	6	6	1.2645150228319275	2.2719145383109485	0.0026190764547565568	0.003579206241990901	0.003099141348373729	1.6723901227768752	19.454764841163637	10.563577481970256	1	1	0.993214390857046	381.46225810050964	745.092978304873	385.9526018157053	741.8365301998658	320.9625304956654	379.55569133148884	174.1004783525732	50	100	2	0
CompressiveNMF	7	6	1.4639728466332402	2.0532769762341605	0.003856601884652741	0.004861008582546638	0.004358805233599689	8.1191312543119	25.870195259492405	16.994663256902154	1	1	0.9875506343898866	314.2484805583954	737.1444681270257	385.52167835831017	745.5499359241202	323.8419416707026	354.5219891044224	172.9763969460474	50	100	2	0
CompressiveNMF	8	6	1.5286635018537869	2.341600009015638	0.0033612147086448728	0.003603620602915613	0.003482417655780243	1.7611729100174482	30.017892640959694	15.889532775488572	1	1	0.985241233208949	374.91163301467896	739.670586838017	389.2891709007994	741.6255964286613	326.982406905143	356.230726665348	189.46033749892	50	100	2	0
CompressiveNMF	9	6	1.4635804813255449	2.37111641745365	0.0015882023494979435	0.005063826064337467	0.0033260142069177056	1.0676182860179493	24.29285266886403	12.68023547744099	1	1	0.9831214497753967	323.802029132843	742.9457854384411	383.80432373130486	750.6660016567585	327.95017598786256	420.7555158520234	196.82978522199045	50	100	2	0
CompressiveNMF	10	6	1.4533040059007956	2.1184743353568627	0.003392333857667332	0.0045703707453884235	0.003981352301527878	5.4285597043194285	23.003310852858256	14.215935278588843	1	1	0.9859789641898961	333.08635568618774	737.5550368551694	392.4440125239653	759.9586661936075	303.15855812873093	422.2926051269944	215.68086355056252	50	100	2	0
CompressiveNMF	11	6	1.244196925697091	2.1118277725002215	0.00201460652946511	0.005090923750493358	0.003552765139979234	1.7216910212647778	25.427934436248684	13.574812728756731	1	1	0.9890312945836337	315.1900939941406	742.2319340651457	394.86987004956035	740.9848519003335	329.89775950825674	360.0327712794204	163.0102001548628	50	100	2	0
