Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,0.83,0.8,NO,N/A,61.27%,76.46%,147.76%,63.83%,107.77,0.5312,1.6765,0.23,0.737,0.747,0.169
3,0.91,0.87,NO,N/A,47.98%,64.88%,124.19%,51.94%,106.88,0.3985,1.2899,0.155,0.661,0.829,0.266
4,0.86,0.69,NO,N/A,35.55%,48.16%,135.72%,34.85%,110.72,0.312,1.5346,0.101,0.726,0.889,0.191
5,0.92,0.68,NO,N/A,26.06%,36.87%,93.58%,24.96%,80.67,0.2141,0.7431,0.056,0.377,0.937,0.581
6*,1.0,1.0,YES,Most Stab Sigs,19.66%,26.42%,94.33%,19.1%,80.12,0.1376,0.6919,0.025,0.348,0.973,0.617
7,0.78,-0.45,NO,N/A,16.78%,26.41%,95.99%,16.52%,80.02,0.1393,0.7117,0.021,0.339,0.976,0.627
8,0.63,-0.46,NO,N/A,14.69%,24.04%,98.91%,15.5%,80.52,0.1408,0.7599,0.018,0.355,0.98,0.608
9,0.63,-0.22,NO,N/A,10.64%,20.78%,98.9%,11.81%,78.99,0.127,0.741,0.013,0.332,0.985,0.634
10,0.65,-0.51,NO,N/A,8.93%,18.68%,89.24%,10.19%,70.03,0.1181,0.692,0.011,0.284,0.988,0.684
11,0.64,-0.7,NO,N/A,7.84%,16.96%,92.92%,8.99%,78.75,0.1138,0.782,0.01,0.349,0.989,0.613
12,0.56,-0.63,NO,N/A,7.62%,16.64%,93.78%,8.82%,73.48,0.1115,0.7438,0.009,0.308,0.99,0.658
13,0.58,-0.59,NO,N/A,6.86%,16.15%,90.27%,7.8%,71.7,0.1076,0.7171,0.008,0.292,0.991,0.676
14,0.5,-0.69,NO,N/A,6.47%,15.59%,76.88%,7.91%,49.4,0.1055,0.639,0.006,0.118,0.994,0.872
15,0.45,-0.92,NO,N/A,6.26%,14.83%,70.4%,7.04%,44.42,0.1037,0.5308,0.005,0.095,0.994,0.897
16,0.47,-0.8,NO,N/A,5.3%,13.68%,59.09%,6.59%,41.94,0.0942,0.3884,0.004,0.09,0.996,0.902
17,0.38,-0.74,NO,N/A,5.49%,14.72%,71.97%,6.9%,49.76,0.0991,0.524,0.005,0.118,0.995,0.874
18,0.37,-0.83,NO,N/A,5.75%,13.52%,66.0%,6.65%,43.27,0.0971,0.4401,0.004,0.086,0.995,0.908
19,0.43,-0.74,NO,N/A,4.38%,12.05%,43.76%,5.66%,24.75,0.0864,0.3247,0.003,0.029,0.997,0.968
20,0.44,-0.7,NO,N/A,4.6%,12.1%,47.2%,5.56%,24.78,0.0877,0.3563,0.003,0.028,0.997,0.969
