MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
1:Del:C:0	1.92E-03	3.62E-03	2.14E-04	1.10E-03	3.95E-02	9.61E-03	2.69E-02	1.23E-02	3.67E-03	6.17E-03	4.06E-02	2.80E-46	2.26E-02	3.28E-02	1.54E-02	3.55E-02	9.67E-03
1:Del:C:1	9.82E-03	9.27E-04	0.00E+00	4.49E-08	1.70E-02	6.84E-03	1.78E-02	7.17E-03	1.05E-02	5.85E-03	2.16E-02	2.71E-03	3.07E-02	2.73E-02	1.87E-46	1.10E-02	2.05E-02
1:Del:C:2	2.34E-07	3.48E-04	0.00E+00	3.25E-08	4.48E-03	2.16E-08	7.60E-04	6.85E-03	1.75E-03	9.45E-04	6.22E-03	4.01E-04	3.70E-03	1.94E-04	2.98E-03	1.53E-04	3.76E-04
1:Del:C:3	0.00E+00	0.00E+00	3.80E-04	5.94E-08	2.30E-02	0.00E+00	7.67E-03	5.26E-03	3.65E-03	4.12E-03	3.35E-03	1.24E-07	8.32E-03	4.07E-03	7.25E-03	1.40E-46	1.13E-06
1:Del:C:4	1.12E-07	6.25E-03	1.45E-04	0.00E+00	4.27E-03	0.00E+00	5.79E-03	1.20E-03	1.51E-03	3.73E-03	3.18E-02	1.01E-03	3.82E-03	4.06E-03	1.71E-03	1.03E-01	4.87E-03
1:Del:C:5	4.17E-03	1.93E-08	4.18E-03	4.15E-04	0.00E+00	2.27E-03	0.00E+00	1.87E-04	0.00E+00	1.48E-03	5.00E-02	7.82E-04	0.00E+00	6.65E-04	8.84E-03	1.53E-04	3.36E-03
1:Del:T:0	1.33E-02	1.20E-03	7.47E-04	2.43E-03	1.69E-02	2.16E-02	2.22E-02	4.47E-03	9.47E-03	2.03E-02	2.87E-03	5.58E-03	1.10E-02	2.66E-02	1.20E-02	1.28E-02	5.09E-02
1:Del:T:1	5.74E-03	2.80E-04	5.55E-08	5.66E-08	7.44E-03	1.01E-02	1.04E-02	3.49E-03	5.19E-03	2.04E-03	2.18E-03	1.61E-03	2.96E-02	1.13E-02	6.80E-03	5.19E-02	4.42E-02
1:Del:T:2	0.00E+00	0.00E+00	3.25E-03	8.26E-05	1.81E-02	5.47E-03	1.54E-02	5.94E-03	2.75E-03	8.30E-03	3.75E-04	5.06E-04	1.42E-02	1.13E-02	1.05E-02	3.19E-02	1.01E-02
1:Del:T:3	7.41E-05	4.78E-04	2.68E-03	5.38E-07	2.13E-02	6.95E-03	2.21E-02	1.05E-03	4.26E-03	1.73E-03	1.40E-46	0.00E+00	2.82E-02	4.75E-02	5.13E-03	1.03E-02	1.47E-02
1:Del:T:4	5.15E-03	1.80E-03	4.56E-03	1.20E-02	2.31E-02	4.16E-02	2.02E-02	2.48E-03	5.89E-03	4.61E-03	1.62E-02	4.95E-03	1.00E-02	5.16E-02	2.56E-02	8.34E-03	1.02E-02
1:Del:T:5	2.04E-36	4.08E-08	8.43E-03	2.33E-07	1.22E-06	3.31E-03	9.95E-07	1.71E-07	7.75E-07	5.57E-02	1.43E-02	1.63E-07	1.55E-02	2.77E-02	1.12E-01	6.28E-03	2.71E-03
1:Ins:C:0	3.74E-07	2.66E-08	3.51E-08	3.81E-08	7.68E-04	2.63E-07	1.08E-07	9.83E-04	1.37E-03	1.71E-03	1.24E-06	9.33E-08	6.57E-04	2.91E-07	3.87E-07	5.64E-04	2.88E-07
1:Ins:C:1	7.37E-08	7.58E-08	1.01E-08	3.22E-05	4.90E-07	3.62E-05	4.47E-07	1.20E-03	1.37E-03	1.52E-04	1.10E-07	1.29E-07	6.68E-07	9.99E-04	2.07E-07	4.69E-07	5.81E-07
1:Ins:C:2	2.92E-07	2.36E-08	5.09E-05	3.32E-08	4.35E-07	5.37E-06	3.05E-07	3.96E-04	6.32E-04	6.09E-04	1.10E-07	1.63E-07	9.13E-08	1.02E-07	3.56E-06	3.59E-03	5.29E-07
1:Ins:C:3	5.93E-07	8.12E-08	2.31E-04	1.81E-05	2.33E-08	2.04E-03	0.00E+00	8.19E-08	2.39E-07	1.73E-04	2.52E-04	1.22E-04	1.85E-07	5.94E-08	4.85E-04	2.30E-03	1.05E-03
1:Ins:C:4	8.14E-04	0.00E+00	3.43E-04	3.13E-03	1.04E-03	8.01E-04	1.30E-07	3.52E-04	0.00E+00	1.91E-03	2.06E-04	9.06E-04	4.39E-04	1.39E-04	5.66E-04	9.11E-04	4.05E-03
1:Ins:C:5	1.71E-03	1.49E-08	7.51E-04	6.12E-04	2.80E-46	1.02E-02	0.00E+00	0.00E+00	0.00E+00	9.57E-04	1.20E-07	2.71E-02	1.11E-03	0.00E+00	5.38E-03	7.69E-03	2.23E-03
1:Ins:T:0	7.09E-04	0.00E+00	2.06E-03	3.83E-04	4.01E-03	7.40E-03	3.99E-03	1.16E-03	5.86E-04	3.44E-03	0.00E+00	2.43E-03	3.54E-03	1.15E-02	8.36E-04	1.54E-02	6.91E-03
1:Ins:T:1	4.06E-05	3.33E-04	1.35E-06	1.67E-08	1.97E-03	9.26E-03	3.21E-03	1.17E-03	4.14E-03	1.74E-03	2.71E-03	0.00E+00	7.50E-03	1.01E-02	2.61E-08	0.00E+00	1.25E-03
1:Ins:T:2	1.54E-04	2.05E-04	3.32E-04	0.00E+00	2.19E-03	5.82E-03	1.60E-03	2.47E-08	1.06E-04	0.00E+00	1.95E-03	9.29E-05	5.56E-03	1.54E-06	3.89E-04	1.98E-03	1.13E-04
1:Ins:T:3	9.28E-03	0.00E+00	2.55E-04	4.22E-05	7.39E-04	2.40E-03	4.96E-03	3.62E-04	3.65E-04	3.56E-04	4.36E-04	2.84E-03	3.83E-04	1.18E-02	5.32E-04	4.91E-07	1.76E-03
1:Ins:T:4	6.00E-03	3.02E-08	8.91E-04	2.25E-03	0.00E+00	1.85E-03	7.51E-04	5.62E-04	1.88E-08	8.38E-04	4.76E-03	1.06E-02	0.00E+00	1.06E-03	1.15E-02	1.94E-03	1.48E-02
1:Ins:T:5	6.65E-02	2.26E-07	3.10E-46	2.52E-03	1.87E-03	1.10E-02	4.80E-03	2.79E-03	3.30E-03	2.40E-03	6.89E-02	4.81E-02	8.90E-07	7.97E-03	8.51E-07	1.30E-06	9.42E-02
