NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	151.64	27.213	31.127	16.896	0.125	0.978	50000.0
2	151.865	27.087	31.389	16.935	0.119	0.98	40000.0
3	152.321	27.183	31.219	16.976	0.122	0.979	40000.0
4	151.175	27.008	31.063	16.612	0.122	0.98	90000.0
5	153.889	27.647	31.407	16.967	0.126	0.978	50000.0
6	152.058	27.243	31.325	17.09	0.122	0.978	40000.0
7	153.63	27.233	31.932	16.986	0.124	0.978	40000.0
8	150.652	26.975	30.797	16.56	0.121	0.98	30000.0
9	151.934	27.577	30.752	16.824	0.135	0.977	50000.0
10	151.727	27.204	31.156	16.866	0.125	0.978	40000.0
11	151.415	26.993	31.045	16.623	0.123	0.979	30000.0
12	152.392	27.364	31.253	17.111	0.125	0.978	30000.0
13	152.117	27.181	31.414	16.994	0.124	0.978	50000.0
14	153.702	27.184	31.489	16.797	0.122	0.979	50000.0
15	152.583	27.15	31.452	16.937	0.122	0.979	60000.0
16	153.33	27.236	31.588	16.995	0.122	0.979	40000.0
17	152.372	27.117	31.353	16.866	0.121	0.979	60000.0
18	151.427	27.128	30.927	16.754	0.122	0.979	60000.0
19	152.294	27.204	31.207	17.003	0.121	0.979	40000.0
20	153.469	27.396	31.781	17.207	0.123	0.978	40000.0
21	153.982	27.542	31.736	17.165	0.125	0.978	20000.0
22	152.425	27.281	31.798	17.311	0.122	0.978	40000.0
23	151.861	27.265	31.231	17.001	0.123	0.977	60000.0
24	154.008	27.252	31.893	16.943	0.124	0.979	50000.0
25	152.621	27.081	31.533	16.821	0.121	0.979	40000.0
