Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
V1	142	4	104	0	81	36	92	20	0	39	5	0	19	26
V2	18	0	179	0	142	29	0	0	0	0	0	0	0	5
V3	28	2	28	5	69	149	0	10	28	0	11	0	0	19
V4	80	19	0	4	1	71	54	8	28	1	10	0	6	8
V5	14	94	64	86	71	0	0	4	0	14	12	0	2	0
V6	3	9	23	16	0	6	35	13	0	0	0	0	0	0
V7	20	210	150	64	130	0	0	16	13	0	13	5	1	13
V8	99	0	0	14	6	0	12	0	0	2	0	21	4	1
V9	5	4	35	7	6	0	0	14	0	0	0	0	0	1
V10	0	185	0	45	0	14	14	4	0	0	0	0	27	0
V11	16	55	1	137	0	35	62	1	0	0	50	0	0	0
V12	22	1	27	0	1	58	3	1	21	4	0	4	0	0
V13	1	12	15	1	31	0	2	13	14	0	0	0	0	4
V14	81	276	1	3	2	17	0	16	18	0	0	7	67	0
V15	6	10	26	0	21	4	8	24	9	7	5	0	6	0
V16	90	55	11	0	37	67	0	1	0	17	0	50	0	13
V17	0	13	6	6	39	9	18	11	11	6	0	0	0	10
V18	0	43	3	10	40	5	24	10	15	0	6	0	0	4
V19	15	136	2	0	6	0	61	1	4	0	0	0	32	0
V20	190	0	38	0	21	59	0	0	88	0	0	13	37	13
V21	29	3	30	1	11	0	235	204	0	33	18	0	0	0
V22	57	0	27	27	16	0	39	68	7	29	16	0	15	0
V23	24	23	54	0	45	0	19	18	0	6	0	4	3	0
V24	37	0	154	99	47	15	0	0	0	0	27	0	0	0
V25	8	74	72	2	37	0	83	44	0	18	0	0	0	0
V26	9	3	0	19	1	26	0	0	0	0	34	0	0	0
V27	20	43	23	19	29	0	17	23	0	17	0	0	0	0
V28	33	0	74	2	29	0	1	0	0	16	0	0	0	0
V29	1	195	0	0	0	0	18	0	0	0	3	16	9	0
V30	53	26	1	0	26	201	0	41	58	10	0	1	15	25
V31	48	62	17	1	8	24	0	5	14	0	0	0	0	0
V32	60	37	0	20	55	14	11	0	0	17	16	0	7	13
V33	36	105	0	0	0	112	18	44	56	0	1	0	0	0
V34	32	71	66	12	2	77	4	30	48	6	2	0	0	0
V35	0	10	0	62	4	0	14	23	5	32	8	0	0	0
V36	41	38	23	4	31	42	49	30	0	5	4	0	6	13
V37	3	1	72	24	27	0	50	33	0	0	10	0	0	0
V38	168	23	0	8	0	16	0	10	0	21	0	11	4	0
V39	17	29	0	1	9	21	35	5	0	41	0	0	0	0
V40	92	43	0	35	4	0	17	21	0	0	38	1	0	0
V41	54	4	0	6	3	9	37	41	0	0	0	0	0	0
V42	4	26	23	50	0	0	0	1	0	0	26	0	0	0
V43	45	0	11	13	16	3	0	0	0	0	2	31	0	0
V44	12	30	3	3	2	0	0	1	22	0	0	38	15	0
V45	8	3	0	22	0	192	0	0	0	33	18	0	0	10
V46	131	141	2	9	0	4	117	54	0	3	0	0	13	8
V47	13	0	39	0	0	0	0	0	19	4	2	6	0	0
V48	21	46	61	26	0	0	77	7	0	0	12	36	0	0
V49	11	5	4	0	5	46	3	1	23	7	0	39	7	0
V50	16	207	20	1	18	8	0	5	0	5	0	0	35	3
V51	0	0	27	18	11	0	38	21	0	10	2	0	7	10
V52	5	33	55	28	52	0	0	0	0	0	14	0	0	0
V53	1	5	48	13	47	33	23	24	59	16	2	0	0	0
V54	57	41	94	0	54	0	89	68	2	6	0	0	0	0
V55	94	49	94	8	40	0	0	0	0	0	19	36	0	0
V56	19	0	9	3	8	21	0	4	18	0	0	0	0	5
V57	48	106	0	408	0	145	0	0	0	0	77	0	0	0
V58	71	56	69	0	34	0	0	9	7	36	0	0	0	18
V59	63	3	0	20	7	9	15	0	0	0	0	25	0	2
V60	1	24	103	82	16	138	28	24	11	0	33	0	23	11
V61	5	1	12	39	7	0	18	36	2	0	19	0	0	9
V62	138	9	5	238	1	0	0	0	38	0	12	2	0	0
V63	83	0	96	53	63	0	0	3	0	16	0	0	0	0
V64	0	3	0	25	5	0	9	2	7	0	20	0	0	0
V65	21	7	0	25	22	9	81	9	19	13	13	0	4	5
V66	22	8	2	75	9	6	0	0	0	0	32	0	0	0
V67	6	9	18	55	1	4	0	0	0	0	26	0	0	1
V68	82	1	201	0	105	0	0	0	4	0	0	0	0	0
V69	212	1	9	42	9	2	0	1	0	0	0	0	0	6
V70	5	0	38	0	68	0	0	0	0	0	0	0	0	14
V71	10	0	0	34	0	3	0	0	15	0	0	1	0	0
V72	85	10	6	54	0	64	4	0	34	0	0	0	5	3
V73	3	249	10	0	20	30	39	51	30	0	0	30	0	0
V74	30	19	91	0	74	76	0	1	81	0	0	0	0	0
V75	118	19	0	48	11	38	34	4	14	0	2	34	4	1
V76	0	6	40	29	58	0	0	0	3	0	4	0	0	0
V77	20	0	28	380	2	9	190	100	0	86	75	0	0	0
V78	20	44	219	6	227	78	0	0	48	0	0	0	0	0
V79	0	0	32	0	45	0	58	19	20	19	7	0	8	2
V80	23	0	0	16	1	0	19	0	11	0	11	15	8	0
V81	9	30	1	60	6	138	6	10	65	0	34	0	0	0
V82	98	12	0	8	22	3	0	0	0	0	2	30	11	0
V83	9	0	13	0	2	44	44	54	3	7	2	1	9	9
V84	0	3	7	0	25	0	0	0	0	0	8	0	0	0
V85	5	3	39	14	82	0	36	31	2	6	0	0	0	6
V86	99	89	0	19	0	0	0	16	0	24	0	33	0	0
V87	39	0	178	8	234	0	0	61	1	22	0	0	0	0
V88	0	55	12	108	18	25	1	10	0	3	18	0	0	0
V89	11	46	0	37	0	52	0	0	68	0	4	0	0	0
V90	29	35	52	0	29	45	39	1	13	0	0	0	0	0
V91	9	16	11	200	24	0	190	92	31	32	69	0	21	9
V92	52	0	55	14	26	28	24	17	57	25	0	27	0	0
V93	35	0	47	81	22	0	0	15	24	17	0	0	0	29
V94	0	10	90	66	198	0	58	93	8	36	0	0	0	0
V95	130	26	116	8	92	0	72	75	0	0	3	0	0	25
V96	32	38	0	11	43	3	41	55	0	62	14	0	28	4
V97	52	11	0	0	0	8	58	28	19	86	10	0	31	0
V98	197	38	17	22	54	30	0	48	29	7	23	0	7	0
V99	0	62	0	1	0	0	98	28	0	105	1	0	0	0
V100	13	71	0	13	0	194	35	0	121	26	0	0	0	0
