Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
V1	24	4	20	5	0	1	14	0	0	0	0	1	0	0	0	2	3
V2	12	76	92	46	12	0	4	2	25	12	3	23	2	0	25	6	14
V3	36	11	11	5	24	0	6	0	23	13	37	30	2	0	10	0	0
V4	10	23	110	13	9	26	43	0	3	31	0	0	9	0	0	2	7
V5	15	10	3	0	50	10	11	2	3	4	13	11	17	20	17	7	0
V6	0	1	25	102	15	137	36	59	16	25	2	1	23	10	0	0	0
V7	0	43	89	0	1	0	0	0	3	0	11	0	7	0	0	10	35
V8	31	1	41	1	5	28	1	11	25	1	3	2	15	0	0	0	2
V9	9	75	3	6	0	2	4	0	3	11	1	0	1	5	9	7	3
V10	0	22	227	28	0	8	17	0	9	7	13	0	3	0	8	38	41
V11	0	1	8	81	1	10	61	0	6	21	20	8	0	0	0	1	0
V12	35	5	4	27	0	0	6	0	0	10	0	0	2	0	0	0	6
V13	5	5	41	2	50	13	0	13	38	0	0	0	6	0	0	0	0
V14	0	16	94	94	125	75	39	230	0	110	0	4	54	0	0	0	0
V15	119	36	18	15	6	0	9	2	0	14	4	13	11	31	10	11	35
V16	26	16	0	0	7	7	0	25	14	0	2	2	11	0	0	1	0
V17	8	26	18	19	52	0	14	22	25	5	7	11	5	0	0	6	0
V18	5	14	2	65	0	1	39	0	0	7	1	1	1	13	0	1	0
V19	41	0	10	48	0	5	8	1	0	2	8	1	0	20	0	6	0
V20	4	2	16	7	18	16	4	11	35	0	15	23	27	0	4	0	0
V21	0	95	123	0	16	0	1	5	0	0	0	15	15	0	28	14	0
V22	1	4	40	72	30	0	77	38	28	5	0	0	45	0	0	0	0
V23	131	53	12	6	12	0	2	2	0	15	0	1	0	21	8	3	5
V24	39	12	119	12	1	3	4	8	5	11	0	0	1	0	0	0	0
V25	142	49	1	8	21	30	4	32	15	2	0	3	0	0	9	6	0
V26	3	0	59	17	0	29	5	7	0	9	0	1	0	0	0	0	0
V27	166	11	51	2	14	20	2	17	0	0	0	0	0	0	0	7	50
V28	22	7	5	9	3	0	1	0	0	1	2	0	0	28	4	3	2
V29	0	178	7	19	7	0	2	2	0	0	11	0	1	0	42	27	0
V30	0	201	70	7	7	1	2	4	6	0	0	110	1	0	43	14	20
V31	25	26	27	0	5	0	0	0	0	0	2	8	7	0	0	1	0
V32	71	22	2	38	10	0	26	0	0	19	0	4	3	41	0	8	0
V33	0	79	29	22	0	30	12	0	2	21	3	9	3	2	5	6	0
V34	27	16	0	4	43	5	2	26	0	0	98	38	39	6	0	4	24
V35	227	45	42	34	60	63	9	23	3	10	22	27	16	0	21	0	0
V36	91	2	3	24	0	15	31	32	6	1	0	0	48	113	0	1	0
V37	10	1	2	33	18	26	34	16	0	11	1	0	11	0	0	0	0
V38	0	25	15	0	0	13	0	8	9	0	0	4	7	4	2	6	0
V39	7	3	13	10	0	0	6	0	1	3	3	0	1	0	0	0	3
V40	13	16	35	49	1	0	6	0	0	24	5	2	3	0	4	2	1
V41	27	16	139	24	0	43	18	16	8	17	0	0	9	111	0	0	0
V42	454	0	5	31	0	0	14	0	0	14	77	36	8	106	0	4	2
V43	5	111	3	141	49	0	49	6	4	48	8	17	11	0	9	5	0
V44	86	127	3	27	46	54	11	0	0	35	0	0	48	9	34	13	1
V45	3	49	28	18	1	9	2	0	52	11	8	7	7	0	2	0	0
V46	16	4	6	224	0	0	224	3	9	37	70	56	0	0	0	0	0
V47	24	6	33	29	0	0	11	0	0	11	0	0	4	0	2	2	0
V48	0	5	0	0	7	17	0	6	26	0	0	0	8	0	2	0	0
V49	0	2	0	11	67	2	5	21	14	1	18	11	10	3	0	0	0
V50	0	32	1	5	6	9	24	2	0	21	21	0	18	0	31	5	0
V51	66	10	4	51	78	0	17	96	9	13	7	4	12	0	0	0	8
V52	52	2	10	1	0	0	0	0	1	0	3	1	0	1	2	2	22
V53	1	5	13	34	2	0	34	0	0	26	16	32	4	0	0	2	0
V54	6	8	42	61	0	20	52	1	0	3	0	0	1	0	0	4	0
V55	118	0	6	1	51	0	1	56	41	1	6	0	16	0	0	0	0
V56	0	2	3	33	2	27	20	0	1	26	8	0	1	0	9	2	0
V57	38	30	13	19	24	27	24	5	0	6	26	29	10	0	24	0	0
V58	12	62	3	4	12	22	9	4	21	1	0	0	8	2	6	0	0
V59	418	104	0	15	6	0	9	0	17	11	2	10	0	0	27	14	0
V60	59	28	0	0	0	0	0	0	0	0	0	0	0	0	12	12	6
V61	0	24	127	6	59	19	2	22	0	0	12	4	2	0	15	0	16
V62	149	43	100	220	0	0	164	0	0	168	0	2	0	5	0	0	30
V63	55	0	164	9	121	84	2	57	112	0	9	9	2	24	0	0	0
V64	54	2	9	3	7	0	1	0	0	3	0	3	2	0	1	0	0
V65	27	5	6	3	123	16	2	64	95	2	0	9	54	0	0	0	0
V66	20	6	0	292	0	2	42	0	0	74	27	8	1	7	0	0	0
V67	0	16	6	11	69	142	0	67	82	1	0	0	26	0	22	1	0
V68	67	26	0	11	42	37	10	12	0	7	1	2	11	3	7	1	0
V69	9	17	85	327	57	88	95	27	40	92	9	25	36	0	0	11	0
V70	0	36	6	0	7	4	0	0	0	3	12	10	0	0	0	15	0
V71	29	0	10	79	41	78	42	19	41	76	0	0	0	21	0	0	0
V72	165	4	1	3	29	11	1	37	28	1	3	4	0	0	4	3	0
V73	19	157	19	1	0	8	1	0	5	2	3	0	13	11	2	0	1
V74	137	64	0	0	29	6	0	6	7	0	18	13	0	2	17	53	3
V75	22	2	75	40	41	43	4	13	68	4	3	0	16	0	5	0	7
V76	84	14	91	4	9	3	1	21	8	1	41	26	1	0	1	4	4
V77	0	13	157	77	36	5	37	24	18	36	17	10	0	33	0	2	0
V78	26	3	0	0	0	0	0	0	7	0	18	16	0	0	1	0	0
V79	160	64	2	5	30	0	10	5	12	8	23	25	6	0	19	16	0
V80	42	105	15	18	40	0	10	7	0	7	57	51	0	86	3	11	0
V81	30	12	4	0	13	15	2	16	0	0	34	8	9	0	19	0	10
V82	214	177	7	3	133	2	3	23	67	0	71	56	34	0	0	67	0
V83	3	72	25	0	0	0	0	1	20	1	73	31	0	0	6	3	0
V84	273	1	0	8	7	0	3	0	0	12	0	0	10	92	0	0	21
V85	6	0	5	16	9	0	7	5	9	0	12	13	6	0	0	1	0
V86	0	142	1	0	0	0	4	7	0	2	27	24	0	0	35	9	0
V87	68	25	0	15	3	65	13	0	13	4	0	0	19	0	0	1	0
V88	2	142	1	11	17	28	0	7	14	2	0	8	7	0	8	20	0
V89	53	87	72	7	0	0	11	0	2	18	0	11	1	16	27	18	7
V90	7	5	9	56	71	132	24	97	88	11	0	2	34	0	0	0	0
V91	32	61	51	8	0	13	1	0	0	4	3	17	0	14	11	2	0
V92	33	117	129	40	14	0	3	3	7	11	0	12	3	0	18	22	0
V93	14	0	23	27	0	0	19	0	0	36	8	11	1	3	0	2	0
V94	2	45	1	17	0	5	14	27	68	6	88	52	0	4	0	19	0
V95	15	36	10	53	0	6	40	2	0	15	0	2	2	0	0	12	0
V96	19	97	1	39	0	1	29	2	0	18	4	2	2	0	4	9	0
V97	5	0	6	0	11	0	0	6	11	0	26	29	0	0	2	0	0
V98	51	9	82	16	18	15	5	22	17	2	40	24	0	0	0	4	0
V99	23	12	4	13	0	12	0	9	8	2	11	26	2	0	14	0	6
V100	7	26	43	1	32	81	0	12	8	2	7	19	21	0	7	13	0
