MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
5:Del:R:1	1.80E-04	3.97E-04	1.12E-04	9.16E-05	1.86E-04	2.98E-05	9.81E-09	4.40E-04	0.00E+00
5:Del:R:2	2.62E-08	7.37E-05	4.76E-05	8.12E-05	2.83E-08	1.87E-04	1.90E-04	1.23E-04	6.00E-05
5:Del:R:3	4.37E-08	3.63E-08	4.05E-08	2.76E-08	7.89E-08	1.01E-04	6.84E-08	3.10E-04	1.55E-07
5:Del:R:4	2.16E-08	7.06E-09	2.24E-08	2.80E-08	1.51E-08	2.96E-08	2.98E-08	1.80E-07	2.04E-07
5:Del:R:5	2.16E-08	7.06E-09	2.24E-08	2.80E-08	1.51E-08	2.96E-08	2.98E-08	1.80E-07	2.04E-07
2:Ins:R:0	2.32E-05	1.50E-04	2.29E-08	1.41E-04	1.26E-08	4.91E-04	1.34E-04	8.22E-04	6.91E-04
2:Ins:R:1	1.69E-04	1.41E-04	6.68E-07	0.00E+00	9.30E-05	1.98E-04	1.05E-08	7.44E-04	9.42E-04
2:Ins:R:2	1.80E-08	7.20E-05	1.13E-02	5.92E-04	2.06E-04	4.17E-07	7.69E-03	2.57E-02	6.71E-04
2:Ins:R:3	6.74E-05	6.89E-05	1.50E-04	2.51E-04	2.79E-05	5.17E-04	9.84E-09	9.78E-04	9.31E-04
2:Ins:R:4	3.02E-04	2.50E-04	2.88E-09	2.76E-04	1.62E-04	2.79E-04	0.00E+00	2.77E-03	2.03E-03
2:Ins:R:5	1.55E-03	1.04E-03	1.08E-08	1.18E-04	3.49E-05	6.75E-04	0.00E+00	8.28E-03	2.11E-02
3:Ins:R:0	1.14E-08	0.00E+00	4.08E-08	5.35E-05	2.66E-08	4.77E-04	1.23E-04	4.60E-04	6.13E-04
3:Ins:R:1	5.85E-09	1.71E-04	1.43E-04	0.00E+00	3.41E-04	1.19E-04	8.94E-09	1.07E-03	4.38E-04
3:Ins:R:2	1.17E-04	9.57E-05	1.26E-08	1.89E-05	4.31E-09	0.00E+00	1.31E-04	2.72E-08	1.51E-04
3:Ins:R:3	2.16E-08	7.06E-09	2.24E-08	2.80E-08	1.51E-08	2.96E-08	2.98E-08	1.80E-07	2.04E-07
3:Ins:R:4	9.75E-09	3.13E-08	1.07E-03	1.53E-07	7.37E-09	2.61E-04	1.86E-07	8.03E-04	5.41E-07
3:Ins:R:5	2.73E-04	8.55E-05	2.05E-05	8.24E-05	1.09E-04	3.98E-04	1.26E-04	1.28E-03	2.63E-04
4:Ins:R:0	2.09E-07	3.97E-08	4.15E-08	1.77E-05	2.31E-05	2.51E-04	1.60E-07	6.50E-05	7.14E-04
4:Ins:R:1	2.73E-04	2.10E-04	0.00E+00	9.48E-04	6.77E-05	4.55E-04	6.78E-08	1.63E-03	4.09E-03
4:Ins:R:2	5.02E-05	0.00E+00	0.00E+00	2.92E-03	5.12E-04	3.10E-04	3.74E-03	1.78E-04	8.62E-04
4:Ins:R:3	2.93E-08	3.64E-05	5.05E-08	3.44E-08	4.92E-08	8.21E-08	8.93E-08	2.72E-04	2.45E-07
4:Ins:R:4	2.16E-08	7.06E-09	2.24E-08	2.80E-08	1.51E-08	2.96E-08	2.98E-08	1.80E-07	2.04E-07
4:Ins:R:5	1.08E-04	2.00E-04	5.12E-09	0.00E+00	1.84E-04	6.79E-04	1.85E-04	9.98E-04	1.10E-03
5:Ins:R:0	1.82E-07	6.44E-08	2.60E-05	4.59E-05	7.94E-05	4.92E-05	1.56E-08	4.80E-04	1.55E-04
5:Ins:R:1	7.20E-05	1.18E-08	3.09E-06	9.68E-05	2.38E-04	1.56E-03	2.90E-04	1.88E-03	3.16E-03
5:Ins:R:2	2.02E-08	5.67E-05	4.13E-08	1.48E-08	4.24E-05	1.55E-04	5.37E-08	3.25E-04	1.91E-04
5:Ins:R:3	7.34E-05	8.26E-09	1.70E-08	1.03E-08	1.36E-05	2.49E-08	4.42E-08	3.07E-05	4.16E-08
5:Ins:R:4	1.04E-04	4.06E-08	4.89E-08	2.48E-08	5.14E-08	4.97E-08	4.41E-08	4.23E-08	3.50E-08
5:Ins:R:5	3.94E-08	4.13E-08	4.61E-08	2.31E-08	6.05E-05	2.17E-04	3.49E-07	2.15E-04	1.57E-04
