Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
V1	1.00E-01	8.54E-01	4.79E+00	8.23E-01	0.00E+00	0.00E+00	2.60E-01	4.74E+00	2.49E+00
V2	2.44E+00	1.79E+00	6.41E+00	1.38E+00	7.92E-01	1.98E+01	1.45E+01	5.05E+00	7.67E+00
V3	6.29E-01	1.20E+00	4.11E+00	2.22E+00	1.13E+00	5.85E+00	5.92E+00	1.78E+00	3.94E+00
V4	3.65E+00	4.18E+00	7.95E-01	1.05E+01	1.49E+00	3.39E+00	3.87E+00	1.10E+01	6.32E+00
V5	1.46E+01	1.40E+00	1.98E+00	2.51E+00	3.78E+00	1.48E+00	1.40E+00	1.24E+01	4.76E+00
V6	0.00E+00	5.26E-01	7.57E+00	1.21E+00	2.44E+00	0.00E+00	5.90E+00	2.73E+00	0.00E+00
V7	2.10E+00	5.03E+00	0.00E+00	4.52E-01	1.40E+00	7.22E-01	4.00E-01	1.25E+00	6.67E+00
V8	9.57E-01	1.07E+00	5.60E+00	4.13E+00	6.99E-01	1.30E+01	8.49E+00	5.78E+00	9.36E+00
V9	4.12E+00	7.42E-01	2.63E+00	4.63E+00	7.60E-01	3.46E+00	5.15E+00	4.94E+00	1.89E+00
V10	1.71E+00	3.88E+00	4.78E+00	2.91E-01	1.61E+00	1.01E+01	1.06E+01	2.86E+00	5.12E+00
V11	1.37E+00	2.18E+00	2.31E+00	1.50E+01	1.81E+00	8.36E-01	5.86E-01	1.48E+01	2.23E+00
V12	1.07E+00	4.31E+00	2.26E+00	5.31E+00	3.42E-01	1.49E+01	1.18E+01	5.45E+00	8.73E+00
V13	6.55E+00	6.76E+00	2.34E+00	1.14E+01	2.90E+00	2.54E+01	2.95E+01	1.25E+01	1.32E+01
V14	0.00E+00	1.72E+00	4.05E+00	4.23E-01	1.35E+00	5.93E+00	5.84E+00	1.15E+00	2.00E-01
V15	6.23E-01	1.09E+00	1.09E+00	6.46E-01	2.13E-01	1.33E+01	1.46E+01	6.00E-01	4.57E+00
