Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,0.78,0.68,NO,N/A,44.72%,60.24%,137.1%,40.43%,128.16,0.3879,1.1751,0.138,0.696,0.852,0.229
3,0.93,0.84,NO,N/A,32.06%,41.51%,125.96%,28.9%,85.27,0.2919,1.0904,0.081,0.451,0.912,0.522
4,0.9,0.8,NO,N/A,19.94%,30.24%,87.37%,16.93%,71.86,0.1895,0.8146,0.033,0.292,0.963,0.67
5,1.0,1.0,YES,1.11e-05,10.17%,19.74%,69.91%,11.13%,55.28,0.1185,0.8171,0.009,0.119,0.99,0.87
6*,0.99,0.98,YES,Most Stab Sigs,6.46%,16.38%,70.32%,8.19%,54.91,0.0994,0.83,0.005,0.114,0.994,0.875
7,0.75,-0.71,NO,N/A,6.31%,16.31%,69.62%,7.93%,54.93,0.0993,0.8552,0.005,0.114,0.994,0.876
8,0.56,-0.75,NO,N/A,6.4%,16.3%,68.86%,7.8%,50.64,0.098,0.7187,0.005,0.112,0.994,0.877
9,0.42,-0.72,NO,N/A,5.96%,16.18%,67.28%,7.81%,47.1,0.0966,0.639,0.005,0.107,0.995,0.88
10,0.24,-0.78,NO,N/A,6.47%,16.35%,61.22%,7.72%,43.39,0.1012,0.5668,0.005,0.098,0.994,0.889
11,0.14,-0.82,NO,N/A,6.54%,17.22%,61.82%,8.12%,42.3,0.1009,0.5646,0.005,0.094,0.995,0.894
12,0.16,-0.79,NO,N/A,5.77%,15.21%,64.22%,7.24%,46.04,0.0977,0.624,0.004,0.103,0.995,0.885
13,0.19,-0.75,NO,N/A,5.4%,14.66%,63.86%,6.69%,41.9,0.0943,0.6437,0.004,0.091,0.996,0.897
14,0.06,-0.76,NO,N/A,6.27%,16.66%,61.2%,7.29%,41.86,0.0991,0.5116,0.004,0.091,0.996,0.898
15,0.04,-0.74,NO,N/A,6.11%,16.46%,56.81%,7.06%,37.89,0.0975,0.4711,0.004,0.074,0.996,0.917
16,0.04,-0.78,NO,N/A,5.5%,14.57%,65.32%,6.92%,44.88,0.0926,0.5779,0.004,0.102,0.996,0.885
17,-0.01,-0.83,NO,N/A,5.36%,14.11%,59.92%,6.66%,43.16,0.0931,0.5681,0.003,0.097,0.996,0.89
18,0.02,-0.77,NO,N/A,5.36%,13.74%,57.93%,6.3%,34.72,0.0921,0.4212,0.003,0.06,0.997,0.933
19,0.01,-0.68,NO,N/A,5.37%,14.78%,62.0%,6.32%,41.3,0.092,0.5548,0.003,0.088,0.997,0.9
20,-0.0,-0.73,NO,N/A,4.84%,13.86%,54.25%,6.08%,36.38,0.0874,0.4035,0.002,0.061,0.997,0.933
