NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	82.393	36.703	20.991	24.601	0.23	0.949	30000.0
2	85.527	38.703	25.965	28.532	0.236	0.939	30000.0
3	86.131	39.294	26.323	29.26	0.24	0.935	20000.0
4	86.169	39.392	26.523	29.891	0.246	0.933	20000.0
5	83.611	37.02	21.338	25.004	0.232	0.95	30000.0
6	86.69	39.467	26.94	29.67	0.238	0.933	40000.0
7	83.658	37.105	20.847	24.581	0.233	0.952	20000.0
8	83.228	37.407	20.985	24.937	0.239	0.95	30000.0
9	86.497	39.291	26.461	29.692	0.238	0.934	30000.0
10	86.182	39.338	27.179	29.398	0.249	0.934	20000.0
