NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	220.685	67.453	69.354	56.064	0.39	0.811	30000.0
2	207.616	64.502	66.223	55.621	0.379	0.808	20000.0
3	216.656	65.139	64.797	52.345	0.395	0.824	30000.0
4	201.64	61.43	58.387	49.271	0.379	0.835	20000.0
5	210.101	64.827	67.046	54.168	0.381	0.819	20000.0
6	222.561	68.011	70.361	56.937	0.394	0.811	20000.0
7	214.954	65.898	65.525	53.815	0.384	0.824	30000.0
8	209.318	65.128	66.1	54.307	0.383	0.817	30000.0
9	207.248	63.749	65.642	54.53	0.373	0.815	20000.0
10	202.624	62.577	59.233	50.954	0.376	0.827	30000.0
