Samples	ID83A	ID83B	ID83C
V1	5.60E+00	1.26E+01	9.50E+00
V2	3.32E+00	1.21E+01	1.05E+01
V3	1.04E+01	1.06E+01	4.33E-01
V4	1.59E+00	1.13E+01	1.09E+01
V5	8.12E+00	8.15E+00	2.93E+00
V6	5.94E+00	5.56E+00	5.30E+00
V7	3.82E+00	3.64E+00	7.16E-01
V8	1.33E+01	1.49E+01	4.04E+00
V9	1.40E+01	2.43E+01	1.99E+01
V10	6.00E+00	3.00E+00	4.56E+00
V11	1.23E+01	1.14E+01	3.92E+00
V12	2.86E+01	2.79E+01	1.88E+00
V13	2.18E+01	3.67E+01	3.21E+01
V14	5.60E+00	5.45E+00	2.91E+00
V15	3.94E+00	8.71E+00	7.51E+00
V16	1.61E+01	2.89E+01	2.03E+01
V17	4.49E+00	3.03E+00	3.43E+00
V18	7.06E+00	7.41E+00	2.71E+00
V19	2.56E+01	2.70E+01	4.45E+00
V20	6.53E+00	6.01E+00	6.13E+00
V21	3.23E+00	2.15E+00	2.31E+00
V22	3.94E+00	8.40E+00	6.56E+00
V23	8.79E+00	8.31E+00	3.32E+00
V24	8.76E+00	1.72E+01	1.22E+01
V25	3.02E+00	6.06E+00	4.61E+00
V26	6.65E+00	1.29E+01	1.16E+01
V27	2.99E+01	8.32E+01	6.52E+01
V28	7.00E+01	7.28E+01	3.97E+01
V29	4.79E+00	5.06E+00	1.15E+00
V30	1.15E+01	2.03E+01	1.64E+01
V31	1.30E+00	1.12E+00	1.13E+00
V32	1.00E+01	1.02E+01	2.62E+00
V33	4.46E+00	6.55E+00	5.16E+00
V34	3.66E+00	5.95E+00	4.95E+00
V35	1.66E+01	1.78E+01	1.01E+01
V36	8.53E+00	1.62E+01	1.31E+01
V37	3.37E+00	7.02E+00	5.97E+00
V38	8.30E+00	1.26E+01	6.35E+00
V39	2.27E+01	2.82E+01	1.50E+01
V40	2.98E+01	3.09E+01	1.05E+01
V41	1.61E+00	1.19E+01	1.19E+01
V42	1.66E+01	1.68E+01	8.79E-01
V43	1.11E+01	1.79E+01	1.64E+01
V44	3.26E+00	4.73E+00	2.79E+00
V45	1.77E+01	3.50E+01	2.97E+01
V46	9.90E+00	1.03E+01	7.81E-01
V47	1.67E+01	1.62E+01	9.38E+00
V48	2.07E+01	2.07E+01	8.86E+00
V49	1.87E+00	3.63E+00	2.68E+00
V50	1.88E+01	1.93E+01	3.68E+00
V51	1.06E+01	1.58E+01	7.78E+00
V52	3.08E+01	4.83E+01	3.39E+01
V53	5.96E+00	5.90E+00	3.46E+00
V54	4.35E+00	4.91E+00	1.84E+00
V55	3.33E+00	8.27E-01	2.89E+00
V56	6.24E+00	6.68E+00	1.00E+00
V57	5.26E+00	1.14E+01	8.10E+00
V58	4.99E+00	6.49E+00	6.56E+00
V59	1.16E+01	1.15E+01	2.18E+00
V60	4.15E+00	5.07E+00	5.72E+00
V61	2.23E+00	8.80E+00	8.49E+00
V62	4.47E+00	2.50E+00	3.68E+00
V63	5.08E+00	1.09E+01	1.09E+01
V64	3.11E+01	3.55E+01	1.36E+01
V65	1.88E+00	5.00E-01	2.03E+00
V66	4.22E+01	4.43E+01	9.09E+00
V67	6.66E+00	8.10E+00	3.76E+00
V68	1.59E+00	1.98E+00	1.31E+00
V69	8.86E+00	8.82E+00	2.34E+00
V70	1.45E+00	1.70E+00	1.47E+00
V71	3.50E+00	5.80E+00	4.75E+00
V72	6.94E+00	1.03E+01	9.09E+00
V73	3.64E+00	3.05E+00	2.04E+00
V74	9.20E+00	3.95E+01	3.54E+01
V75	9.92E+00	1.04E+01	2.10E+00
V76	1.53E+01	2.48E+01	1.39E+01
V77	5.33E+00	6.93E+00	4.54E+00
V78	5.34E+00	9.76E+00	8.37E+00
V79	3.65E+00	2.80E+00	3.82E+00
V80	6.66E+00	6.50E+00	3.70E+00
V81	8.96E+00	1.36E+01	1.23E+01
V82	1.21E+01	7.67E+00	9.66E+00
V83	1.86E+00	1.78E+00	1.71E+00
V84	2.90E+01	3.46E+01	3.74E+01
V85	3.76E+01	4.13E+01	1.76E+01
V86	3.27E+00	3.56E+00	1.83E+00
V87	1.63E+01	1.66E+01	1.89E+00
V88	3.56E+01	3.12E+01	2.16E+01
V89	1.77E+00	2.36E+00	2.09E+00
V90	4.91E+00	7.82E+00	5.04E+00
V91	1.71E+00	1.75E+00	1.12E+00
V92	1.29E+01	3.13E+01	2.17E+01
V93	9.03E+00	1.48E+01	8.69E+00
V94	1.59E+01	1.71E+01	7.89E+00
V95	2.55E+00	2.97E+01	2.83E+01
V96	4.66E+00	1.42E+01	1.38E+01
V97	6.19E+00	1.31E+01	1.08E+01
V98	1.67E+00	4.46E+00	3.91E+00
V99	2.10E+01	2.11E+01	1.61E+01
V100	4.48E+00	6.59E+00	3.74E+00
