Samples	ID83A	ID83B	ID83C
V1	102	36	84
V2	13	73	110
V3	184	0	0
V4	6	3	788
V5	128	14	62
V6	190	41	17
V7	94	21	1
V8	295	108	17
V9	0	194	23
V10	113	0	164
V11	294	0	54
V12	232	164	6
V13	231	254	30
V14	30	0	222
V15	59	91	32
V16	0	219	0
V17	84	20	63
V18	400	0	56
V19	135	143	41
V20	145	69	1
V21	201	0	57
V22	54	26	94
V23	56	0	138
V24	104	109	39
V25	94	38	0
V26	172	56	73
V27	3	524	376
V28	64	398	20
V29	33	0	113
V30	0	147	28
V31	111	0	6
V32	506	0	42
V33	67	72	12
V34	1	57	28
V35	15	92	15
V36	36	94	59
V37	289	0	106
V38	16	51	75
V39	103	172	160
V40	250	220	16
V41	0	117	242
V42	284	0	5
V43	120	212	203
V44	9	29	4
V45	0	287	58
V46	85	9	29
V47	83	183	3
V48	109	145	4
V49	62	0	162
V50	336	0	127
V51	118	132	11
V52	21	332	0
V53	15	31	3
V54	82	5	30
V55	91	0	138
V56	66	32	6
V57	52	0	404
V58	0	66	2
V59	242	28	20
V60	37	0	333
V61	17	84	78
V62	194	0	95
V63	4	161	153
V64	89	175	115
V65	225	0	52
V66	463	135	7
V67	173	0	95
V68	54	27	3
V69	95	10	91
V70	171	0	0
V71	51	29	21
V72	409	0	20
V73	209	0	29
V74	155	448	327
V75	192	0	88
V76	56	144	67
V77	11	38	20
V78	169	82	0
V79	273	15	25
V80	199	9	24
V81	17	158	124
V82	278	0	407
V83	136	3	7
V84	40	486	8
V85	190	183	52
V86	97	0	12
V87	339	42	15
V88	30	295	9
V89	78	0	93
V90	79	59	2
V91	107	0	10
V92	80	351	33
V93	276	68	40
V94	43	89	3
V95	0	239	436
V96	23	213	76
V97	16	88	57
V98	67	12	87
V99	119	230	44
V100	21	36	1
