NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	47.934	19.38	11.429	11.932	0.119	0.99	60000.0
2	52.346	20.975	12.839	13.097	0.123	0.988	80000.0
3	45.681	18.42	10.534	10.768	0.118	0.992	30000.0
4	50.458	19.973	12.648	12.699	0.12	0.988	40000.0
5	52.525	21.07	13.169	13.134	0.121	0.989	40000.0
6	47.651	19.145	11.423	11.731	0.116	0.991	40000.0
7	48.127	19.381	11.968	12.5	0.115	0.987	50000.0
8	46.706	18.925	10.864	11.164	0.119	0.991	50000.0
9	47.537	19.098	11.332	11.708	0.116	0.99	30000.0
10	48.617	19.893	11.312	11.884	0.125	0.99	40000.0
