NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	34.176	13.505	8.541	8.725	0.079	0.995	60000.0
2	33.67	13.142	8.093	8.271	0.079	0.995	50000.0
3	42.439	16.856	11.707	11.806	0.084	0.99	50000.0
4	33.995	13.124	8.243	8.374	0.079	0.995	70000.0
5	31.977	12.389	7.795	7.949	0.075	0.995	30000.0
6	36.569	14.231	9.834	9.747	0.08	0.993	90000.0
7	37.83	14.791	10.057	9.884	0.079	0.993	60000.0
8	33.377	12.933	7.824	7.81	0.077	0.996	40000.0
9	41.53	16.218	10.843	11.034	0.086	0.991	40000.0
10	37.08	14.808	9.317	9.501	0.082	0.994	60000.0
