MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
2:Del:R:5	1.66E-03	2.51E-08	8.28E-08	0.00E+00	0.00E+00	0.00E+00	2.53E-08	2.75E-03	0.00E+00	0.00E+00	4.90E-08	0.00E+00	1.11E-07	0.00E+00	1.17E-02
3:Del:R:0	1.70E-05	3.52E-04	1.08E-03	6.50E-04	4.15E-05	2.13E-03	1.31E-03	1.46E-03	1.10E-03	4.45E-03	4.88E-03	2.50E-03	4.04E-03	1.08E-03	0.00E+00
3:Del:R:1	5.08E-04	2.90E-04	2.53E-03	5.74E-03	1.01E-04	3.00E-03	1.90E-04	4.50E-03	5.89E-03	1.81E-02	2.14E-03	1.64E-02	7.75E-03	4.06E-03	3.79E-03
3:Del:R:2	2.07E-04	4.12E-05	4.38E-06	2.40E-05	3.03E-05	7.57E-05	1.09E-04	3.17E-03	2.52E-03	8.92E-03	6.93E-04	2.80E-03	5.38E-03	1.06E-03	1.92E-03
3:Del:R:3	8.81E-05	1.38E-04	1.11E-03	3.61E-04	5.11E-05	1.60E-03	0.00E+00	2.47E-04	3.71E-04	3.61E-04	0.00E+00	1.03E-03	1.84E-04	1.32E-03	2.48E-03
3:Del:R:4	1.91E-08	6.05E-08	6.76E-08	5.90E-08	1.38E-09	1.44E-07	0.00E+00	5.66E-08	1.48E-07	1.34E-07	2.09E-07	6.99E-08	2.93E-07	2.89E-07	5.70E-03
3:Del:R:5	6.67E-06	0.00E+00	1.44E-08	3.50E-08	1.22E-09	8.25E-05	1.59E-09	4.70E-05	6.96E-08	0.00E+00	0.00E+00	0.00E+00	2.11E-08	6.01E-08	7.84E-03
4:Del:R:0	2.25E-05	4.46E-05	4.60E-04	1.34E-03	3.04E-09	1.30E-03	8.55E-04	3.46E-03	1.68E-03	1.48E-03	4.23E-03	3.21E-03	8.04E-03	0.00E+00	9.92E-08
4:Del:R:1	2.68E-04	6.74E-04	7.50E-03	4.64E-03	7.65E-05	4.30E-03	3.86E-04	5.58E-03	7.86E-03	8.16E-03	1.73E-04	1.03E-02	8.07E-03	4.05E-03	5.60E-03
4:Del:R:2	1.05E-04	0.00E+00	1.71E-03	1.25E-03	3.12E-09	1.42E-03	1.19E-04	1.42E-03	5.42E-04	3.84E-03	0.00E+00	3.77E-03	1.81E-03	1.01E-03	1.88E-07
4:Del:R:3	2.49E-05	1.93E-04	3.69E-06	2.74E-04	1.71E-09	1.24E-03	1.23E-04	1.73E-04	4.37E-04	0.00E+00	1.22E-04	7.28E-04	2.39E-04	1.33E-03	2.09E-03
4:Del:R:4	0.00E+00	7.86E-08	1.45E-07	1.59E-04	7.06E-10	1.46E-04	1.05E-04	3.44E-04	6.83E-05	0.00E+00	0.00E+00	2.80E-05	0.00E+00	3.85E-08	2.82E-03
4:Del:R:5	1.33E-04	6.73E-05	1.17E-05	9.95E-05	1.85E-09	5.69E-05	4.36E-05	8.32E-04	0.00E+00	0.00E+00	5.87E-09	2.86E-04	3.54E-08	7.83E-04	1.30E-03
5:Del:R:0	6.44E-05	1.42E-03	5.66E-03	5.50E-03	1.53E-04	8.42E-04	7.35E-03	4.30E-03	2.29E-46	3.74E-03	1.62E-02	1.40E-02	1.15E-02	7.62E-03	1.21E-03
5:Del:R:1	1.21E-04	1.16E-03	1.07E-02	8.99E-03	6.59E-05	9.13E-04	1.23E-03	3.33E-03	0.00E+00	3.31E-03	5.86E-04	2.16E-03	5.90E-03	1.58E-03	1.43E-03
5:Del:R:2	4.70E-05	2.96E-04	1.26E-04	7.08E-05	1.18E-09	8.18E-04	8.96E-05	8.77E-04	8.86E-04	0.00E+00	0.00E+00	8.75E-04	4.93E-04	1.76E-03	1.28E-03
5:Del:R:3	1.64E-05	1.04E-04	3.17E-04	0.00E+00	2.93E-09	0.00E+00	2.45E-05	2.24E-04	5.30E-08	6.77E-04	2.42E-06	2.80E-04	0.00E+00	3.13E-04	8.71E-04
5:Del:R:4	4.53E-05	4.17E-06	0.00E+00	0.00E+00	2.59E-09	1.01E-05	5.16E-05	1.08E-04	8.97E-05	0.00E+00	1.46E-04	0.00E+00	1.77E-08	3.93E-08	2.33E-04
5:Del:R:5	9.34E-06	6.06E-05	2.15E-05	3.06E-04	2.00E-09	0.00E+00	9.25E-05	9.70E-05	6.06E-05	1.30E-04	0.00E+00	1.70E-04	8.97E-05	5.25E-04	7.69E-04
2:Ins:R:0	2.59E-03	1.03E-02	2.10E-02	2.58E-03	2.62E-04	3.44E-03	1.59E-03	2.89E-03	6.09E-03	3.19E-03	3.50E-03	6.36E-03	7.52E-03	2.00E-02	6.27E-03
2:Ins:R:1	2.42E-04	4.56E-04	2.11E-03	1.60E-03	4.44E-05	1.23E-03	8.52E-05	1.58E-03	1.40E-46	0.00E+00	0.00E+00	1.37E-03	1.40E-46	2.87E-03	1.76E-03
2:Ins:R:2	9.38E-05	1.70E-04	2.54E-04	1.17E-04	5.48E-09	5.91E-05	2.04E-05	1.51E-04	0.00E+00	1.01E-04	6.75E-08	2.04E-08	0.00E+00	0.00E+00	2.90E-07
2:Ins:R:3	1.04E-04	4.82E-05	4.31E-05	5.61E-05	3.40E-09	6.28E-05	0.00E+00	1.75E-04	7.90E-08	7.90E-05	3.19E-08	1.24E-04	0.00E+00	1.65E-07	3.23E-04
2:Ins:R:4	2.45E-05	3.91E-05	1.36E-04	5.16E-05	1.19E-08	4.86E-09	1.62E-05	1.32E-04	1.20E-09	2.27E-05	0.00E+00	0.00E+00	7.16E-08	3.25E-05	1.15E-04
2:Ins:R:5	5.96E-05	3.07E-05	9.21E-05	1.40E-08	3.43E-09	9.82E-09	0.00E+00	9.95E-05	1.77E-06	1.14E-08	0.00E+00	1.15E-04	1.25E-05	3.00E-04	4.23E-08
3:Ins:R:0	3.42E-04	1.01E-03	7.51E-03	2.51E-03	1.13E-04	3.79E-03	5.75E-04	3.33E-04	1.06E-03	1.64E-03	2.31E-04	7.00E-03	3.90E-03	1.48E-02	2.54E-03
3:Ins:R:1	2.69E-05	8.32E-05	3.28E-04	0.00E+00	1.10E-09	5.14E-04	0.00E+00	7.11E-05	1.77E-04	8.59E-05	2.07E-04	1.39E-04	2.19E-04	1.96E-04	4.85E-04
3:Ins:R:2	7.19E-06	2.30E-05	0.00E+00	1.80E-08	1.46E-08	1.18E-07	0.00E+00	4.84E-05	6.44E-05	2.19E-08	3.67E-08	6.08E-05	2.89E-08	9.00E-05	1.67E-07
3:Ins:R:3	6.47E-08	8.57E-06	1.34E-06	6.23E-08	1.44E-07	2.87E-08	7.94E-10	8.79E-06	1.69E-07	7.70E-08	1.58E-08	1.70E-05	1.28E-05	2.20E-08	2.99E-05
3:Ins:R:4	3.59E-11	1.15E-08	3.29E-08	5.67E-08	7.21E-10	4.47E-08	0.00E+00	5.27E-08	6.61E-08	5.86E-08	4.97E-08	6.95E-08	5.12E-08	5.69E-08	3.33E-08
3:Ins:R:5	3.59E-11	1.15E-08	3.29E-08	5.67E-08	7.21E-10	4.47E-08	0.00E+00	5.27E-08	6.61E-08	5.86E-08	4.97E-08	6.95E-08	5.12E-08	5.69E-08	3.33E-08
4:Ins:R:0	1.76E-04	2.08E-03	5.15E-03	4.41E-03	1.48E-04	1.55E-04	1.01E-03	7.67E-03	1.63E-03	1.39E-03	2.10E-03	7.36E-03	2.68E-03	1.33E-02	2.62E-03
4:Ins:R:1	9.81E-06	0.00E+00	1.60E-04	3.32E-04	3.85E-09	1.88E-04	6.30E-05	1.25E-04	1.06E-04	6.33E-04	0.00E+00	1.77E-04	1.20E-04	4.33E-04	1.23E-04
4:Ins:R:2	1.50E-09	1.02E-05	6.86E-06	6.17E-08	2.71E-09	1.82E-05	0.00E+00	3.58E-08	2.89E-07	7.30E-08	1.23E-05	7.71E-08	8.29E-08	1.36E-05	9.59E-08
4:Ins:R:3	0.00E+00	8.15E-06	3.40E-06	7.21E-08	4.53E-09	3.96E-08	0.00E+00	2.68E-08	9.68E-08	2.44E-07	4.44E-08	6.34E-08	1.04E-07	1.97E-05	9.66E-08
4:Ins:R:4	3.59E-11	9.55E-09	5.70E-08	3.46E-08	1.88E-09	2.01E-05	5.06E-09	6.25E-08	7.74E-08	3.70E-05	1.78E-08	6.94E-08	1.66E-06	1.48E-05	1.09E-04
4:Ins:R:5	3.59E-11	1.15E-08	3.29E-08	5.67E-08	7.21E-10	4.47E-08	0.00E+00	5.27E-08	6.61E-08	5.86E-08	4.97E-08	6.95E-08	5.12E-08	5.69E-08	3.33E-08
5:Ins:R:0	2.52E-05	7.74E-04	1.61E-02	7.98E-03	2.35E-04	1.16E-02	1.96E-03	7.99E-03	2.73E-03	5.64E-03	2.78E-03	7.32E-03	5.50E-03	2.25E-02	3.10E-03
5:Ins:R:1	6.65E-10	0.00E+00	0.00E+00	9.61E-05	2.40E-09	0.00E+00	9.69E-06	0.00E+00	4.77E-05	9.47E-07	3.24E-04	1.65E-04	1.56E-07	2.09E-04	9.83E-05
5:Ins:R:2	3.59E-11	1.00E-05	3.66E-08	5.72E-08	2.81E-09	3.99E-08	0.00E+00	4.67E-08	3.76E-07	8.32E-08	2.92E-08	7.21E-08	9.24E-08	6.79E-08	7.40E-08
5:Ins:R:3	3.59E-11	1.15E-08	3.29E-08	5.67E-08	7.21E-10	4.47E-08	0.00E+00	5.27E-08	6.61E-08	5.86E-08	4.97E-08	6.95E-08	5.12E-08	5.69E-08	3.33E-08
5:Ins:R:4	3.59E-11	1.15E-08	3.29E-08	5.67E-08	7.21E-10	4.47E-08	0.00E+00	5.27E-08	6.61E-08	5.86E-08	4.97E-08	6.95E-08	5.12E-08	5.69E-08	3.33E-08
5:Ins:R:5	3.59E-11	1.15E-08	3.29E-08	5.67E-08	7.21E-10	4.47E-08	0.00E+00	5.27E-08	6.61E-08	5.86E-08	4.97E-08	6.95E-08	5.12E-08	5.69E-08	3.33E-08
2:Del:M:1	6.47E-04	7.92E-04	6.00E-03	4.38E-03	5.40E-05	4.83E-03	0.00E+00	4.09E-03	5.36E-03	8.85E-03	5.24E-03	5.12E-03	7.41E-03	8.94E-03	3.06E-03
3:Del:M:1	4.75E-05	3.17E-05	2.06E-04	1.97E-03	3.94E-05	6.29E-04	7.77E-04	7.61E-05	4.93E-03	1.54E-04	3.66E-03	3.31E-03	3.04E-03	5.63E-04	2.12E-03
3:Del:M:2	3.78E-04	1.76E-04	5.54E-04	4.94E-03	6.59E-05	1.73E-03	9.63E-04	3.40E-03	3.75E-03	8.53E-03	8.44E-04	6.59E-03	8.24E-03	1.44E-04	2.97E-03
4:Del:M:1	5.08E-05	1.01E-04	2.38E-04	0.00E+00	2.63E-09	3.98E-09	5.96E-04	1.00E-03	6.59E-04	3.60E-03	2.65E-03	1.62E-03	4.95E-03	1.29E-03	1.01E-03
4:Del:M:2	3.56E-05	5.58E-04	1.38E-03	1.25E-03	0.00E+00	2.37E-03	5.35E-04	3.17E-03	2.07E-03	4.92E-03	2.23E-03	2.64E-03	2.45E-03	4.56E-03	2.94E-03
4:Del:M:3	1.41E-04	9.36E-05	2.30E-03	6.31E-03	1.53E-04	1.30E-03	7.49E-04	1.34E-02	2.81E-03	1.73E-02	1.40E-46	1.42E-02	4.79E-03	1.55E-03	3.44E-03
5:Del:M:1	1.83E-10	7.17E-04	1.54E-03	5.84E-03	6.96E-05	6.18E-03	1.17E-02	7.10E-05	8.80E-03	1.76E-04	1.42E-02	1.87E-02	7.19E-03	2.66E-03	2.15E-03
5:Del:M:2	3.24E-06	1.86E-04	3.27E-03	6.84E-03	1.40E-04	1.24E-03	2.31E-02	4.20E-04	1.14E-03	4.28E-46	1.46E-02	2.97E-02	1.62E-02	2.02E-03	1.60E-03
5:Del:M:3	4.35E-05	3.57E-05	6.91E-04	4.50E-03	1.22E-04	9.79E-04	5.97E-03	3.64E-05	2.66E-03	1.83E-03	6.45E-03	1.71E-02	6.34E-03	1.80E-03	1.60E-03
5:Del:M:4	6.51E-05	6.72E-04	0.00E+00	3.17E-03	0.00E+00	5.77E-03	1.69E-02	4.43E-04	4.33E-03	1.75E-03	3.88E-03	2.81E-02	1.97E-03	2.40E-03	4.77E-04
5:Del:M:5	2.14E-05	2.32E-04	2.04E-03	2.17E-03	1.39E-04	2.92E-03	1.15E-02	1.12E-03	9.48E-04	1.73E-03	4.20E-46	2.22E-02	5.61E-03	5.41E-03	3.57E-03
