Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
V1	1.23E+00	4.46E+00	2.08E+00	5.62E-01	1.19E+00	2.44E+00	3.85E+00	1.88E+00	4.58E-01	4.55E+00	2.39E+00	3.36E+00	1.87E+00
V2	4.95E+00	2.51E+00	7.48E+00	3.52E+00	2.75E+00	2.19E+00	1.76E+00	3.72E+00	3.36E+00	4.29E+00	2.74E+00	2.47E+00	4.11E+00
V3	2.09E+00	1.61E+00	2.05E+00	9.41E+00	2.17E+00	1.06E+00	7.81E-01	1.09E+01	4.66E+00	4.00E-01	2.60E+00	1.81E+00	0.00E+00
V4	1.35E+00	0.00E+00	2.31E+00	3.87E+00	3.31E+00	1.17E+00	1.00E-01	4.23E+00	2.72E+00	3.88E+00	4.03E+00	1.00E+00	1.86E+00
V5	3.61E+00	0.00E+00	2.40E+00	9.11E+00	2.24E-01	8.69E-01	1.16E+00	1.10E+01	6.96E+00	3.16E+00	0.00E+00	0.00E+00	4.05E+00
V6	1.78E+00	3.76E+00	2.58E+00	1.54E+00	1.77E+00	1.62E+00	2.80E+00	1.71E+00	1.15E+00	3.15E+00	1.09E+00	5.45E+00	2.09E+00
V7	3.93E+00	1.48E+00	1.05E+01	1.24E+00	9.87E-01	1.97E+00	1.91E+00	1.61E+00	1.41E+00	1.01E+01	8.54E-01	1.73E+00	3.55E+00
V8	8.00E-01	6.18E+00	3.87E+00	9.66E-01	8.16E-01	1.16E+01	1.02E+01	1.00E+00	8.98E-01	9.16E+00	1.81E+00	7.04E+00	5.44E+00
V9	1.95E+00	1.42E+00	8.88E-01	4.27E-01	1.30E+00	6.00E-01	1.48E+00	7.19E-01	2.00E-01	2.21E-01	1.21E+00	8.00E-01	2.26E+00
V10	1.26E+00	2.25E+00	2.82E+00	6.29E-01	8.24E+00	4.58E+00	3.00E+00	5.86E+00	4.70E+00	3.34E+00	4.94E+00	1.12E+01	1.39E+00
