Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
V1	23	32	0	8	7	12	11	0	1	25	6	2	8
V2	129	13	314	41	5	7	9	39	13	0	14	0	32
V3	33	6	19	68	0	1	0	72	19	0	3	14	0
V4	29	0	13	26	13	9	0	15	34	0	11	1	8
V5	109	0	19	43	0	5	0	37	37	0	0	0	20
V6	11	28	10	25	19	19	14	6	1	12	3	14	10
V7	146	14	155	14	2	9	14	3	6	21	0	0	14
V8	6	50	0	10	0	47	66	1	0	62	12	15	2
V9	144	16	8	2	7	0	2	4	0	0	10	0	9
V10	11	17	0	0	97	26	14	9	22	38	0	0	3
V11	41	48	1	0	15	6	27	0	0	0	13	0	9
V12	39	161	170	8	14	6	0	14	36	43	28	38	5
V13	4	193	13	210	0	21	0	122	63	0	0	0	0
V14	3	45	0	57	0	49	81	56	29	23	0	0	1
V15	6	13	2	103	0	1	1	30	36	0	0	0	0
V16	27	118	34	30	21	0	0	30	23	0	22	15	0
V17	15	26	2	7	0	8	6	0	6	3	3	1	9
V18	20	8	14	2	19	45	125	0	1	10	25	0	2
V19	84	160	58	1	20	8	2	0	5	0	0	26	9
V20	230	7	87	7	11	15	11	21	10	22	0	0	0
V21	100	4	0	353	53	45	49	92	95	0	0	0	35
V22	49	28	82	19	21	6	8	40	58	0	3	4	10
V23	200	15	2	0	1	0	0	1	1	0	7	0	13
V24	50	27	3	12	0	7	23	10	0	3	0	0	1
V25	26	37	4	66	0	1	0	23	35	0	0	0	0
V26	56	0	88	0	198	0	0	0	14	1	0	5	6
V27	145	10	0	35	5	9	16	11	3	23	0	0	8
V28	0	270	155	9	35	6	0	0	16	1	50	73	2
V29	3	0	60	23	37	0	0	1	16	0	39	60	0
V30	15	1	0	62	0	22	12	40	7	0	0	0	5
V31	1	0	128	2	31	2	10	0	6	3	4	0	0
V32	4	20	0	31	36	24	5	8	10	0	31	35	1
V33	4	11	107	40	115	53	12	0	56	7	32	0	5
V34	4	16	2	11	171	0	3	41	25	0	13	17	0
V35	1	17	24	25	25	0	0	2	10	0	12	0	0
V36	17	4	23	6	2	39	162	4	12	28	44	2	13
V37	10	64	0	167	11	39	95	44	33	14	0	30	26
V38	224	391	167	35	0	1	0	10	18	0	0	0	17
V39	0	114	55	56	39	1	17	1	10	0	26	0	0
V40	16	244	5	34	53	0	1	120	5	0	39	16	6
V41	11	5	88	37	5	7	2	0	0	0	0	0	0
V42	38	0	0	2	14	13	2	0	5	0	5	1	0
V43	13	48	7	5	0	5	11	4	0	0	0	3	4
V44	0	3	0	1	78	85	87	1	53	20	31	14	5
V45	66	211	27	0	0	10	8	0	4	0	4	13	20
V46	151	192	98	17	0	0	0	6	6	14	0	16	13
V47	2	126	55	135	0	0	0	58	25	5	0	0	0
V48	5	0	42	87	14	4	1	6	20	13	24	9	1
V49	2	2	56	44	3	0	46	26	9	0	0	4	0
V50	2	0	86	0	3	17	22	0	0	48	13	23	0
V51	93	12	76	24	33	21	7	8	13	10	0	2	7
V52	14	0	20	109	90	8	1	30	42	18	7	4	13
V53	20	18	12	13	36	89	45	0	34	220	25	0	1
V54	3	6	5	7	11	22	50	10	16	32	10	0	0
V55	287	5	135	1	22	0	0	6	15	0	10	0	63
V56	5	28	73	15	0	14	0	19	1	0	8	12	5
V57	1	108	92	17	19	12	28	15	7	0	16	10	0
V58	2	19	0	1	7	41	11	0	8	10	23	10	0
V59	122	18	0	2	11	34	9	0	0	28	0	10	17
V60	1	0	30	11	56	0	2	5	45	0	2	1	0
V61	0	4	12	4	5	0	0	1	2	0	0	0	0
V62	67	31	39	4	6	39	17	8	7	59	0	0	18
V63	66	9	0	2	2	0	1	5	2	0	5	0	2
V64	1	1	32	3	0	23	38	0	5	0	2	4	0
V65	292	140	0	36	0	1	1	23	4	0	0	41	0
V66	0	18	0	38	4	10	21	6	1	10	0	0	2
V67	0	161	0	1	11	78	17	0	1	33	0	33	0
V68	83	33	0	2	4	13	3	5	0	0	2	5	4
V69	32	4	81	2	18	68	68	0	12	0	49	0	0
V70	13	77	7	28	0	0	6	35	24	0	0	23	0
V71	25	20	15	6	167	7	55	0	6	0	0	0	3
V72	124	0	0	1	4	3	7	0	1	0	5	0	9
V73	13	3	75	13	11	37	53	3	0	41	0	0	0
V74	42	4	14	7	47	400	238	5	0	0	13	0	0
V75	8	55	14	2	25	0	0	0	9	0	11	23	5
V76	136	22	12	2	17	0	42	0	4	15	0	0	29
V77	27	9	10	29	81	0	6	18	19	0	13	39	3
V78	41	5	4	182	16	6	29	42	26	0	0	0	0
V79	3	62	0	4	31	31	8	15	9	0	7	38	0
V80	6	210	29	27	55	21	23	19	2	57	18	19	0
V81	0	43	0	30	0	14	9	6	7	0	0	0	0
V82	7	4	38	26	0	0	1	22	6	0	1	0	4
V83	1	4	11	13	82	11	0	6	35	4	0	0	7
V84	44	28	16	0	4	0	6	7	2	0	2	7	1
V85	55	27	114	4	4	4	20	3	4	8	0	0	15
V86	18	2	18	1	9	3	0	1	2	0	0	3	7
V87	2	32	0	2	0	30	4	8	3	1	0	10	4
V88	72	47	17	7	95	16	13	16	13	0	103	0	13
V89	38	64	0	30	0	4	0	33	13	15	0	0	5
V90	2	0	60	51	0	2	3	27	32	0	0	0	6
V91	5	0	4	24	3	20	5	40	11	27	0	0	0
V92	9	0	0	130	143	37	6	45	129	31	72	35	2
V93	46	175	1	1	0	1	1	0	0	0	8	0	11
V94	23	0	77	5	41	25	2	8	3	95	12	3	0
V95	43	13	16	44	25	51	22	0	7	29	0	0	6
V96	0	0	0	2	0	20	21	1	1	41	4	0	2
V97	39	0	0	0	16	12	12	0	0	22	0	0	5
V98	0	19	66	3	1	13	11	3	0	0	1	40	0
V99	9	10	1	8	1	69	49	0	5	27	0	0	0
V100	148	13	55	2	2	0	1	0	3	0	3	14	16
