MutationType	ID2	ID6	ID8	ID83B	ID83C	ID83E
1:Del:C:0	0.00482412	0.03050680	0.03982756	0.00068984	0.08471483	0.00183220
1:Del:C:1	0.00002210	0.00549190	0.02391594	0.00232974	0.04919919	0.00076369
1:Del:C:2	0.00000311	0.00803399	0.00333055	0.00141941	0.02291626	0.00045629
1:Del:C:3	0.00247208	0.00110238	0.00540315	0.00067651	0.01459156	0.00000000
1:Del:C:4	0.00385698	0.00247817	0.00127571	0.00049267	0.00393152	0.00000001
1:Del:C:5	0.01461542	0.00132207	0.00093373	0.00171527	0.00284648	0.00048850
1:Del:T:0	0.00790597	0.00428416	0.03424369	0.00186640	0.06100446	0.00100024
1:Del:T:1	0.00000000	0.00067769	0.01045208	0.00305208	0.03759310	0.00040673
1:Del:T:2	0.00703642	0.01165966	0.00899203	0.00181281	0.04145903	0.00057496
1:Del:T:3	0.02023474	0.02224239	0.00982504	0.00393334	0.03534336	0.00063808
1:Del:T:4	0.04711993	0.01769714	0.00127378	0.00258580	0.02560438	0.00267479
1:Del:T:5	0.81469723	0.00795434	0.01062034	0.04470487	0.00000027	0.01180847
1:Ins:C:0	0.00000000	0.00208689	0.00276427	0.00000000	0.00887564	0.32958649
1:Ins:C:1	0.00022703	0.00177343	0.00216912	0.00092555	0.00000000	0.05773286
1:Ins:C:2	0.00002620	0.00024617	0.00152700	0.00241218	0.00013798	0.01432216
1:Ins:C:3	0.00043005	0.00023217	0.00011652	0.00039134	0.00019342	0.00442023
1:Ins:C:4	0.00291185	0.00037659	0.00055418	0.00014630	0.00000000	0.00269436
1:Ins:C:5	0.00901754	0.00024800	0.00048949	0.00028863	0.00039457	0.00029340
1:Ins:T:0	0.00132856	0.00639625	0.00450798	0.47794387	0.09929586	0.36963862
1:Ins:T:1	0.00000000	0.00104119	0.00486870	0.20305310	0.05923701	0.11864816
1:Ins:T:2	0.00064703	0.00073885	0.00142964	0.06176269	0.01418525	0.03601334
1:Ins:T:3	0.00108288	0.00093064	0.00108729	0.03916755	0.00873970	0.01883739
1:Ins:T:4	0.00348746	0.00134985	0.00082262	0.02697362	0.00074540	0.00841309
1:Ins:T:5	0.00313258	0.01439004	0.02016125	0.03694014	0.00323938	0.00545339
2:Del:R:0	0.00016381	0.00178365	0.00876922	0.00050865	0.02201037	0.00000001
2:Del:R:1	0.00356888	0.00245435	0.01030715	0.00148275	0.03359647	0.00117168
2:Del:R:2	0.00184957	0.00208860	0.00053203	0.00041476	0.01093492	0.00011270
2:Del:R:3	0.00073904	0.00052575	0.00002710	0.00010819	0.00190891	0.00000001
2:Del:R:4	0.00088193	0.00023253	0.00027403	0.00000659	0.00067076	0.00000002
2:Del:R:5	0.00000000	0.00021568	0.00083308	0.00000000	0.01086401	0.00000001
3:Del:R:0	0.00001250	0.00105105	0.01096410	0.00080481	0.00747585	0.00008272
3:Del:R:1	0.00500326	0.00541365	0.00134887	0.00091575	0.03347571	0.00032919
3:Del:R:2	0.00228989	0.00053605	0.00037657	0.00032671	0.00798255	0.00006318
3:Del:R:3	0.00040259	0.00004700	0.00025351	0.00021371	0.00228956	0.00031494
3:Del:R:4	0.00000000	0.00007310	0.00000268	0.00000041	0.00683643	0.00000002
3:Del:R:5	0.00000000	0.00015062	0.00009100	0.00019384	0.00912502	0.00000002
4:Del:R:0	0.00001210	0.00231510	0.00669131	0.00006057	0.00713865	0.00000001
4:Del:R:1	0.00211579	0.00280673	0.00162295	0.00142510	0.02097740	0.00027646
4:Del:R:2	0.00054329	0.00047449	0.00027262	0.00002603	0.00406585	0.00000002
4:Del:R:3	0.00000727	0.00029134	0.00002880	0.00015848	0.00365548	0.00000001
4:Del:R:4	0.00000000	0.00011058	0.00009730	0.00003385	0.00332941	0.00000002
4:Del:R:5	0.00021041	0.00005680	0.00000634	0.00017629	0.00139311	0.00000001
5:Del:R:0	0.00003850	0.01933329	0.23797886	0.00114578	0.03891562	0.00104277
5:Del:R:1	0.00297751	0.00750183	0.00057226	0.00242099	0.00540428	0.00044269
5:Del:R:2	0.00039753	0.00037052	0.00051684	0.00042321	0.00132715	0.00000000
5:Del:R:3	0.00015815	0.00016818	0.00000816	0.00004326	0.00064387	0.00000002
5:Del:R:4	0.00008470	0.00005320	0.00011290	0.00002791	0.00002094	0.00000001
5:Del:R:5	0.00002120	0.00001150	0.00004430	0.00013232	0.00045600	0.00000001
2:Ins:R:0	0.00033185	0.00199839	0.00191671	0.03727933	0.01376950	0.00202152
2:Ins:R:1	0.00027166	0.00020853	0.00166182	0.00281346	0.00142884	0.00016776
