Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
V1	2.69E+00	1.25E+00	0.00E+00	1.25E+00	4.23E-01	1.03E+00	3.00E-01	1.62E+00	2.80E+00	1.48E+00	9.29E-01
V2	0.00E+00	1.37E+00	7.42E-01	1.18E+01	2.29E+00	4.04E+00	5.00E-01	1.97E+00	3.35E+00	9.99E+00	6.68E+00
V3	2.78E+00	1.53E+00	0.00E+00	2.42E+00	1.59E+00	4.93E+00	3.28E+00	3.21E+00	3.14E+00	4.46E+00	1.99E+00
V4	1.47E+00	6.70E-01	1.00E-01	9.64E-01	2.17E+00	2.67E+00	2.19E+00	9.78E-01	7.16E-01	2.14E+00	1.02E+00
V5	3.07E+00	1.49E+00	1.43E+01	1.58E+01	1.42E+00	2.55E+00	2.00E+00	1.63E+01	5.60E+00	5.03E+00	1.87E+01
V6	0.00E+00	3.21E+00	8.79E+00	1.04E+01	2.61E+00	1.42E+00	6.67E-01	8.95E+00	5.78E-01	4.13E+00	1.07E+01
V7	8.26E+00	7.06E-01	6.51E+00	1.91E+00	1.13E+00	8.97E-01	8.24E+00	5.41E+00	9.90E+00	1.43E+00	8.14E-01
V8	1.48E+00	4.27E-01	2.14E+00	3.14E-01	9.89E-01	6.11E-01	6.05E-01	1.89E+00	1.82E+00	8.00E-01	2.00E-01
V9	4.44E+00	1.53E+00	1.44E+00	1.01E+01	2.46E+00	3.72E+00	6.62E+00	6.40E-01	3.52E+00	7.40E+00	9.83E+00
V10	2.23E+01	1.33E-01	3.92E+00	3.34E+00	1.67E+00	4.31E+00	2.25E+01	3.66E+00	3.13E+00	1.89E+00	2.49E+00
V11	0.00E+00	5.54E-01	1.99E+01	8.16E+00	1.33E+00	3.79E+00	0.00E+00	1.83E+01	3.52E+00	5.23E+00	9.83E+00
V12	2.87E+01	1.22E+00	3.37E+00	4.23E+00	1.13E+00	1.13E+00	2.61E+01	3.46E+00	1.17E+01	4.48E+00	3.40E+00
V13	5.52E+00	1.67E+00	3.69E+00	0.00E+00	4.92E+00	2.77E+00	5.63E+00	5.82E+00	4.90E+00	8.41E+00	1.22E+00
V14	8.11E+00	1.05E+00	2.01E+01	3.59E-01	1.56E+00	1.43E+00	7.56E+00	2.07E+01	1.78E+00	7.67E-01	8.70E-01
V15	1.15E+01	6.05E-01	5.60E+00	1.02E+00	3.47E+00	5.42E+00	1.09E+01	7.60E+00	6.70E+00	4.80E+00	1.32E+00
V16	1.94E+00	3.50E+00	1.89E+01	2.01E+00	2.21E-01	8.69E+00	3.76E+00	1.88E+01	9.57E+00	3.44E+00	6.04E+00
V17	6.46E-01	2.71E+00	2.46E+01	1.33E-01	6.74E+00	4.00E-01	7.75E-01	2.24E+01	2.00E+00	3.16E+00	3.05E+00
V18	3.53E+00	1.53E+00	1.37E+01	4.71E+00	0.00E+00	6.05E-01	4.02E+00	1.45E+01	4.58E+00	2.29E+00	4.34E+00
V19	1.77E+00	1.72E+00	1.99E+00	2.98E+00	2.11E+00	8.02E+00	1.56E+00	4.01E+00	9.09E+00	5.88E+00	3.28E+00
V20	7.57E-01	5.08E+00	1.87E+01	2.89E+00	1.81E+00	4.85E+00	1.98E+00	1.74E+01	6.97E+00	2.86E+00	6.56E+00
V21	3.52E+00	4.08E+00	2.00E+01	4.67E+00	1.11E+01	1.78E+01	5.10E+00	1.48E+01	1.62E+01	1.72E+01	4.56E+00
V22	9.12E-01	1.33E+00	0.00E+00	7.94E+00	6.33E-01	4.71E-01	1.23E+00	0.00E+00	3.42E-01	2.55E+00	8.65E+00
V23	6.13E+00	8.79E-01	1.53E+01	5.26E-01	1.72E+00	3.30E+00	4.11E+00	1.47E+01	1.17E+01	3.77E+00	2.59E+00
V24	5.16E-01	2.16E+00	1.31E+00	2.68E+01	1.15E+00	2.05E+00	5.43E-01	1.37E+00	2.73E+00	1.20E+01	2.90E+01
V25	5.10E+00	9.07E-01	1.28E+00	5.48E+00	6.00E-01	3.23E+00	5.14E+00	1.58E+00	2.93E+00	7.67E-01	6.08E+00
V26	6.51E-01	1.38E+00	1.17E+01	2.59E+00	2.30E+00	3.42E-01	3.06E-01	1.11E+01	8.72E-01	2.67E+00	2.26E+00
V27	6.26E+00	1.74E+00	5.80E+00	6.61E+00	2.00E-01	5.09E+00	4.06E+00	6.81E+00	7.50E+00	5.45E+00	5.41E+00
V28	0.00E+00	4.06E+00	2.32E+00	2.49E+00	7.03E-01	1.31E+01	1.00E-01	6.26E+00	9.01E+00	1.13E+01	7.64E+00
V29	5.67E+00	1.67E+00	9.90E+00	3.96E-01	0.00E+00	7.00E-01	6.16E+00	9.36E+00	7.19E+00	3.00E-01	1.60E+00
V30	9.01E+00	2.80E+00	9.96E+00	2.81E+00	1.39E+00	2.16E+00	8.86E+00	1.03E+01	1.42E+01	3.84E+00	4.02E+00
V31	1.29E+01	1.78E+00	0.00E+00	0.00E+00	3.23E+00	5.33E-01	1.31E+01	1.00E-01	6.80E-01	2.10E+00	4.99E-01
V32	1.50E+01	6.03E+00	3.56E+01	0.00E+00	5.12E-01	2.02E+00	8.71E+00	3.45E+01	1.22E+01	2.00E-01	9.94E-01
V33	3.94E-01	1.96E+00	4.37E+00	4.13E+00	4.92E+00	0.00E+00	2.00E-01	3.59E+00	5.86E-01	9.42E+00	3.45E+00
V34	5.09E+01	1.79E+00	0.00E+00	4.24E+00	1.86E+00	9.32E-01	5.25E+01	0.00E+00	6.83E-01	4.41E+00	3.68E+00
V35	1.85E+01	1.33E-01	4.10E+00	3.98E+00	1.76E+00	0.00E+00	1.94E+01	3.73E+00	2.67E-01	4.17E+00	3.47E+00
V36	0.00E+00	4.45E+00	2.22E+00	2.00E-01	1.55E+00	4.03E+00	0.00E+00	1.93E+00	6.29E+00	2.25E+00	6.47E+00
V37	9.04E+00	1.78E+00	4.16E-01	3.94E+00	1.08E+00	1.15E+01	8.10E+00	3.88E+00	7.92E+00	1.45E+01	3.96E+00
V38	4.55E+00	1.37E+00	4.23E-01	8.12E+00	6.87E+00	5.97E-01	6.69E+00	1.79E+00	2.94E+00	9.23E+00	8.83E+00
V39	7.27E+00	0.00E+00	8.55E+00	1.95E+00	3.56E+00	1.06E+00	5.03E+00	6.21E+00	1.45E+01	2.93E+00	0.00E+00
V40	7.34E-01	4.04E+00	3.02E+00	2.86E+00	4.00E+00	8.14E-01	1.36E+00	2.76E+00	1.35E+00	5.18E+00	4.04E+00
V41	4.81E+00	3.48E-01	7.75E+00	3.67E-01	4.76E-01	0.00E+00	4.30E+00	6.93E+00	1.00E-01	9.09E-01	0.00E+00
V42	5.01E+00	1.53E-01	1.31E+01	1.92E+00	4.32E+00	2.97E+00	4.48E+00	1.17E+01	2.74E+00	8.27E-01	1.93E+00
V43	5.28E+00	3.00E-01	7.72E-01	3.79E-01	9.55E-01	0.00E+00	5.11E+00	8.44E-01	0.00E+00	0.00E+00	0.00E+00
V44	0.00E+00	1.09E+00	5.93E-01	8.23E-01	1.02E+00	6.01E-01	0.00E+00	2.67E-01	6.84E-01	1.30E+00	9.33E-01
V45	7.31E-01	1.86E+00	7.25E+00	0.00E+00	8.69E-01	1.58E+00	6.83E-01	7.07E+00	2.73E+00	0.00E+00	1.73E+00
V46	1.08E+01	1.13E+00	3.49E+00	0.00E+00	1.38E+00	1.55E+00	1.11E+01	4.79E+00	7.90E-01	3.06E-01	1.48E+00
V47	4.60E+00	2.05E+00	4.01E-01	6.21E+00	1.30E+00	0.00E+00	3.95E+00	7.02E-01	7.06E-01	2.11E+00	4.74E+00
V48	1.14E+01	2.41E+00	3.06E-01	1.04E+00	1.13E+00	7.42E+00	2.00E+00	1.76E+00	1.62E+01	3.93E+00	1.95E+00
V49	1.68E+00	1.82E+00	7.03E-01	0.00E+00	1.54E+00	1.74E+00	1.79E+00	8.79E-01	2.00E-01	9.00E-01	1.00E+00
V50	7.00E-01	6.32E-01	3.93E+00	0.00E+00	7.67E-01	3.06E-01	5.97E-01	3.64E+00	7.95E-01	1.19E+00	6.11E-01
V51	2.32E+01	8.95E-01	9.78E+00	9.24E-01	0.00E+00	1.10E+00	2.39E+01	1.13E+01	1.47E+01	1.50E+00	9.07E-01
V52	2.18E+00	1.63E+00	3.20E+00	8.41E-01	7.46E-01	2.85E+00	2.18E+00	2.74E+00	2.44E+00	3.74E+00	1.32E+00
V53	5.28E+00	1.00E+00	0.00E+00	1.59E+00	2.74E+00	1.14E+00	5.34E+00	9.00E-01	2.28E+00	2.97E+00	8.56E-01
