NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	322.328	41.726	100.029	32.163	0.203	0.931	40000.0
2	322.071	42.176	99.592	32.626	0.207	0.929	50000.0
3	319.141	41.67	98.965	32.32	0.201	0.93	20000.0
4	324.26	42.415	100.26	32.683	0.206	0.928	50000.0
5	322.945	42.175	100.077	32.367	0.207	0.93	50000.0
6	327.795	41.398	102.472	34.166	0.215	0.929	20000.0
7	326.472	41.088	101.428	33.797	0.213	0.931	20000.0
8	323.06	42.037	99.572	32.246	0.204	0.93	50000.0
9	324.313	42.447	99.436	32.367	0.209	0.928	30000.0
10	311.244	41.895	81.655	30.384	0.219	0.939	120000.0
