Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
V72	1.63E+00	5.12E-01	2.72E+00	1.71E+00	0.00E+00	5.08E+00	6.00E+00	2.04E+00	2.44E+00	5.57E+00	6.71E-01	7.80E+00	3.59E+00	1.75E+00	2.74E+00
V73	4.73E-01	1.73E+00	0.00E+00	2.43E+00	3.06E-01	3.22E+00	1.96E+00	5.65E+00	1.42E+00	8.68E+00	1.31E+00	1.99E+00	5.01E+00	1.87E+00	3.70E+00
V74	9.12E-01	2.60E+00	0.00E+00	5.26E-01	1.06E+01	7.78E-01	1.39E+00	2.35E+00	1.04E+01	5.14E+00	5.19E+00	3.87E+00	3.45E+00	2.65E+00	2.66E+00
V75	1.18E+00	0.00E+00	0.00E+00	5.16E-01	0.00E+00	5.12E-01	4.90E-01	1.07E+00	0.00E+00	3.75E+00	0.00E+00	1.62E+00	4.06E+00	1.49E+00	2.20E+00
V76	2.18E+00	5.29E+00	1.01E+00	1.42E+00	1.39E+00	5.05E+00	3.89E+00	2.50E+00	1.51E+00	2.55E+00	5.82E-01	6.91E+00	1.67E+00	4.86E+00	1.17E+00
V77	1.54E+00	5.42E+00	3.83E+00	2.74E+00	2.02E+00	9.89E-01	8.03E-01	2.54E+00	3.88E+00	3.05E+00	4.16E-01	1.46E+00	2.63E+00	8.04E+00	2.28E+00
V78	1.39E+00	1.39E+00	1.28E+00	6.74E-01	1.15E+00	4.61E+00	3.91E+00	1.01E+00	1.60E+00	2.14E+00	5.86E-01	4.57E+00	3.00E-01	2.46E+00	7.18E-01
V79	3.60E+00	3.06E+00	1.99E+00	1.62E+00	0.00E+00	4.12E+00	3.01E+00	8.92E-01	0.00E+00	1.23E+00	0.00E+00	6.42E+00	7.95E-01	4.31E+00	3.81E+00
V80	1.80E+00	0.00E+00	2.00E+00	4.07E+00	5.26E-01	0.00E+00	0.00E+00	1.10E+00	2.78E+00	1.39E+00	1.63E-01	3.00E+00	1.15E+00	3.22E+00	1.16E+00
V81	3.27E-01	0.00E+00	2.13E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.16E-01	4.82E-01	5.33E-01	2.00E-01	5.54E-01	4.73E-01	1.00E-01
V82	1.27E+00	0.00E+00	1.12E+00	1.61E+00	1.15E+00	0.00E+00	0.00E+00	2.67E-01	1.08E+00	0.00E+00	1.57E+00	1.16E+00	0.00E+00	0.00E+00	3.06E-01
V83	1.16E+00	1.23E+00	0.00E+00	8.95E-01	2.75E+00	1.40E+00	1.49E+00	2.97E+00	1.66E+00	4.08E+00	1.39E+00	5.09E+00	4.12E+00	9.00E-01	4.13E+00
V84	3.01E+00	1.09E+00	1.49E+00	1.19E+00	1.01E+00	0.00E+00	7.86E-01	2.47E+00	1.20E+00	1.90E+00	4.27E-01	1.69E+00	1.07E+00	1.28E+00	3.48E+00
V85	3.59E-01	1.98E+00	0.00E+00	2.67E-01	3.59E-01	8.67E-01	1.16E+00	4.52E-01	2.67E-01	0.00E+00	5.00E-01	7.48E-01	1.42E+00	1.89E+00	9.98E-01
