Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
V1	45	1	8	14	53	11	0	2	92	11	9	0	0	3	39
V2	5	41	6	34	0	1	3	54	0	62	0	0	37	10	0
V3	20	48	0	0	23	2	0	54	45	17	35	0	11	0	0
V4	1	5	80	68	12	24	40	94	7	15	7	6	11	0	0
V5	29	0	25	15	123	14	0	0	21	0	42	0	2	1	0
V6	1	25	0	0	19	0	0	0	3	2	12	0	2	0	0
V7	16	72	20	9	0	64	10	7	1	4	0	25	0	21	0
V8	158	74	3	8	14	7	2	0	1	3	3	0	2	0	7
V9	13	112	1	0	9	2	1	0	16	0	30	0	0	42	1
V10	10	1	0	0	122	8	0	31	45	0	14	0	9	0	0
V11	12	9	32	59	13	12	53	4	45	22	22	0	9	0	0
V12	1	71	41	71	117	25	37	15	33	18	0	25	4	41	0
V13	99	12	29	9	3	0	8	14	3	5	0	21	0	0	15
V14	70	0	237	147	75	1	3	0	0	0	26	0	0	6	12
V15	15	62	1	0	1	31	19	10	0	7	0	56	4	0	0
V16	100	22	43	45	7	41	11	11	20	1	1	27	3	25	36
V17	34	2	41	66	35	0	0	8	0	89	31	0	78	6	0
V18	18	43	50	99	0	0	0	0	29	0	1	6	0	0	4
V19	30	26	57	59	0	1	21	3	14	17	6	13	8	0	0
V20	61	160	12	5	0	44	46	0	0	0	0	41	0	0	0
V21	2	0	37	21	67	5	4	68	0	56	28	17	35	0	7
V22	144	4	8	10	20	1	16	0	29	0	21	20	2	0	15
V23	6	4	82	57	2	6	2	3	0	0	8	23	6	0	0
V24	18	3	0	3	5	0	0	20	7	12	1	0	6	0	0
V25	38	89	11	5	8	10	8	0	6	15	2	1	3	0	1
V26	169	0	0	8	90	0	0	0	69	0	13	0	2	0	13
V27	0	4	0	0	2	25	32	5	0	10	0	70	0	0	0
V28	9	3	76	26	18	36	9	6	152	3	16	0	5	0	0
V29	17	0	62	112	0	12	10	17	4	33	1	4	45	3	0
V30	0	7	4	4	0	2	0	16	0	3	1	0	9	0	3
V31	8	157	2	4	23	183	82	6	0	0	4	207	0	0	0
