MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
1:Del:C:0	0.0017351963345390686	0.005202031691533193	0.0	0.43026777505874636	0.0010239077522953722	0.009748783940449358	0.1707392768934369	0.017794186669154034	0.07324049539440694	0.005059514194726944
1:Del:C:1	7.119371048247558e-08	0.0007200871010638821	0.0018336088327515654	0.07551525384187699	0.00026776196900755165	0.020982300955802204	0.08869955241680146	0.009493710612878204	0.02735296208411455	0.011665797642217512
1:Del:C:2	0.00014121865605716267	0.00015879640390608073	0.00013973226823367214	0.0013573272211942823	0.00017063904087990522	0.003450737181437091	0.0015100559000870816	0.0026197327068278207	0.004094283936067811	0.0009212195684142443
1:Del:C:3	9.249988579540513e-08	0.0	0.001985663477535127	0.008142729196697474	0.0016825252367198118	0.002703750680666417	0.009375301748514175	0.011189542897045612	0.01447575808720103	0.006252807728014886
1:Del:C:4	0.0	6.3155766838463025e-09	0.0009505359921604395	0.008045882685109973	0.005245285376440733	0.0014767698864289968	0.011279728449881076	0.0019291125237941742	0.006204146984964609	0.005223448690958321
1:Del:C:5	0.0	5.6213906418634e-09	0.0024427268654108047	0.00013282539148349315	0.016100302524864673	0.0004931843170197681	0.0009046258957823739	0.0022628167207585648	0.003824334591627121	0.011993802897296745
1:Del:T:0	0.0028839582460932433	0.0016998958773911	0.003661388857290149	0.10696874186396599	0.004540825227741152	0.022228024154901504	0.1192431777715683	0.04668328082188964	0.03447362184524536	0.007687604718375951
1:Del:T:1	0.0	0.0	8.557232007433413e-08	0.028351421374827622	0.0002053146550792917	0.0036754300110601436	0.05030092964880169	0.04908609566153928	0.021645393036305905	0.005899686168106655
1:Del:T:2	1.1510138574521988e-05	0.0025154355622362345	9.465430048294365e-05	0.06927642151713372	0.007318859285442158	0.0011027575317712035	0.09868458919227123	0.048468447756022215	0.004026424791663885	0.005077992792939768
1:Del:T:3	0.0021679742661945057	0.0002503603609511629	0.0037933043262455613	0.08745070397853852	0.016200100444257258	0.004931167839094997	0.07964167073369026	0.02310169758275151	0.039285974018275736	0.006899136630818248
1:Del:T:4	0.0004788711899891496	0.0013238518410616962	0.0016288929735310375	0.06350908912718296	0.034202178567647935	0.0	0.11776042766869069	0.03522732574492693	0.030972041934728623	0.015627860743552446
1:Del:T:5	2.653815045050578e-07	1.9577851651260066e-07	0.0012929875829172488	7.552674014144056e-07	0.8676701247692108	4.301382550512794e-07	0.023166850439369568	0.002038432572540691	0.08117466415360468	0.2214605997410672
