NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	124.584	45.655	39.803	36.083	0.283	0.906	50000.0
2	137.861	50.04	42.701	39.21	0.285	0.908	40000.0
3	130.168	47.447	41.626	37.142	0.277	0.905	20000.0
4	131.762	47.298	41.336	37.04	0.271	0.907	20000.0
5	133.241	48.784	43.881	39.781	0.277	0.896	20000.0
6	144.828	52.237	52.304	45.318	0.292	0.87	20000.0
7	128.711	47.306	41.893	37.711	0.291	0.901	20000.0
8	125.783	46.15	39.788	36.424	0.283	0.905	20000.0
9	132.415	47.948	42.424	38.014	0.276	0.904	30000.0
10	128.922	46.772	41.87	37.388	0.273	0.905	20000.0
