Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
V1	30	2	24	8	0	5	1	1	2	0	3	3	14	3
V2	0	2	9	1	0	43	40	0	12	5	1	0	0	0
V3	22	181	6	6	43	0	4	28	39	0	0	0	15	4
V4	10	4	3	23	0	0	0	3	0	18	0	0	1	0
V5	0	17	18	1	35	10	17	95	48	0	12	0	0	0
V6	0	22	0	0	46	0	0	63	0	13	34	6	0	0
V7	0	1	0	32	7	31	19	0	0	6	13	3	22	5
V8	0	0	41	9	112	42	12	22	0	16	62	0	57	0
V9	0	29	23	0	15	21	55	0	0	30	17	0	0	0
V10	16	29	14	28	0	0	3	6	0	1	0	0	3	2
V11	0	3	0	14	0	4	3	10	39	0	28	4	0	0
V12	19	6	103	16	1	8	16	0	0	0	0	0	5	0
V13	0	30	0	54	34	20	2	11	9	62	14	0	0	0
V14	37	12	8	36	1	0	0	2	0	19	0	3	0	2
V15	35	17	0	0	17	10	6	10	0	9	10	0	0	0
V16	0	34	0	12	3	7	4	4	12	13	0	0	0	0
V17	163	42	26	6	26	0	0	11	34	0	31	1	52	7
V18	5	0	8	1	0	30	8	2	0	0	1	0	0	0
V19	205	14	23	3	0	5	9	0	0	0	32	0	37	0
V20	1	13	3	26	11	0	16	0	0	9	22	26	16	4
V21	15	135	83	48	3	0	0	10	0	40	0	25	5	18
V22	190	39	0	220	31	11	28	59	58	0	0	0	0	0
V23	2	151	3	0	9	0	2	6	33	0	4	42	0	0
V24	0	94	32	241	1	0	10	0	0	47	0	45	0	0
V25	222	0	8	5	90	0	25	116	52	0	96	0	0	0
V26	52	4	184	54	22	5	0	0	28	16	15	0	0	0
V27	10	42	0	87	112	0	0	39	0	29	0	21	63	4
V28	29	386	0	0	66	17	8	64	5	1	0	0	0	13
V29	139	8	15	22	15	0	7	3	0	11	0	4	7	0
V30	6	56	0	197	51	222	76	0	46	0	0	0	0	0
V31	19	166	0	138	76	0	0	100	1	77	40	51	0	29
V32	38	14	3	55	2	0	1	2	3	7	4	6	0	5
V33	6	0	79	13	0	9	11	6	3	24	0	4	0	8
V34	111	103	79	0	12	37	15	22	12	0	0	9	4	2
V35	7	9	16	26	42	4	5	0	0	17	40	0	0	1
V36	43	12	6	0	8	2	0	2	1	2	9	0	0	0
V37	13	34	2	0	0	1	3	0	3	0	0	0	0	0
V38	13	1	421	13	9	1	1	11	0	0	17	0	0	0
V39	427	92	53	1	3	10	14	71	6	0	58	0	0	21
V40	3	4	110	32	0	120	37	4	0	6	6	1	0	4
