Samples	ID83A	ID83B	ID83C	ID83D
V1	54	102	4	30
V2	25	26	100	12
V3	119	40	25	10
V4	203	2	129	1
V5	48	182	18	18
V6	24	71	2	0
V7	3	2	0	54
V8	59	49	14	9
V9	11	50	3	54
V10	0	170	133	0
V11	120	35	18	43
V12	85	5	16	116
V13	27	14	17	51
V14	324	79	26	33
V15	11	0	203	5
V16	99	140	85	237
V17	334	18	16	12
V18	179	151	45	32
V19	13	41	105	45
V20	352	6	185	7
V21	106	274	91	9
V22	78	42	95	18
V23	74	9	11	20
V24	825	41	67	2
V25	48	52	22	62
V26	216	97	127	0
V27	47	2	135	48
V28	59	634	15	42
V29	103	433	13	0
V30	79	1	208	4
V31	669	165	14	36
V32	14	0	239	4
V33	117	0	126	53
V34	0	128	2	3
V35	10	142	70	20
V36	31	189	239	12
V37	27	60	9	34
V38	42	87	42	0
V39	5	50	91	61
V40	98	27	0	68
V41	124	225	4	98
V42	128	369	4	24
V43	27	109	24	21
V44	20	14	2	273
V45	27	7	23	132
V46	34	0	7	9
V47	175	92	55	208
V48	35	64	23	11
V49	164	0	23	6
V50	131	106	215	115
V51	150	256	7	14
V52	109	307	19	49
V53	1	91	0	1
V54	77	230	5	70
V55	152	65	208	67
V56	6	6	19	0
V57	0	22	88	34
V58	69	9	6	25
V59	28	50	9	29
V60	90	21	34	16
V61	162	41	15	53
V62	78	0	129	202
V63	126	116	12	46
V64	31	60	8	79
V65	321	0	52	132
V66	123	0	119	89
V67	82	247	22	5
V68	85	73	35	53
V69	1	31	209	10
V70	39	143	21	18
V71	116	50	8	17
V72	0	5	41	135
V73	152	61	37	37
V74	162	78	80	7
V75	255	43	17	2
V76	113	165	45	210
V77	182	32	47	168
V78	88	19	75	38
V79	58	73	106	1
V80	61	0	91	45
V81	9	2	151	167
V82	729	24	48	183
V83	3	9	0	59
V84	87	13	78	98
V85	290	94	46	0
V86	49	34	8	29
V87	140	50	37	169
V88	106	53	14	68
V89	50	31	61	197
V90	94	51	144	36
V91	1	93	11	25
V92	314	44	219	41
V93	54	18	90	1
V94	58	33	73	0
V95	52	116	5	73
V96	70	91	9	0
V97	107	75	289	0
V98	113	0	206	47
V99	28	0	25	0
V100	142	121	39	21
