NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	65.058	25.11	14.923	15.5	0.14	0.984	30000.0
2	65.015	25.428	15.206	16.142	0.138	0.983	20000.0
3	65.792	24.917	15.102	15.479	0.139	0.984	20000.0
4	66.069	24.655	15.258	15.461	0.135	0.985	30000.0
5	64.408	24.367	15.0	15.261	0.13	0.985	30000.0
6	65.436	24.988	15.187	15.503	0.137	0.984	30000.0
7	64.424	24.828	15.001	15.345	0.14	0.985	40000.0
8	65.539	25.232	15.314	16.044	0.137	0.983	70000.0
9	64.112	24.414	14.6	15.138	0.136	0.985	40000.0
10	64.929	25.026	15.19	15.784	0.138	0.983	40000.0
