Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
V1	0	103	9	14	6	0	0	5
V2	57	10	0	19	49	0	0	11
V3	32	0	122	0	0	46	0	40
V4	168	43	6	52	95	136	23	32
V5	48	185	7	130	68	72	86	119
V6	143	22	0	0	0	0	0	16
V7	78	13	82	0	0	150	119	15
V8	7	5	0	82	0	49	0	68
V9	39	0	0	59	196	29	0	25
V10	186	0	14	0	12	0	0	8
V11	93	0	0	43	28	0	0	50
V12	22	15	9	31	104	39	72	27
V13	0	6	6	13	59	0	0	0
V14	2	2	38	17	32	0	0	26
V15	62	100	5	28	36	5	27	5
V16	1	12	7	45	11	6	3	3
V17	0	238	0	107	78	0	0	45
V18	10	7	53	3	10	4	4	20
V19	49	13	0	123	0	47	45	18
V20	58	21	41	25	6	32	13	22
V21	2	2	0	37	8	0	0	10
V22	138	119	0	93	44	0	0	14
V23	78	42	39	3	248	63	44	36
V24	208	173	114	0	88	84	56	0
V25	9	16	17	30	4	0	0	28
V26	3	29	5	175	33	26	34	41
V27	50	0	0	0	5	32	15	0
V28	0	141	49	0	0	38	17	27
V29	7	2	210	12	24	11	27	14
V30	16	23	0	0	205	0	0	10
V31	0	52	33	0	7	7	0	11
V32	5	1	84	21	35	11	11	30
V33	75	0	234	0	0	42	46	44
V34	50	8	6	19	55	1	8	5
V35	68	225	0	57	0	0	0	36
V36	250	29	249	0	0	85	101	0
V37	86	30	0	156	14	162	96	49
V38	4	19	30	9	173	1	11	39
V39	241	43	0	191	0	37	0	60
V40	0	0	46	0	0	0	0	20
V41	36	46	0	0	0	165	184	0
V42	0	346	0	90	0	0	0	36
V43	418	35	21	144	71	14	59	190
V44	73	0	95	0	6	0	34	25
V45	39	75	0	0	16	23	56	0
V46	5	2	5	0	13	5	0	8
V47	1	9	111	40	1	25	16	157
V48	108	152	65	0	0	58	126	21
V49	36	0	215	137	0	0	0	0
V50	46	0	253	0	43	0	0	31
V51	0	23	0	23	21	31	21	10
V52	56	5	45	0	13	0	0	0
V53	68	111	0	0	6	0	0	0
V54	62	2	6	31	28	5	49	30
V55	0	56	53	96	22	0	0	52
V56	48	42	0	53	0	76	88	0
V57	3	3	64	38	60	13	11	5
V58	0	10	0	88	15	0	0	59
V59	72	21	0	0	117	0	28	0
V60	0	89	0	51	25	0	0	29
V61	20	80	0	0	0	233	89	0
V62	2	7	59	21	221	126	30	6
V63	199	11	39	34	21	2	5	17
V64	0	193	12	0	21	0	0	10
V65	152	0	94	0	0	241	0	67
V66	1	2	54	3	7	7	7	3
V67	79	46	80	131	151	102	30	35
V68	2	6	15	2	31	51	11	2
V69	116	14	0	32	0	0	205	40
V70	23	47	0	60	7	0	0	20
V71	0	39	0	189	0	0	0	128
V72	21	122	0	0	0	0	0	7
V73	341	0	0	0	0	0	0	0
V74	0	311	94	0	0	37	0	32
V75	15	2	27	41	48	35	124	5
V76	109	0	123	0	0	58	0	29
V77	50	72	26	26	5	34	4	12
V78	52	16	53	0	0	111	62	85
V79	25	1	39	29	44	5	15	18
V80	5	6	7	33	2	22	18	46
V81	18	70	12	0	0	0	0	0
V82	14	19	37	0	0	0	0	17
V83	212	11	0	0	54	0	0	12
V84	8	90	31	15	43	12	19	0
V85	110	54	129	0	15	17	0	41
V86	7	34	0	9	7	8	18	0
V87	0	15	126	0	61	114	0	121
V88	0	6	0	0	44	48	153	0
V89	7	105	19	0	0	0	0	9
V90	11	138	15	63	0	0	23	0
V91	39	0	53	0	22	22	0	18
V92	101	29	0	58	7	0	0	18
V93	155	0	0	71	8	0	0	0
V94	29	5	0	0	64	35	32	0
V95	30	20	17	0	4	18	0	3
V96	38	107	113	0	0	0	0	0
V97	0	22	0	0	0	132	154	31
V98	43	0	218	0	60	0	0	57
V99	72	0	66	0	21	10	14	5
V100	0	14	3	0	3	3	2	0
