Sample Names	MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
V57	4:Del:M:3	0.00020241363942032997	0.0	0.021398865014517775	0.621593352741704	0.16515273807319925	0.11619606184821261	0.07287326622373369	0.0025833024592124025
V57	5:Del:M:1	3.262274014239461e-08	2.562959056822982e-07	0.021426045858628128	1.3734595184775294e-06	2.396939293567173e-06	0.8175340580273751	0.1610356446041542	1.921923847828991e-07
V57	5:Del:M:2	0.0021958904650983793	4.646050637849872e-08	1.605095868366666e-05	5.380189745664875e-07	7.166916354008569e-07	0.48077248366836867	0.5118391806307321	0.005175093106000917
V57	5:Del:M:3	0.001488981783871848	0.0003308088828002682	0.03919150870295982	0.0013585861687399074	0.02400794859502517	0.24058144794979863	0.6630788035803001	0.029961914336504167
V57	5:Del:M:4	0.0010489570578094262	3.5218069864838695e-08	0.06583058512405474	0.0	0.17996383626301507	0.3579524990688338	0.39520362973076745	4.57537449539514e-07
V57	5:Del:M:5	0.0014847257064535188	0.00484819271942755	0.3081843389063636	9.160740159834006e-07	0.10941135234470582	0.12551911237097169	0.44575115644443	0.004800205433631722
V58	1:Del:C:0	0.0	0.0009941122262440523	0.0	0.19768133181617575	0.0018131224035755893	0.0	0.0	0.7995114335540046
V58	1:Del:C:1	0.0	3.636916921592036e-08	0.0	0.9956684182829989	0.0	0.0	0.0	0.004331545347831836
V58	1:Del:C:2	0.0	0.008236243570763283	0.0	0.4041420414512483	0.0	0.0	0.0	0.5876217149779884
V58	1:Del:C:3	0.0	0.005086877016695305	0.0	0.8234834799890763	0.018136906846504822	0.0	0.0	0.15329273614772354
V58	1:Del:C:4	0.0	0.0	0.0	0.12187646186166537	0.011423303936336796	0.0	0.0	0.8667002342019979
V58	1:Del:C:5	0.0	0.14380972867845357	0.0	0.0	0.8561879857382044	0.0	0.0	2.2855833419497054e-06
V58	1:Del:T:0	0.0	0.0013956863998254422	0.0	0.9042749245168665	0.007277249469671758	0.0	0.0	0.08705213961363631
V58	1:Del:T:1	0.0	0.00025909079553983026	0.0	0.9219326938736874	3.8022368402928417e-06	0.0	0.0	0.07780441309393249
V58	1:Del:T:2	0.0	0.0003944017996622198	0.0	0.9625963230178199	1.0332252599950653e-08	0.0	0.0	0.03700926485026525
V58	1:Del:T:3	0.0	0.0018478201195029857	0.0	0.8711127378463299	0.019846866186599744	0.0	0.0	0.10719257584756733
V58	1:Del:T:4	0.0	0.0003528443736836656	0.0	0.9132174640128493	0.05525375025021466	0.0	0.0	0.031175941363252337
V58	1:Del:T:5	0.0	1.7543372368190034e-07	0.0	2.503784849699322e-07	0.9999981995052758	0.0	0.0	1.3746825155326212e-06
V58	1:Ins:C:0	0.0	0.08426041268648125	0.0	0.003152630053167432	7.417590650751994e-06	0.0	0.0	0.9125795396697005
V58	1:Ins:C:1	0.0	7.819717424926164e-06	0.0	0.7960485549546402	0.1503509473502539	0.0	0.0	0.053592677977681
