Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
V1	1.39E+00	2.39E+00	0.00E+00	5.62E-01	1.25E+00	2.17E+00	2.00E-01	3.79E-01
V2	1.22E+00	1.96E+00	3.95E+00	3.43E+00	2.93E+00	4.13E+00	5.08E+00	3.05E+00
V3	2.51E+00	2.59E+00	2.87E+00	2.18E+00	1.97E+00	2.28E+00	4.53E+00	5.47E+00
V4	7.95E-01	1.14E+01	4.68E+00	2.67E+00	2.41E+00	1.15E+01	5.03E+00	1.00E-01
V5	1.74E+00	2.67E+00	1.05E+01	2.47E+00	6.05E-01	2.07E+00	1.05E+01	2.53E+00
V6	7.45E-01	8.36E+00	1.86E+01	7.02E-01	1.88E+00	1.82E+01	9.17E+00	7.75E-01
V7	4.07E-01	0.00E+00	1.76E+00	2.59E+00	3.00E+00	3.31E+00	2.46E+00	8.59E-01
V8	2.14E+00	4.71E-01	7.84E+00	3.96E-01	2.39E+00	5.48E+00	5.44E+00	1.01E+00
V9	9.75E-01	2.75E+00	5.00E-01	5.53E+00	5.62E-01	6.55E+00	2.41E+00	6.63E-01
V10	1.00E+00	4.72E+00	1.50E+00	5.42E+00	7.25E+00	9.52E+00	7.09E+00	1.87E+00
V11	0.00E+00	1.38E+01	1.94E+00	4.23E-01	1.10E+00	1.40E+01	2.30E+00	1.94E+00
V12	1.92E+00	2.88E+00	5.86E-01	6.70E-01	4.22E-01	1.65E+00	0.00E+00	0.00E+00
V13	7.00E-01	1.63E-01	1.07E+01	8.31E-01	3.18E+00	7.70E+00	1.20E+01	4.23E-01
V14	2.91E-01	1.80E+01	2.75E+01	2.06E+00	3.24E+00	2.72E+01	1.36E+01	9.33E-01
V15	3.68E+00	2.20E+00	2.80E+00	3.02E+00	1.45E+00	4.58E+00	2.32E+00	1.58E+00
V16	1.51E+00	0.00E+00	4.21E+00	1.45E+00	0.00E+00	4.75E+00	2.98E+00	1.07E+00
