Samples	ID1	ID2	ID8	ID9	ID83A	ID83B
V1	154	96	0	48	0	30
V2	0	0	0	0	173	42
V3	0	80	66	59	22	38
V4	0	0	0	0	871	0
V5	0	255	0	82	308	0
V6	172	0	0	88	0	0
V7	41	112	0	85	0	0
V8	0	54	110	0	0	138
V9	24	14	103	0	35	34
V10	107	0	0	44	92	0
V11	25	0	0	249	52	0
V12	44	0	0	0	0	191
V13	0	81	0	0	271	0
V14	0	17	87	0	42	67
V15	0	0	0	43	0	8
V16	0	0	0	48	130	42
V17	34	0	237	0	0	78
V18	0	0	43	0	0	0
V19	57	0	27	0	31	56
V20	149	49	62	0	0	184
V21	0	131	247	0	0	83
V22	63	65	0	100	184	0
V23	231	0	130	0	50	194
V24	24	33	0	77	0	0
V25	53	44	66	142	0	143
V26	36	39	76	76	23	24
V27	0	122	0	0	45	79
V28	40	0	0	0	67	25
V29	117	0	205	221	0	63
V30	0	0	0	0	0	542
V31	0	14	0	0	81	26
V32	118	0	0	77	0	0
V33	0	0	104	0	181	58
V34	0	144	0	0	56	148
V35	0	0	209	0	206	427
V36	33	0	0	22	0	10
V37	183	335	169	0	0	0
V38	0	80	0	52	0	19
V39	146	0	49	0	0	0
V40	30	76	48	69	0	0
V41	0	0	0	0	324	107
V42	30	0	0	110	0	0
V43	22	0	94	0	0	0
V44	67	0	45	41	40	51
V45	0	33	251	0	106	0
V46	33	0	158	0	20	44
V47	55	0	92	60	117	0
V48	69	0	133	0	73	72
V49	195	0	0	231	85	0
V50	0	0	290	0	205	0
V51	29	170	0	115	0	0
V52	27	100	0	53	35	67
V53	0	0	0	0	220	0
V54	33	0	22	0	0	38
V55	0	496	0	0	0	0
V56	0	162	0	92	110	64
V57	0	0	80	0	0	103
V58	0	255	0	0	0	401
V59	86	12	0	27	0	29
V60	0	113	0	305	121	0
V61	139	77	0	0	0	242
V62	8	25	0	13	0	28
V63	0	0	0	161	236	286
V64	0	58	114	49	0	0
V65	0	90	127	123	201	92
V66	136	0	0	0	0	0
V67	0	0	293	150	0	0
V68	37	0	0	0	38	107
V69	0	478	137	0	0	209
V70	0	33	0	0	88	16
V71	0	11	55	0	18	42
V72	0	0	28	67	26	0
V73	35	0	0	276	46	40
V74	0	95	0	0	177	0
V75	31	87	0	0	52	48
V76	16	0	67	0	118	0
V77	0	0	0	112	202	0
V78	78	0	86	0	75	41
V79	0	0	0	0	420	95
V80	0	115	0	0	0	114
V81	115	0	0	121	0	265
V82	125	0	90	0	0	0
V83	0	0	0	105	0	31
V84	0	43	0	32	0	15
V85	0	0	0	0	498	0
V86	0	0	0	0	0	111
V87	0	134	0	0	64	0
V88	23	0	0	0	26	96
V89	208	46	66	0	0	85
V90	48	53	0	264	0	0
V91	126	0	66	117	0	29
V92	57	34	0	0	140	0
V93	0	0	140	0	44	59
V94	14	0	0	0	78	0
V95	0	0	205	0	0	25
V96	148	58	0	0	48	0
V97	0	43	58	245	33	0
V98	72	90	0	0	16	0
V99	128	169	80	0	0	0
V100	31	91	0	0	0	152
