NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	120.269	22.381	24.303	13.99	0.094	0.985	110000.0
2	126.459	22.976	26.164	14.29	0.096	0.984	100000.0
3	123.879	22.632	25.396	14.071	0.092	0.985	130000.0
4	125.176	23.213	25.388	14.509	0.095	0.985	90000.0
5	124.826	22.6	25.836	14.145	0.093	0.985	110000.0
6	124.577	23.337	25.232	14.651	0.096	0.983	80000.0
7	124.382	22.831	25.557	14.165	0.094	0.986	130000.0
8	125.209	22.992	25.949	14.416	0.095	0.984	100000.0
9	124.168	22.776	25.459	14.143	0.096	0.985	100000.0
10	126.627	22.899	26.123	14.157	0.094	0.985	60000.0
