Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
V1	1.11E+01	1.35E+00	3.86E+00	1.99E+00	3.10E+00	1.08E+01	5.02E+00	5.46E+00	5.70E+00
V2	4.26E+00	2.21E+00	1.48E+00	6.00E-01	0.00E+00	2.66E+00	0.00E+00	2.69E+00	8.62E-01
V3	8.48E+00	0.00E+00	2.75E+00	2.72E+00	4.53E-01	3.05E+00	0.00E+00	7.75E+00	1.27E+00
V4	3.61E+00	0.00E+00	1.39E+01	9.45E-01	3.40E-01	1.40E+01	4.28E-01	4.22E+00	2.13E-01
V5	3.84E+00	2.87E+00	5.17E+00	1.86E+00	2.91E-01	4.52E+00	1.06E+00	2.93E+00	1.13E+00
V6	2.75E+00	1.42E+00	5.84E+00	1.10E+00	1.16E+01	1.18E+01	3.87E+00	3.17E+00	5.44E+00
V7	0.00E+00	2.00E-01	1.13E+01	3.12E+00	1.43E+00	1.21E+01	1.17E+00	4.00E-01	7.67E-01
V8	1.28E+00	3.59E+00	2.62E+00	1.25E+00	2.76E+00	3.74E+00	3.75E+00	1.30E+00	2.40E+00
V9	1.76E+01	3.87E+00	6.23E+00	1.61E+00	0.00E+00	5.31E+00	5.47E+00	1.75E+01	5.19E+00
V10	1.40E+01	9.64E-01	2.77E+01	3.51E+00	0.00E+00	2.89E+01	3.12E+00	1.34E+01	3.35E+00
V11	0.00E+00	0.00E+00	1.27E+00	6.86E-01	3.72E+00	3.93E+00	1.91E+00	0.00E+00	9.43E-01
V12	6.59E+00	0.00E+00	1.42E+00	1.97E+00	4.48E-01	5.70E+00	5.75E+00	4.91E+00	5.53E+00
V13	1.61E+01	4.33E-01	6.90E+00	1.74E+00	0.00E+00	1.03E+01	3.44E+00	1.44E+01	2.30E+00
V14	1.05E+00	1.60E+00	1.45E+00	3.79E-01	5.63E-01	1.56E+00	8.92E-01	9.17E-01	0.00E+00
V15	0.00E+00	2.09E+00	4.58E-01	9.48E-01	7.54E+00	8.85E+00	9.16E+00	0.00E+00	8.07E+00
V16	0.00E+00	1.93E+00	1.91E+01	4.52E+00	1.07E+01	2.23E+01	1.33E+00	3.97E+00	1.18E+00
V17	2.03E+00	1.53E+00	0.00E+00	2.21E-01	1.29E+01	1.26E+01	4.16E+00	2.89E+00	5.15E+00
V18	1.18E+01	2.17E+00	6.53E-01	2.71E+00	1.47E+01	1.51E+01	7.66E+00	1.25E+01	8.61E+00
V19	2.46E+00	5.34E+00	0.00E+00	1.86E+00	7.71E+00	8.80E+00	2.93E+00	3.50E+00	4.04E+00
V20	8.11E+00	6.32E-01	1.00E-01	8.47E+00	3.08E+00	3.36E+00	7.63E+00	7.88E+00	9.17E+00
V21	0.00E+00	1.27E+01	3.85E+00	5.40E+00	1.97E+00	1.29E+01	1.13E+00	4.78E+00	8.77E+00
V22	3.65E+00	1.42E+00	9.57E-01	1.12E+00	1.50E+00	1.97E+00	1.10E+01	3.96E+00	1.06E+01
V23	0.00E+00	2.60E-01	6.85E+00	4.62E+00	7.16E-01	7.32E+00	6.24E+00	1.93E+00	6.21E+00
V24	3.67E-01	0.00E+00	6.92E+00	5.58E+00	2.32E+00	6.73E+00	2.05E+00	5.82E+00	2.15E+00
V25	3.53E+00	5.16E-01	7.90E-01	3.75E+00	1.19E+01	1.25E+01	5.80E+00	3.54E+00	5.56E+00
V26	5.13E+00	5.47E-01	1.72E+00	3.97E+00	1.04E+00	2.11E+00	5.04E-01	4.59E+00	3.02E+00
V27	1.14E+01	1.33E+00	1.00E+00	6.13E+00	4.04E+00	4.51E+00	3.73E+00	9.49E+00	4.83E+00
V28	1.63E+00	4.96E-01	7.03E+00	2.21E-01	3.14E+00	5.31E+00	9.89E-01	2.24E+00	9.24E-01
V29	4.78E+00	6.70E-01	1.36E+00	1.31E+00	9.04E-01	3.11E+00	0.00E+00	3.25E+00	4.96E-01
V30	1.76E+01	2.50E+00	5.80E+00	1.33E-01	6.05E-01	4.47E+00	2.13E-01	1.76E+01	4.27E-01
V31	3.96E-01	2.17E+00	1.24E+01	1.50E+00	7.21E+00	1.13E+01	1.52E+00	0.00E+00	2.41E+00
V32	1.74E+00	5.78E-01	0.00E+00	9.04E-01	3.37E+00	3.28E+00	1.49E+00	1.52E+00	3.35E-01
V33	4.17E+00	2.96E+00	8.54E-01	2.22E+01	1.68E+00	4.78E+00	6.72E+00	2.50E+01	1.07E+01
V34	1.26E+00	2.23E+00	3.35E+00	6.31E+00	0.00E+00	3.40E+00	7.93E+00	1.95E+00	5.24E+00
V35	8.95E-01	2.06E+00	1.00E+00	9.46E-01	6.48E+00	6.46E+00	3.61E+00	0.00E+00	3.48E+00
V36	7.90E-01	3.31E+00	6.00E-01	1.51E+00	0.00E+00	1.99E+00	6.78E+00	6.00E-01	5.05E+00
V37	9.84E+00	1.20E+01	7.90E-01	1.64E+00	9.24E+00	1.36E+01	4.49E+00	7.33E+00	5.24E+00
V38	1.51E+00	3.89E-01	1.90E+00	0.00E+00	1.16E+00	2.25E+00	5.94E+00	0.00E+00	5.92E+00
V39	1.04E+01	1.37E+00	0.00E+00	1.19E+00	2.98E+00	3.22E+00	2.69E-01	9.80E+00	1.33E+00
V40	0.00E+00	1.48E+00	7.08E+00	2.62E+00	8.70E-01	5.69E+00	1.33E+00	0.00E+00	2.75E+00
V41	1.18E+00	0.00E+00	2.33E+01	7.78E+00	6.42E+00	2.29E+01	6.55E+00	1.21E+01	8.38E+00
V42	8.42E+00	7.46E-01	3.87E+00	1.04E+00	1.27E+00	2.19E+00	3.27E-01	7.62E+00	4.94E-01
V43	0.00E+00	1.27E+00	6.49E+00	3.59E-01	0.00E+00	6.73E+00	1.04E+00	2.00E-01	7.48E-01
V44	2.54E+00	1.03E+00	1.52E+00	1.48E+00	4.22E+00	6.04E+00	8.97E-01	2.01E+00	1.59E+00
V45	4.23E-01	3.27E-01	5.67E-01	0.00E+00	1.36E+00	1.22E+00	2.30E+00	2.00E-01	1.86E+00
V46	1.33E-01	6.96E-01	1.84E+00	1.36E+00	1.44E+00	2.45E+00	6.79E+00	1.72E+00	7.68E+00
V47	2.27E+00	0.00E+00	4.73E-01	1.42E+00	0.00E+00	1.33E-01	2.32E+00	2.97E+00	2.13E+00
V48	4.23E+01	6.65E+00	2.07E+01	3.61E+00	3.03E+00	3.19E+01	1.93E+00	3.86E+01	1.81E+00
V49	1.54E+00	6.31E+00	5.53E+00	2.85E+00	1.20E+00	6.74E+00	2.99E+00	2.59E+00	3.35E+00
V50	9.58E+00	3.50E+00	5.95E+00	3.94E+00	3.35E+00	8.21E+00	2.47E+00	8.76E+00	2.03E+00
V51	1.59E+01	2.21E-01	4.75E+00	7.18E-01	9.72E+00	1.37E+01	2.87E+00	1.19E+01	8.44E-01
V52	1.35E+00	1.13E+00	0.00E+00	1.28E+00	0.00E+00	1.00E+00	1.37E+00	6.54E-01	1.08E+00
V53	0.00E+00	0.00E+00	1.04E+01	1.27E+01	6.56E+00	1.34E+01	2.68E+00	1.50E+01	3.48E+00
V54	6.54E-01	2.77E+00	1.55E+01	4.70E+00	2.30E+01	2.43E+01	4.90E+00	1.75E+00	5.08E+00
V55	2.46E+01	8.31E-01	7.75E-01	1.16E+00	5.30E+00	4.68E+00	5.87E+00	2.57E+01	7.59E+00
V56	8.23E-01	2.83E+00	0.00E+00	8.78E+00	3.31E+00	2.40E+00	8.84E-01	9.72E+00	3.69E+00
V57	1.00E-01	4.71E-01	1.08E+00	5.59E+00	1.42E+00	1.21E+00	2.79E+00	5.49E+00	2.98E+00
V58	1.80E+00	3.53E+00	8.16E-01	5.86E-01	0.00E+00	3.46E+00	8.62E-01	2.35E+00	1.49E+00
V59	2.10E+00	1.23E+00	7.34E-01	0.00E+00	6.57E-01	1.78E+00	9.48E-01	1.85E+00	8.36E-01
V60	2.69E+00	7.61E-01	2.49E-01	2.33E-01	0.00E+00	6.32E-01	5.26E-01	2.23E+00	7.06E-01
V61	9.09E+00	1.24E+00	3.42E-01	0.00E+00	1.70E+00	1.83E+00	0.00E+00	8.68E+00	1.00E-01
