NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	42.379	13.572	9.67	7.022	0.071	0.997	80000.0
2	40.159	13.022	9.348	7.139	0.072	0.996	70000.0
3	40.453	12.998	9.137	6.831	0.07	0.997	60000.0
4	44.793	14.9	10.368	7.989	0.079	0.995	90000.0
5	42.22	13.873	9.429	7.131	0.073	0.996	100000.0
6	40.788	13.249	9.31	7.002	0.071	0.996	80000.0
7	40.166	13.249	9.011	6.947	0.073	0.996	90000.0
8	42.509	13.94	9.79	7.399	0.074	0.996	50000.0
9	41.438	13.526	9.574	7.26	0.073	0.996	30000.0
10	43.318	14.191	9.839	7.437	0.073	0.996	60000.0
