NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	59.541	23.245	14.861	14.621	0.136	0.985	20000.0
2	57.03	22.595	14.419	14.033	0.127	0.986	50000.0
3	58.717	23.393	14.351	14.434	0.138	0.986	20000.0
4	54.952	22.112	13.142	13.426	0.132	0.987	50000.0
5	56.426	21.685	14.258	13.814	0.126	0.987	80000.0
6	54.649	21.824	13.266	13.253	0.13	0.988	40000.0
7	55.921	22.551	13.996	14.181	0.132	0.986	50000.0
8	52.619	20.918	12.122	12.348	0.127	0.99	30000.0
9	54.847	22.046	12.694	12.967	0.135	0.989	30000.0
10	57.547	23.293	14.627	15.073	0.136	0.983	50000.0
