Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,0.61,0.6,NO,N/A,62.05%,79.88%,135.66%,60.25%,95.55,0.5323,1.2252,0.218,0.563,0.763,0.376
3,0.74,0.72,NO,N/A,45.62%,61.48%,127.78%,41.8%,90.47,0.4182,1.1297,0.135,0.483,0.851,0.459
4,0.73,0.49,NO,N/A,35.15%,51.49%,111.5%,33.96%,83.29,0.3221,0.8955,0.084,0.396,0.907,0.547
5,0.82,0.59,NO,N/A,25.57%,35.77%,107.83%,23.15%,72.21,0.2332,0.8579,0.046,0.307,0.949,0.664
6,1.0,1.0,YES,1.74e-03,17.2%,27.49%,56.83%,16.02%,51.26,0.1528,0.5069,0.021,0.114,0.978,0.868
7,0.74,-0.56,NO,N/A,14.86%,25.52%,53.15%,14.38%,42.04,0.1418,0.4775,0.017,0.086,0.982,0.899
8*,0.81,0.26,YES,Most Stab Sigs,12.04%,21.3%,49.22%,12.03%,42.75,0.1338,0.4746,0.013,0.096,0.986,0.899
9,0.77,-0.34,NO,N/A,12.0%,22.58%,70.89%,12.0%,48.98,0.1404,0.4956,0.012,0.102,0.987,0.896
10,0.67,-0.52,NO,N/A,11.36%,21.14%,65.42%,11.33%,45.18,0.1344,0.4842,0.011,0.088,0.988,0.91
11,0.62,-0.43,NO,N/A,9.37%,19.36%,58.99%,9.96%,33.18,0.1273,0.4676,0.007,0.056,0.992,0.934
12,0.54,-0.49,NO,N/A,10.61%,20.35%,59.1%,10.04%,43.24,0.1296,0.4801,0.01,0.09,0.989,0.907
13,0.49,-0.59,NO,N/A,8.82%,17.68%,48.23%,9.28%,31.17,0.1222,0.4189,0.006,0.045,0.993,0.95
14,0.52,-0.63,NO,N/A,7.36%,16.68%,44.63%,8.38%,28.56,0.1132,0.4578,0.005,0.041,0.995,0.956
15,0.48,-0.64,NO,N/A,7.21%,16.27%,47.94%,7.78%,28.65,0.1107,0.4373,0.005,0.041,0.995,0.955
16,0.49,-0.7,NO,N/A,6.47%,15.65%,56.06%,7.52%,28.2,0.1032,0.4424,0.004,0.035,0.996,0.963
17,0.48,-0.58,NO,N/A,6.27%,15.06%,49.26%,7.27%,28.32,0.102,0.4092,0.004,0.038,0.996,0.956
18,0.43,-0.54,NO,N/A,5.82%,14.76%,52.09%,7.05%,28.15,0.1018,0.3881,0.003,0.032,0.997,0.967
19,0.36,-0.69,NO,N/A,6.39%,15.18%,41.62%,7.22%,27.87,0.1047,0.413,0.004,0.039,0.996,0.958
20,0.4,-0.74,NO,N/A,5.44%,13.63%,49.08%,6.66%,27.28,0.0951,0.3691,0.003,0.035,0.997,0.963
