Samples	ID83A	ID83B
V1	1.75E+01	1.75E+01
V2	3.50E+00	3.50E+00
V3	4.55E+00	4.55E+00
V4	5.15E+01	5.15E+01
V5	2.92E+01	2.92E+01
V6	1.43E+01	1.43E+01
V7	1.56E+01	1.56E+01
V8	1.33E+01	1.33E+01
V9	3.40E+01	3.40E+01
V10	1.74E+01	1.74E+01
V11	8.07E+00	8.03E+00
V12	1.75E+01	1.75E+01
V13	2.43E+01	2.43E+01
V14	6.25E+01	6.25E+01
V15	1.29E+01	1.29E+01
V16	2.58E+01	2.58E+01
V17	6.67E-01	6.67E-01
V18	3.03E+00	3.03E+00
V19	8.33E+00	8.33E+00
V20	5.41E+01	5.41E+01
V21	4.82E+00	4.82E+00
V22	1.51E+00	1.51E+00
V23	2.22E+01	2.22E+01
V24	1.50E+01	1.50E+01
V25	2.88E+00	2.88E+00
V26	2.75E+01	2.75E+01
V27	2.59E+00	2.59E+00
V28	1.20E+01	1.20E+01
V29	6.67E-01	6.67E-01
V30	5.52E+00	5.52E+00
V31	3.47E+01	3.47E+01
V32	3.67E+00	3.67E+00
V33	4.83E+00	4.83E+00
V34	7.37E+00	7.37E+00
V35	2.35E+00	2.35E+00
V36	4.30E+00	4.30E+00
V37	3.86E+00	3.86E+00
V38	7.92E+00	7.92E+00
V39	4.59E+00	4.59E+00
V40	3.85E+01	3.85E+01
V41	1.89E+01	1.89E+01
V42	3.32E+01	3.32E+01
V43	2.81E+00	2.81E+00
V44	6.74E+00	6.74E+00
V45	5.59E+00	5.59E+00
V46	5.53E+00	5.53E+00
V47	4.45E+00	4.45E+00
V48	3.38E+01	3.38E+01
V49	1.55E+00	1.55E+00
V50	3.62E+00	3.62E+00
V51	9.93E+00	9.93E+00
V52	3.80E+00	3.80E+00
V53	2.29E+01	2.29E+01
V54	7.77E+00	7.77E+00
V55	3.34E+00	3.34E+00
V56	9.93E+00	9.93E+00
V57	1.09E+01	1.09E+01
V58	2.34E+01	2.34E+01
V59	2.10E+01	2.10E+01
V60	2.30E+00	2.30E+00
V61	2.15E+01	2.15E+01
V62	1.11E+01	1.11E+01
V63	2.25E+01	2.25E+01
V64	3.26E+00	3.26E+00
V65	1.52E+01	1.52E+01
V66	4.75E+00	4.75E+00
V67	8.20E-01	8.20E-01
V68	1.54E+01	1.53E+01
V69	9.52E+00	9.52E+00
V70	6.00E-01	6.00E-01
V71	9.21E-01	9.21E-01
V72	1.01E+01	1.01E+01
V73	2.54E+00	2.54E+00
V74	2.46E+01	2.46E+01
V75	2.84E+01	2.84E+01
V76	1.80E+01	1.80E+01
V77	9.05E+00	9.05E+00
V78	3.13E+01	3.13E+01
V79	1.85E+00	1.85E+00
V80	2.38E+01	2.38E+01
V81	4.23E+01	4.23E+01
V82	4.36E+00	4.36E+00
V83	8.96E+01	8.96E+01
V84	5.18E+00	5.18E+00
V85	5.70E+00	5.70E+00
V86	9.91E+00	9.91E+00
V87	3.69E+01	3.69E+01
V88	2.55E+01	2.55E+01
V89	2.04E+01	2.04E+01
V90	4.28E+01	4.28E+01
V91	2.25E+01	2.25E+01
V92	1.49E+01	1.49E+01
V93	2.67E+01	2.67E+01
V94	1.49E+01	1.49E+01
V95	9.42E+00	9.42E+00
V96	2.79E+01	2.79E+01
V97	9.65E+00	9.65E+00
V98	1.17E+01	1.17E+01
V99	2.48E+01	2.48E+01
V100	4.03E+00	4.03E+00
