Samples	ID83A	ID83B
V1	194	67
V2	52	16
V3	18	130
V4	249	137
V5	443	29
V6	148	47
V7	28	622
V8	101	240
V9	493	64
V10	121	98
V11	75	103
V12	237	75
V13	126	81
V14	318	131
V15	140	39
V16	298	0
V17	0	158
V18	0	234
V19	21	168
V20	207	231
V21	345	21
V22	83	0
V23	446	0
V24	135	113
V25	0	138
V26	476	7
V27	10	159
V28	104	382
V29	25	3
V30	124	119
V31	228	56
V32	36	56
V33	119	42
V34	12	212
V35	10	106
V36	43	189
V37	164	67
V38	18	83
V39	146	89
V40	209	99
V41	94	89
V42	388	193
V43	123	38
V44	240	15
V45	71	36
V46	91	68
V47	23	45
V48	293	55
V49	0	203
V50	0	193
V51	24	169
V52	211	18
V53	262	12
V54	370	72
V55	70	27
V56	165	45
V57	222	26
V58	205	39
V59	120	49
V60	72	3
V61	0	436
V62	192	175
V63	246	262
V64	102	2
V65	0	232
V66	0	147
V67	9	15
V68	457	39
V69	160	46
V70	0	143
V71	0	337
V72	152	38
V73	37	118
V74	63	140
V75	260	44
V76	369	0
V77	93	9
V78	166	89
V79	29	153
V80	313	127
V81	252	59
V82	86	5
V83	1459	0
V84	79	10
V85	58	66
V86	58	176
V87	204	70
V88	105	343
V89	282	48
V90	516	246
V91	165	119
V92	210	50
V93	155	94
V94	239	99
V95	213	9
V96	403	15
V97	127	17
V98	269	83
V99	285	121
V100	25	42
