MutationType	ID83A	ID83B	ID83C	ID83D
1:Del:C:0	1.40E-03	2.60E-02	0.00E+00	3.27E-02
1:Del:C:1	5.58E-04	7.10E-03	3.48E-04	1.05E-02
1:Del:C:2	7.03E-05	3.51E-04	1.32E-04	1.78E-04
1:Del:C:3	2.53E-04	6.31E-04	3.38E-04	9.00E-04
1:Del:C:4	2.86E-04	7.92E-04	2.08E-04	7.70E-04
1:Del:C:5	2.01E-05	4.79E-04	4.39E-04	2.17E-03
1:Del:T:0	1.33E-03	8.12E-03	8.45E-04	1.10E-02
1:Del:T:1	3.14E-04	3.19E-03	4.97E-04	4.10E-03
1:Del:T:2	4.51E-04	7.62E-03	4.37E-04	8.85E-03
1:Del:T:3	9.90E-04	9.82E-03	9.97E-04	1.20E-02
1:Del:T:4	8.46E-04	8.26E-03	1.09E-03	6.46E-03
1:Del:T:5	8.56E-03	5.80E-04	1.17E-02	8.36E-02
1:Ins:C:0	1.56E-05	2.44E-04	1.10E-04	6.64E-05
1:Ins:C:1	6.24E-05	1.97E-04	8.20E-05	1.08E-04
1:Ins:C:2	4.85E-05	1.93E-04	3.61E-08	6.40E-05
1:Ins:C:3	1.12E-05	4.33E-05	1.17E-04	7.61E-09
1:Ins:C:4	8.77E-05	2.52E-04	7.23E-05	3.86E-04
1:Ins:C:5	1.39E-04	5.90E-05	1.02E-03	8.99E-04
1:Ins:T:0	0.00E+00	1.08E-03	2.90E-04	1.25E-03
1:Ins:T:1	1.15E-04	6.73E-04	0.00E+00	1.05E-03
1:Ins:T:2	5.30E-09	2.92E-04	2.13E-05	3.29E-04
1:Ins:T:3	2.97E-06	3.58E-04	4.52E-04	1.44E-04
1:Ins:T:4	4.90E-05	2.20E-04	8.82E-04	5.92E-04
1:Ins:T:5	8.76E-08	1.76E-03	3.05E-02	1.44E-03
2:Del:R:0	2.93E-04	8.01E-04	4.14E-04	1.57E-03
2:Del:R:1	3.23E-04	1.10E-03	3.60E-04	9.97E-04
2:Del:R:2	6.59E-05	1.97E-04	1.59E-04	1.33E-04
2:Del:R:3	2.11E-06	1.03E-04	6.19E-05	1.16E-04
2:Del:R:4	2.62E-05	5.00E-07	4.24E-05	2.55E-04
2:Del:R:5	3.00E-08	1.27E-04	2.88E-08	1.05E-05
3:Del:R:0	2.17E-04	8.61E-04	3.53E-04	2.88E-04
