MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S
1:Del:C:0	0.00024196561134885995	0.002648717211559415	0.0	0.011066295392811298	0.7198249638080597	0.001442376019031144	0.017364161354271344	0.002134295507062234	0.07957133596955827	0.01229227706171514	2.128259666278609e-07	0.27673747912049296	0.08109033470800568	0.0011229688301682473	7.168808679125504e-07	0.014780249446630478	0.013554836437106133	0.004399577900767326	0.03592836330353748
1:Del:C:1	3.687101113314384e-07	0.0	0.0	8.482165867462754e-07	0.07386920310534606	0.0014765618874662324	0.0	0.0	0.03174182325601578	0.07389619688792663	0.001783362030982971	0.005017412625602446	0.030044136217293273	0.35444318130612373	0.03875994980335236	0.026578038185834884	0.06381190782691419	0.004659444981189154	0.015852895794319012
1:Del:C:2	2.241997329122114e-07	0.0	0.00019319099419590202	0.0007361350813880563	0.002242383969812067	0.001674014935269952	0.0035676787607371806	0.0	0.004506236128509045	0.010685916058719158	0.0	0.0006135513083336264	0.0023105788909958845	5.630751038552262e-05	0.002936981862376342	0.0	0.009323156625032424	0.0	0.0003493877244181931
1:Del:C:3	0.0	0.0009876997355604544	0.0	0.0013989935629069804	0.0022933446336537598	0.00787893591914326	0.004463109956122935	0.00010547206038609147	0.013172905053943395	0.001025082916021347	0.006576916257540688	0.015370179805904627	0.0054758269339799884	0.009184545185416938	0.003217884042442165	0.003916829824447632	0.003929054317995906	0.005081018432974815	0.006443991139531135
1:Del:C:4	1.521753034694484e-08	0.0007803895369221436	7.165704118961003e-08	0.0	0.01056612990796566	0.0	0.0	0.00013671660562977194	0.015416081878356636	0.0	0.0037926098233583617	0.002303347736597061	0.009715348529107359	0.026035185158252715	0.0007557746002476052	0.007326660504668325	0.000838896323574545	0.0004450016305781901	0.013292903246164656
1:Del:C:5	0.0	0.0028328406935941076	0.008071733673568815	0.0	1.4085357236126584e-08	0.0007537573135095954	0.0	0.0007659470429643989	0.0	0.0020034926842868116	0.00010067287366837263	0.0023660695180296896	0.0029923979830300596	0.0006192174551870267	0.0030909010020877758	0.03598674682434648	0.017869109846651555	0.00037745002191513777	0.0019616414967458693
1:Del:T:0	0.0	0.0008540419441089853	2.912079139605339e-07	0.0011565386317670344	0.02213952191596036	0.004798832695450983	0.01805541794747114	0.0012500197160989046	0.1269257970569015	1.6669061964069698e-11	0.0007902182638645172	0.05080460128374398	0.451742359995842	0.05092817544937134	2.8025969286496343e-46	0.04524256816007437	0.07220687987282873	0.03594587072730064	0.04047527303919196
1:Del:T:1	0.0	0.0006082918949715576	0.0010751880239695311	0.000894112624519039	0.019959769886918367	0.004842752404510975	0.005510544776916504	0.0	0.0361654392327182	0.0	0.0007111867889761925	0.047183976935048125	0.10484155975282192	0.04420948071456223	0.010728240944445133	0.03008419871330261	0.024067218974232675	0.023221743665635584	0.002359734929541446
1:Del:T:2	3.500424483604547e-08	0.0003120105508173765	3.1927951908983233e-07	0.0016964547336101531	0.017681181465059127	1.4012984643248171e-46	0.0	2.691273948585149e-06	0.3135774329304695	0.0006454878511249262	0.0010967619957682473	0.027220792323350906	0.003407829128082085	0.034950353344902395	0.0602146637746326	0.06557573928071178	0.010142761517545295	1.9098410848528147e-05	0.0023784360510035185
1:Del:T:3	0.0	0.0015894034189628315	0.008953640464460478	0.0	0.05507414944258926	0.00019421828910710278	4.747664670503582e-05	0.005918942019343376	0.04555011845293393	0.0333200610997892	0.0005541966296732425	0.23869988918304444	0.012217605113983154	0.21964098867028953	0.012875674377755785	0.005472195824222581	0.10866496024464141	0.008049950748682023	0.001306397234520773
