Samples	ID83A	ID83B	ID83C	ID83D
V1	166	98	16	0
V2	85	118	35	0
V3	51	22	33	0
V4	83	271	28	42
V5	32	70	31	3
V6	72	16	0	67
V7	206	0	4	0
V8	6	0	209	22
V9	16	67	67	70
V10	34	219	64	20
V11	53	33	173	155
V12	66	0	93	0
V13	84	0	139	80
V14	5	178	13	0
V15	37	116	74	168
V16	196	8	75	9
V17	321	128	52	59
V18	48	36	66	147
V19	133	152	92	67
V20	113	0	118	5
V21	36	290	5	418
V22	60	90	51	9
V23	41	0	16	61
V24	227	84	428	1
V25	16	0	4	325
V26	56	31	186	18
V27	37	27	96	24
V28	237	0	54	265
V29	19	11	2	31
V30	103	51	265	87
V31	359	95	36	25
V32	97	11	228	185
V33	224	0	56	0
V34	106	10	28	15
V35	523	380	99	37
V36	48	49	8	7
V37	17	307	4	8
V38	0	459	17	310
V39	123	45	211	107
V40	119	107	15	60
V41	28	177	521	57
V42	176	0	0	15
V43	0	3	28	90
V44	43	0	201	209
V45	39	50	69	23
V46	7	6	92	15
V47	81	11	183	70
V48	31	50	11	12
V49	110	173	212	34
V50	33	23	39	19
V51	52	85	36	242
V52	24	40	61	177
V53	62	161	23	56
V54	0	54	105	5
V55	0	6	257	35
V56	119	84	44	31
V57	111	0	16	66
V58	159	147	4	10
V59	487	38	31	11
V60	52	86	355	85
V61	6	3	10	3
V62	93	100	130	65
V63	24	261	109	57
V64	5	0	4	46
V65	139	0	3	0
V66	315	0	53	502
V67	36	16	0	446
V68	215	0	82	112
V69	25	0	23	0
V70	241	49	5	443
V71	23	86	5	4
V72	0	0	3	241
V73	127	0	95	0
V74	0	142	158	9
V75	237	97	0	21
V76	33	28	24	0
V77	58	221	16	88
V78	216	0	8	0
V79	5	18	5	183
V80	6	0	63	0
V81	0	0	15	162
V82	229	72	52	17
V83	0	117	28	65
V84	122	28	53	15
V85	0	0	221	0
V86	281	43	0	0
V87	44	55	62	12
V88	70	4	118	43
V89	88	242	20	13
V90	104	74	82	160
V91	50	47	9	20
V92	30	177	4	32
V93	0	6	196	6
V94	77	405	1	25
V95	191	28	33	18
V96	67	205	21	9
V97	0	349	34	0
V98	11	105	0	55
V99	113	91	28	69
V100	40	107	231	175
